onset,duration,trial_type,stimulus,shock,response,response_time,recognition_memory
4.016,4.0,CS+,tools/rake.jpg,CSUS,1,1.123,DO
13.165999999999999,4.5,CS-,animals/pike.jpg,CS,2,0.769,MO
24.7,5.0,CS+,tools/reflexhammer.jpg,CS,1,0.845,DO
35.75,5.0,CS+,tools/drillbit.jpg,CSUS,1,2.158,DO
46.916000000000004,4.0,CS-,animals/pigeon.jpg,CS,2,1.035,DO
57.966,4.5,CS-,animals/prayingmantis.jpg,CS,2,0.752,DO
67.516,4.0,CS+,tools/gong.jpg,CS,1,1.21,DO
78.566,5.0,CS-,animals/leopard.jpg,CS,2,0.7509999999999999,MO
89.59899999999999,5.0,CS-,animals/caterpillarpeacockmoth.jpg,CS,2,0.8909999999999999,DO
99.633,5.0,CS+,tools/hairdryer.jpg,CSUS,1,1.5659999999999998,DO
109.78299999999999,4.0,CS+,tools/paintroller.jpg,CSUS,2,2.108,DO
119.93299999999999,4.0,CS-,animals/hummingbird.jpg,CS,2,0.561,MO
129.983,5.0,CS+,tools/shoehorn.jpg,CS,1,1.464,DO
141.033,4.0,CS-,animals/pelican.jpg,CS,2,0.643,MO
151.066,4.0,CS+,tools/scissors.jpg,CS,1,1.114,DO
160.116,4.5,CS-,animals/cow.jpg,CS,2,0.523,DO
169.666,5.0,CS-,animals/giraffe.jpg,CS,2,0.615,DO
180.71599999999998,4.5,CS+,tools/beadingtool.jpg,CSUS,1,1.436,DO
192.36599999999999,5.0,CS-,animals/waterbuffalo.jpg,CS,2,0.55,MN
203.416,5.0,CS+,tools/plow.jpg,CSUS,2,2.309,DO
215.56599999999997,4.0,CS-,animals/herculesbeetle.jpg,CS,2,0.726,MO
226.61599999999999,4.0,CS+,tools/gardenhose.jpg,CS,2,1.103,DO
237.666,5.0,CS+,tools/rollingpin.jpg,CS,2,0.988,DO
247.71599999999998,4.5,CS-,animals/porcupine.jpg,CS,2,0.589,DO
259.26599999999996,4.0,CS-,animals/flea.jpg,CS,2,0.539,MO
269.29900000000004,4.5,CS+,tools/weldinghelmet.jpg,CSUS,2,0.833,DO
279.949,4.5,CS-,animals/dragonfly.jpg,CS,2,0.769,MO
290.499,4.5,CS-,animals/gerbil.jpg,CS,2,0.609,DO
300.04900000000004,4.0,CS+,tools/wheelbarrow.jpg,CS,1,1.1159999999999999,DO
309.099,5.0,CS+,tools/electricbreaker.jpg,CS,1,2.369,DO
320.149,4.0,CS-,animals/baboon.jpg,CS,2,0.574,
331.199,4.5,CS+,tools/transmissionwrench.jpg,CSUS,1,1.187,DO
342.849,4.0,CS-,animals/mole.jpg,CS,2,0.475,MN
351.899,4.5,CS+,tools/plunger.jpg,CS,1,0.69,DO
362.449,5.0,CS-,animals/angelfish.jpg,CS,2,0.524,DO
373.499,4.5,CS+,tools/faxmachine.jpg,CS,2,3.335,DO
385.04900000000004,4.5,CS+,tools/chisel.jpg,CSUS,1,1.6480000000000001,DO
394.699,5.0,CS-,animals/crow.jpg,CS,2,0.6859999999999999,MO
406.749,4.5,CS-,animals/snapper.jpg,CS,2,0.604,MN
418.29900000000004,4.5,CS+,tools/ladder.jpg,CSUS,1,1.8330000000000002,DO
429.949,4.5,CS+,tools/ropeandpulley.jpg,CS,1,2.452,DO
439.499,5.0,CS-,animals/quail.jpg,CS,2,0.551,MN
449.54900000000004,4.0,CS+,tools/cheesegrater.jpg,CSUS,1,1.3319999999999999,DO
459.699,5.0,CS-,animals/boar.jpg,CS,2,0.579,MN
469.749,4.0,CS+,tools/pliers.jpg,CS,1,1.146,DO
480.79900000000004,4.5,CS-,animals/ostrich.jpg,CS,2,0.6890000000000001,MO
492.349,5.0,CS+,tools/stove.jpg,CSUS,2,1.984,DO
502.499,4.0,CS-,animals/tiger.jpg,CS,2,0.608,DO
