group,phase,condition,subject,proba
healthy,acquisition,CS+,1,0.7445934247149933
healthy,acquisition,CS+,2,0.4527405704782623
healthy,acquisition,CS+,3,0.494613433619516
healthy,acquisition,CS+,4,0.7014074772843054
healthy,acquisition,CS+,5,0.47419954468302533
healthy,acquisition,CS+,6,0.7186698047622536
healthy,acquisition,CS+,7,0.6660642783130257
healthy,acquisition,CS+,8,0.721638238603357
healthy,acquisition,CS+,9,0.8465477606551919
healthy,acquisition,CS+,10,0.7661561983992594
healthy,acquisition,CS+,12,0.8383672724713808
healthy,acquisition,CS+,13,0.6048507075429562
healthy,acquisition,CS+,14,0.033689653599071924
healthy,acquisition,CS+,15,0.789168198703382
healthy,acquisition,CS+,16,0.10502355413679938
healthy,acquisition,CS+,17,0.27079673852025293
healthy,acquisition,CS+,18,0.6728973175669646
healthy,acquisition,CS+,19,0.749593630187603
healthy,acquisition,CS+,20,0.7378698922555795
healthy,acquisition,CS+,21,0.8068176830654566
healthy,acquisition,CS+,23,0.17432342361425568
healthy,acquisition,CS+,24,0.8824861413177484
healthy,acquisition,CS+,25,0.6011193037446323
healthy,acquisition,CS+,26,0.7340760705716177
healthy,acquisition,CS-,1,0.5239283262340011
healthy,acquisition,CS-,2,0.11970349878166006
healthy,acquisition,CS-,3,0.4375359701610556
healthy,acquisition,CS-,4,0.88202521780413
healthy,acquisition,CS-,5,0.6559774317668559
healthy,acquisition,CS-,6,0.7444937305398301
healthy,acquisition,CS-,7,0.6211449042208304
healthy,acquisition,CS-,8,0.4774008620087102
healthy,acquisition,CS-,9,0.9436131862110679
healthy,acquisition,CS-,10,0.7856174867153488
healthy,acquisition,CS-,12,0.7121020374018001
healthy,acquisition,CS-,13,0.6006347801881686
healthy,acquisition,CS-,14,0.05028204807583141
healthy,acquisition,CS-,15,0.5306375001512306
healthy,acquisition,CS-,16,0.332856745898183
healthy,acquisition,CS-,17,0.6300683323383721
healthy,acquisition,CS-,18,0.581814006435972
healthy,acquisition,CS-,19,0.8357396991565613
healthy,acquisition,CS-,20,0.5615631809412708
healthy,acquisition,CS-,21,0.8166393489892502
healthy,acquisition,CS-,23,0.44864116270118265
healthy,acquisition,CS-,24,0.8563517930154231
healthy,acquisition,CS-,25,0.5138144525354408
healthy,acquisition,CS-,26,0.7600361971051292
healthy,baseline,CS+,1,0.7909928057935768
healthy,baseline,CS+,2,0.6548314708445631
healthy,baseline,CS+,3,0.49230480904407625
healthy,baseline,CS+,4,0.7409745037340559
healthy,baseline,CS+,5,0.3916699705086412
healthy,baseline,CS+,6,0.9051169974363922
healthy,baseline,CS+,7,0.6970216436294554
healthy,baseline,CS+,8,0.6496050603072014
healthy,baseline,CS+,9,0.834045029571631
healthy,baseline,CS+,10,0.7803552340224634
healthy,baseline,CS+,12,0.6897270335364442
healthy,baseline,CS+,13,0.3982202891833939
healthy,baseline,CS+,14,0.05843352483131095
healthy,baseline,CS+,15,0.7657734359179372
healthy,baseline,CS+,16,0.15647849949206652
healthy,baseline,CS+,17,0.6204553724729641
healthy,baseline,CS+,18,0.5903796590428393
healthy,baseline,CS+,19,0.8480826918755167
healthy,baseline,CS+,20,0.6957083080782163
healthy,baseline,CS+,21,0.7879218796451722
healthy,baseline,CS+,23,0.059989743829740046
healthy,baseline,CS+,24,0.8813298499666948
healthy,baseline,CS+,25,0.5559308141913939
healthy,baseline,CS+,26,0.7867881065244452
healthy,baseline,CS-,1,0.5987049470062352
healthy,baseline,CS-,2,0.23845642837894063
healthy,baseline,CS-,3,0.3851772309394646
healthy,baseline,CS-,4,0.6933830793558969
healthy,baseline,CS-,5,0.6647035853843439
healthy,baseline,CS-,6,0.9066870779292491
healthy,baseline,CS-,7,0.5180510621293063
healthy,baseline,CS-,8,0.2857023163204933
healthy,baseline,CS-,9,0.8293682567910688
healthy,baseline,CS-,10,0.9444564562157026
healthy,baseline,CS-,12,0.6791814098837518
healthy,baseline,CS-,13,0.8609837223226697
healthy,baseline,CS-,14,0.0004892873139551164
healthy,baseline,CS-,15,0.5434934268597494
healthy,baseline,CS-,16,0.2872772274819555
healthy,baseline,CS-,17,0.5910722028684672
healthy,baseline,CS-,18,0.5937842346804424
healthy,baseline,CS-,19,0.8015938703873927
healthy,baseline,CS-,20,0.6181341631055338
healthy,baseline,CS-,21,0.7944318940292519
healthy,baseline,CS-,23,0.305922362538213
healthy,baseline,CS-,24,0.8066618229477274
healthy,baseline,CS-,25,0.3176436413211066
healthy,baseline,CS-,26,0.7279811483937153
healthy,extinction,CS+,1,0.7544473292737419
healthy,extinction,CS+,2,0.5210935960006104
healthy,extinction,CS+,3,0.36136430070185915
healthy,extinction,CS+,4,0.7095071529027385
healthy,extinction,CS+,5,0.2973457696221161
healthy,extinction,CS+,6,0.63352403436946
healthy,extinction,CS+,7,0.6015830540789389
healthy,extinction,CS+,8,0.7827954348694014
healthy,extinction,CS+,9,0.7982174379606911
healthy,extinction,CS+,10,0.7746404453850456
healthy,extinction,CS+,12,0.7509603752303282
healthy,extinction,CS+,13,0.5882959512375857
healthy,extinction,CS+,14,0.08004388767372086
healthy,extinction,CS+,15,0.8228604307607159
healthy,extinction,CS+,16,0.1350217462619355
healthy,extinction,CS+,17,0.4707451737717374
healthy,extinction,CS+,18,0.5404308015405759
healthy,extinction,CS+,19,0.8912338421127983
healthy,extinction,CS+,20,0.4393791801751099
healthy,extinction,CS+,21,0.8148121526984231
healthy,extinction,CS+,23,0.17518460378480638
healthy,extinction,CS+,24,0.93084718013899
healthy,extinction,CS+,25,0.3676372025277645
healthy,extinction,CS+,26,0.6598101915914153
healthy,extinction,CS-,1,0.5785054170841266
healthy,extinction,CS-,2,0.12482537614816977
healthy,extinction,CS-,3,0.2664248420050255
healthy,extinction,CS-,4,0.9558063665599298
healthy,extinction,CS-,5,0.5431181306660317
healthy,extinction,CS-,6,0.8417606055102963
healthy,extinction,CS-,7,0.5275881933929395
healthy,extinction,CS-,8,0.3153826422659018
healthy,extinction,CS-,9,0.883097619858316
healthy,extinction,CS-,10,0.7813446668248805
healthy,extinction,CS-,12,0.7165176881826429
healthy,extinction,CS-,13,0.6461467385079015
healthy,extinction,CS-,14,0.0024761802347388535
healthy,extinction,CS-,15,0.5065661488974248
healthy,extinction,CS-,16,0.39400799313343793
healthy,extinction,CS-,17,0.718181594129132
healthy,extinction,CS-,18,0.37487956014823204
healthy,extinction,CS-,19,0.78218803673463
healthy,extinction,CS-,20,0.6423931495041917
healthy,extinction,CS-,21,0.8379854772581309
healthy,extinction,CS-,23,0.4391521189634889
healthy,extinction,CS-,24,0.7834852005315974
healthy,extinction,CS-,25,0.30202199485333475
healthy,extinction,CS-,26,0.4809853684423762
healthy,foil,CS+,1,0.8730051902879493
