group,phase,condition,subject,stimulus,ev
healthy,acquisition,CS+,1,animals/ant.jpg,0.2734820043373411
healthy,acquisition,CS+,1,animals/anteater.jpg,0.3929416478322737
healthy,acquisition,CS+,1,animals/assassinbug.jpg,0.9995235978032859
healthy,acquisition,CS+,1,animals/baldeagle.jpg,0.9999998905277148
healthy,acquisition,CS+,1,animals/brown_bear.jpg,0.0011808898844364497
healthy,acquisition,CS+,1,animals/camel.jpg,0.9357746621214513
healthy,acquisition,CS+,1,animals/carp.jpg,0.999995274980809
healthy,acquisition,CS+,1,animals/catfish.jpg,0.9992680716881118
healthy,acquisition,CS+,1,animals/chipmunk.jpg,0.5642256732976996
healthy,acquisition,CS+,1,animals/dramaderry.jpg,0.9998142359351956
healthy,acquisition,CS+,1,animals/duck.jpg,0.9999979209694408
healthy,acquisition,CS+,1,animals/firebug.jpg,0.9999887735593137
healthy,acquisition,CS+,1,animals/herring.jpg,0.9971947449848745
healthy,acquisition,CS+,1,animals/mahimahi.jpg,0.9997826734185072
healthy,acquisition,CS+,1,animals/mink.jpg,0.9958157825661412
healthy,acquisition,CS+,1,animals/mouse.jpg,0.9999999999998874
healthy,acquisition,CS+,1,animals/palmcockatoo.jpg,0.9996057623769165
healthy,acquisition,CS+,1,animals/partridge.jpg,0.3291763981468751
healthy,acquisition,CS+,1,animals/rabbit.jpg,0.9871339911769194
healthy,acquisition,CS+,1,animals/seal.jpg,0.7041156940959389
healthy,acquisition,CS+,1,animals/shark.jpg,0.9999959991174093
healthy,acquisition,CS+,1,animals/sheep.jpg,0.00024651238670204994
healthy,acquisition,CS+,1,animals/snail.jpg,2.115064647102173e-05
healthy,acquisition,CS+,1,animals/turkey.jpg,0.6909608413061212
healthy,acquisition,CS+,2,animals/ant.jpg,0.06042847871621289
healthy,acquisition,CS+,2,animals/anteater.jpg,9.40714314800961e-05
healthy,acquisition,CS+,2,animals/assassinbug.jpg,0.013507765208564483
healthy,acquisition,CS+,2,animals/baldeagle.jpg,0.9999769510718682
healthy,acquisition,CS+,2,animals/brown_bear.jpg,0.9798209708335037
healthy,acquisition,CS+,2,animals/camel.jpg,8.608064543083514e-11
healthy,acquisition,CS+,2,animals/carp.jpg,0.9940847928392025
healthy,acquisition,CS+,2,animals/catfish.jpg,0.2366671370623218
healthy,acquisition,CS+,2,animals/chipmunk.jpg,0.24670176494406815
healthy,acquisition,CS+,2,animals/dramaderry.jpg,0.24517200818885973
healthy,acquisition,CS+,2,animals/duck.jpg,0.9995950799948574
healthy,acquisition,CS+,2,animals/firebug.jpg,0.07318326049688875
healthy,acquisition,CS+,2,animals/herring.jpg,1.735264061877687e-11
healthy,acquisition,CS+,2,animals/mahimahi.jpg,0.01774147534912625
healthy,acquisition,CS+,2,animals/mink.jpg,0.9951933990738253
healthy,acquisition,CS+,2,animals/mouse.jpg,0.9998864234061415
healthy,acquisition,CS+,2,animals/palmcockatoo.jpg,0.38070477658920276
healthy,acquisition,CS+,2,animals/partridge.jpg,0.9958208821233143
healthy,acquisition,CS+,2,animals/rabbit.jpg,0.9722516265902145
healthy,acquisition,CS+,2,animals/seal.jpg,0.03660482904718707
healthy,acquisition,CS+,2,animals/shark.jpg,0.030737393566888423
healthy,acquisition,CS+,2,animals/sheep.jpg,0.794522497404986
healthy,acquisition,CS+,2,animals/snail.jpg,0.7818945828097011
healthy,acquisition,CS+,2,animals/turkey.jpg,0.011183524626446305
healthy,acquisition,CS+,3,animals/ant.jpg,0.13944805394759469
healthy,acquisition,CS+,3,animals/anteater.jpg,0.9998488807035343
healthy,acquisition,CS+,3,animals/assassinbug.jpg,0.9663566556567683
healthy,acquisition,CS+,3,animals/baldeagle.jpg,0.20763046001745206
healthy,acquisition,CS+,3,animals/brown_bear.jpg,0.7999857386008535
healthy,acquisition,CS+,3,animals/camel.jpg,0.20031758889737106
healthy,acquisition,CS+,3,animals/carp.jpg,0.9999919853778348
healthy,acquisition,CS+,3,animals/catfish.jpg,3.223288036815449e-05
healthy,acquisition,CS+,3,animals/chipmunk.jpg,0.1693356947558586
healthy,acquisition,CS+,3,animals/dramaderry.jpg,0.6346088944732282
healthy,acquisition,CS+,3,animals/duck.jpg,0.9995261863374906
healthy,acquisition,CS+,3,animals/firebug.jpg,0.4022199684016113
healthy,acquisition,CS+,3,animals/herring.jpg,0.9999999917284362
healthy,acquisition,CS+,3,animals/mahimahi.jpg,0.8127321147955595
healthy,acquisition,CS+,3,animals/mink.jpg,0.4816763276985881
healthy,acquisition,CS+,3,animals/mouse.jpg,0.001137582617376972
healthy,acquisition,CS+,3,animals/palmcockatoo.jpg,6.403785812417042e-05
healthy,acquisition,CS+,3,animals/partridge.jpg,0.9944626946717128
healthy,acquisition,CS+,3,animals/rabbit.jpg,0.5213123538662738
healthy,acquisition,CS+,3,animals/seal.jpg,2.5767907583963586e-05
healthy,acquisition,CS+,3,animals/shark.jpg,0.5232390201376309
healthy,acquisition,CS+,3,animals/sheep.jpg,4.237934211298636e-11
healthy,acquisition,CS+,3,animals/snail.jpg,0.025363710011513926
healthy,acquisition,CS+,3,animals/turkey.jpg,0.9914064654832385
healthy,acquisition,CS+,4,tools/beaker.jpg,0.9999999851142403
healthy,acquisition,CS+,4,tools/benchdogs.jpg,0.9561675673324889
healthy,acquisition,CS+,4,tools/blackboard.jpg,0.961023135191244
healthy,acquisition,CS+,4,tools/broom.jpg,4.911625753695949e-06
healthy,acquisition,CS+,4,tools/eraser.jpg,0.000420306329081185
healthy,acquisition,CS+,4,tools/fan.jpg,0.9980296066785569
healthy,acquisition,CS+,4,tools/lawnmower.jpg,0.9999997215927023
healthy,acquisition,CS+,4,tools/levelmount.jpg,0.03229768769103659
healthy,acquisition,CS+,4,tools/mallet.jpg,0.9999930278673953
healthy,acquisition,CS+,4,tools/measuringcups.jpg,0.9147284164795026
healthy,acquisition,CS+,4,tools/measuringdevice.jpg,0.9906893507371703
healthy,acquisition,CS+,4,tools/pruner.jpg,0.9957202637245999
healthy,acquisition,CS+,4,tools/routerplane.jpg,0.2775702676189318
healthy,acquisition,CS+,4,tools/ruler.jpg,0.019512352043739724
healthy,acquisition,CS+,4,tools/sander.jpg,0.8095354813094321
healthy,acquisition,CS+,4,tools/sparkplug.jpg,0.9996359602805146
healthy,acquisition,CS+,4,tools/spoon.jpg,0.9662374342221336
healthy,acquisition,CS+,4,tools/thermometer.jpg,0.9999997492701327
healthy,acquisition,CS+,4,tools/tubeflaring.jpg,0.9999999224219018
healthy,acquisition,CS+,4,tools/vegetablepeeler.jpg,0.9999994359681245
healthy,acquisition,CS+,4,tools/viceclamp.jpg,0.9999996678948472
healthy,acquisition,CS+,4,tools/weedeater.jpg,0.886024027083596
healthy,acquisition,CS+,4,tools/woodchipper.jpg,0.014716975101575212
healthy,acquisition,CS+,4,tools/wrench.jpg,0.011474201244628945
healthy,acquisition,CS+,5,tools/beaker.jpg,0.9938420022216025
healthy,acquisition,CS+,5,tools/benchdogs.jpg,0.16109144430293396
healthy,acquisition,CS+,5,tools/blackboard.jpg,0.22255035056776695
healthy,acquisition,CS+,5,tools/broom.jpg,0.8254977051045904
healthy,acquisition,CS+,5,tools/eraser.jpg,0.006777236018849119
healthy,acquisition,CS+,5,tools/fan.jpg,0.417366596725632
healthy,acquisition,CS+,5,tools/lawnmower.jpg,2.276185085973537e-12
healthy,acquisition,CS+,5,tools/levelmount.jpg,0.00039580490551843924
healthy,acquisition,CS+,5,tools/mallet.jpg,0.6529796169459502
healthy,acquisition,CS+,5,tools/measuringcups.jpg,0.0001261723198754393
healthy,acquisition,CS+,5,tools/measuringdevice.jpg,0.975669138453062
healthy,acquisition,CS+,5,tools/pruner.jpg,0.9829284763731057
healthy,acquisition,CS+,5,tools/routerplane.jpg,0.21699625534551653
healthy,acquisition,CS+,5,tools/ruler.jpg,0.9984332236612353
healthy,acquisition,CS+,5,tools/sander.jpg,0.0007328700121636055
healthy,acquisition,CS+,5,tools/sparkplug.jpg,0.9999999999081854
