group,memory_phase,roi,condition,el,subject,rsa
healthy,encoding,A32sg,CS+,early,1,0.42794332214906894
healthy,encoding,A32sg,CS+,early,2,0.20659752193472214
healthy,encoding,A32sg,CS+,early,3,0.0704192814556995
healthy,encoding,A32sg,CS+,early,4,0.18847569486487592
healthy,encoding,A32sg,CS+,early,5,0.4968832746233619
healthy,encoding,A32sg,CS+,early,6,0.8410614379050205
healthy,encoding,A32sg,CS+,early,7,0.16976249299429813
healthy,encoding,A32sg,CS+,early,8,0.7308498639213402
healthy,encoding,A32sg,CS+,early,9,0.07420953278573268
healthy,encoding,A32sg,CS+,early,10,0.00486946743968695
healthy,encoding,A32sg,CS+,early,12,0.07419254468034005
healthy,encoding,A32sg,CS+,early,13,0.0566975959760493
healthy,encoding,A32sg,CS+,early,14,0.3279562362773191
healthy,encoding,A32sg,CS+,early,15,0.2603090741302314
healthy,encoding,A32sg,CS+,early,16,0.1925901609827584
healthy,encoding,A32sg,CS+,early,17,0.05449667247077504
healthy,encoding,A32sg,CS+,early,18,0.042255202247470175
healthy,encoding,A32sg,CS+,early,19,0.30281773421088914
healthy,encoding,A32sg,CS+,early,21,0.037563009240559254
healthy,encoding,A32sg,CS+,early,23,0.04558330688264981
healthy,encoding,A32sg,CS+,early,24,0.12230116143742073
healthy,encoding,A32sg,CS+,early,25,0.1775588556552312
healthy,encoding,A32sg,CS+,early,26,0.9073922257986042
healthy,encoding,A32p,CS+,early,1,0.47225358874796464
healthy,encoding,A32p,CS+,early,2,0.5300161743270055
healthy,encoding,A32p,CS+,early,3,0.04211916996720216
healthy,encoding,A32p,CS+,early,4,0.053995903680113845
healthy,encoding,A32p,CS+,early,5,0.1530978495327193
healthy,encoding,A32p,CS+,early,6,0.08206191474480759
healthy,encoding,A32p,CS+,early,7,0.18492500338779083
healthy,encoding,A32p,CS+,early,8,1.0691363773766134
healthy,encoding,A32p,CS+,early,9,0.1383975170237598
healthy,encoding,A32p,CS+,early,10,0.03068193703456915
healthy,encoding,A32p,CS+,early,12,0.010856024368637317
healthy,encoding,A32p,CS+,early,13,0.5733690179830012
healthy,encoding,A32p,CS+,early,14,0.11605347478536086
healthy,encoding,A32p,CS+,early,15,0.14230140454907836
healthy,encoding,A32p,CS+,early,16,0.5595367705790617
healthy,encoding,A32p,CS+,early,17,0.07313103492955891
healthy,encoding,A32p,CS+,early,18,0.045109165226921835
healthy,encoding,A32p,CS+,early,19,0.06925951459745397
healthy,encoding,A32p,CS+,early,21,0.16488221371238015
healthy,encoding,A32p,CS+,early,23,0.17336262137742203
healthy,encoding,A32p,CS+,early,24,0.35585413167421465
healthy,encoding,A32p,CS+,early,25,0.02434960068564782
healthy,encoding,A32p,CS+,early,26,0.18338543079935468
healthy,encoding,A24cd,CS+,early,1,1.296148843914371
healthy,encoding,A24cd,CS+,early,2,0.3696101070941263
healthy,encoding,A24cd,CS+,early,3,0.06784851886680435
healthy,encoding,A24cd,CS+,early,4,0.0825223094064328
healthy,encoding,A24cd,CS+,early,5,0.7956570806823753
healthy,encoding,A24cd,CS+,early,6,0.2623749630531693
healthy,encoding,A24cd,CS+,early,7,0.2076654472762475
healthy,encoding,A24cd,CS+,early,8,0.7410072050651944
healthy,encoding,A24cd,CS+,early,9,0.12215665428518882
healthy,encoding,A24cd,CS+,early,10,0.21400598868985815
healthy,encoding,A24cd,CS+,early,12,0.01676625506822515
healthy,encoding,A24cd,CS+,early,13,0.4368330055770547
healthy,encoding,A24cd,CS+,early,14,0.13638992242854653
healthy,encoding,A24cd,CS+,early,15,0.12413640403182565
healthy,encoding,A24cd,CS+,early,16,1.0622328824023353
healthy,encoding,A24cd,CS+,early,17,0.21201126740392495
healthy,encoding,A24cd,CS+,early,18,0.06437611602674403
healthy,encoding,A24cd,CS+,early,19,0.4820288486834049
healthy,encoding,A24cd,CS+,early,21,0.03158537127799413
healthy,encoding,A24cd,CS+,early,23,0.22082155110653232
healthy,encoding,A24cd,CS+,early,24,0.30025546913881895
healthy,encoding,A24cd,CS+,early,25,0.014394996286434338
healthy,encoding,A24cd,CS+,early,26,0.20700265098107007
healthy,encoding,A24rv,CS+,early,1,0.06931878745500963
healthy,encoding,A24rv,CS+,early,2,0.07161310599614285
healthy,encoding,A24rv,CS+,early,3,-0.014496199458046678
healthy,encoding,A24rv,CS+,early,4,0.05503628681856851
healthy,encoding,A24rv,CS+,early,5,0.05068909093035551
healthy,encoding,A24rv,CS+,early,6,0.21271437963385426
healthy,encoding,A24rv,CS+,early,7,0.1873312372748037
healthy,encoding,A24rv,CS+,early,8,0.19031845044828236
healthy,encoding,A24rv,CS+,early,9,0.15935365381332706
healthy,encoding,A24rv,CS+,early,10,0.06716407844899949
healthy,encoding,A24rv,CS+,early,12,0.1475628628672657
healthy,encoding,A24rv,CS+,early,13,0.14157523234292638
healthy,encoding,A24rv,CS+,early,14,0.10915372868981311
healthy,encoding,A24rv,CS+,early,15,-0.029327535536919063
healthy,encoding,A24rv,CS+,early,16,0.12134785655690446
healthy,encoding,A24rv,CS+,early,17,0.02844251542068059
healthy,encoding,A24rv,CS+,early,18,0.1301312730012656
healthy,encoding,A24rv,CS+,early,19,0.2564288681407697
healthy,encoding,A24rv,CS+,early,21,0.05342733817399414
healthy,encoding,A24rv,CS+,early,23,0.10787206128296815
healthy,encoding,A24rv,CS+,early,24,0.047351140098224866
healthy,encoding,A24rv,CS+,early,25,0.056172593770165445
healthy,encoding,A24rv,CS+,early,26,0.06148668229899526
healthy,encoding,A14m,CS+,early,1,0.8625555853215616
healthy,encoding,A14m,CS+,early,2,0.16453493318658718
healthy,encoding,A14m,CS+,early,3,0.054744380117001605
healthy,encoding,A14m,CS+,early,4,0.3691613175567247
healthy,encoding,A14m,CS+,early,5,0.32542938218869905
healthy,encoding,A14m,CS+,early,6,0.6613932291555851
healthy,encoding,A14m,CS+,early,7,0.15037648419483624
healthy,encoding,A14m,CS+,early,8,0.24351402552916865
