"","condition","ev","yvar","SE","df","LCL","UCL","tvar","xvar"
"1","CS-",0,-0.0167435720516853,0.0374218506630994,Inf,-0.0900890515861963,0.0566019074828258,"CS-",0
"2","CS+",0,-0.129661544920793,0.037675998084392,Inf,-0.203505144247801,-0.0558179455937845,"CS+",0
"3","CS-",0.01,-0.0162641710520039,0.0372290862875057,Inf,-0.089231839352849,0.0567034972488413,"CS-",0.01
"4","CS+",0.01,-0.128274740704562,0.0374795585595621,Inf,-0.201733325637764,-0.0548161557713604,"CS+",0.01
"5","CS-",0.02,-0.0157847700523225,0.0370386922181107,Inf,-0.0883792728342834,0.0568097327296384,"CS-",0.02
"6","CS+",0.02,-0.126887936488331,0.0372854573050905,Inf,-0.199966089953414,-0.053809783023248,"CS+",0.02
"7","CS-",0.03,-0.0153053690526411,0.0368507051944393,Inf,-0.0875314240386453,0.056920685933363,"CS-",0.03
"8","CS+",0.03,-0.1255011322721,0.0370937310275651,Inf,-0.198203509138344,-0.0527987554058569,"CS+",0.03
"9","CS-",0.04,-0.0148259680529597,0.0366651622402135,Inf,-0.086688365531096,0.0570364294251766,"CS-",0.04
"10","CS+",0.04,-0.124114328055869,0.0369044167425324,Inf,-0.19644565574169,-0.051783000370049,"CS+",0.04
"11","CS-",0.05,-0.0143465670532784,0.0364821006460569,Inf,-0.0858501703999153,0.0571570362933586,"CS-",0.05
"12","CS+",0.05,-0.122727523839639,0.0367175517584331,Inf,-0.194692602886653,-0.0507624447926245,"CS+",0.05
"13","CS-",0.06,-0.013867166053597,0.0363015579510168,Inf,-0.0850169122202836,0.0572825801130896,"CS-",0.06
"14","CS+",0.06,-0.121340719623408,0.0365331736593669,Inf,-0.192944424236714,-0.0497370150101013,"CS+",0.06
"15","CS-",0.07,-0.0133877650539156,0.036123571922876,Inf,-0.0841886650156948,0.0574131349078636,"CS-",0.07
"16","CS+",0.07,-0.119953915407177,0.0363513202866587,Inf,-0.191201193959508,-0.0487066368548456,"CS+",0.07
"17","CS-",0.08,-0.0129083640542342,0.0359481805372332,Inf,-0.0833655032169549,0.0575487751084865,"CS-",0.08
"18","CS+",0.08,-0.118567111190946,0.0361720297191985,Inf,-0.189462986688288,-0.0476712356936046,"CS+",0.08
"19","CS-",0.09,-0.0124289630545528,0.035775421955331,Inf,-0.0825475016187251,0.0576895755096194,"CS-",0.09
"20","CS+",0.09,-0.117180306974715,0.0359953402525306,Inf,-0.18772987748094,-0.0466307364684903,"CS+",0.09
"21","CS-",0.1,-0.0119495620548715,0.0356053345006138,Inf,-0.081734735333576,0.0578356112238331,"CS-",0.1
"22","CS+",0.1,-0.115793502758484,0.0358212903766722,Inf,-0.186001941776513,-0.0455850637404556,"CS+",0.1
"23","CS-",0.11,-0.0114701610551901,0.0354379566340016,Inf,-0.0809272797435255,0.0579869576331454,"CS-",0.11
"24","CS+",0.11,-0.114406698542253,0.0356499187526399,Inf,-0.184279255349207,-0.0445341417353002,"CS+",0.11
"25","CS-",0.12,-0.0109907600555087,0.0352733269278688,Inf,-0.0801252104490384,0.058143690338021,"CS-",0.12
"26","CS+",0.12,-0.113019894326023,0.0354812641876713,Inf,-0.182561894259809,-0.043477894392236,"CS+",0.12
"27","CS-",0.13,-0.0105113590558273,0.0351114840387216,Inf,-0.0793286032154745,0.0583058851038199,"CS-",0.13
"28","CS+",0.13,-0.111633090109792,0.0353153656091279,Inf,-0.180849934804547,-0.0424162454150367,"CS+",0.13
"29","CS-",0.14,-0.0100319580561459,0.0349524666785713,Inf,-0.0785375339169821,0.0584736178046902,"CS-",0.14
"30","CS+",0.14,-0.110246285893561,0.0351522620370718,Inf,-0.179143453461336,-0.0413491183257857,"CS+",0.14
"31","CS-",0.15,-0.00955255705646456,0.0347963135850055,Inf,-0.0777520784778371,0.0586469643649079,"CS-",0.15
"32","CS+",0.15,-0.10885948167733,0.0349919925555131,Inf,-0.177442526833429,-0.0402764365212307,"CS+",0.15
"33","CS-",0.16,-0.00907315605678318,0.0346430634899627,Inf,-0.0769723128112445,0.0588260006976781,"CS-",0.16
"34","CS+",0.16,-0.107472677461099,0.0348345962823277,Inf,-0.175747231590454,-0.0391981233317442,"CS+",0.16
"35","CS-",0.17,-0.0085937550571018,0.0344927550872251,Inf,-0.0761983127556236,0.05901080264142,"CS-",0.17
"36","CS+",0.17,-0.106085873244868,0.0346801123378511,Inf,-0.17405764440686,-0.0381141020828771,"CS+",0.17
"37","CS-",0.18,-0.00811435405742042,0.0343454269986435,Inf,-0.0754301540084112,0.0592014458935704,"CS-",0.18
"38","CS+",0.18,-0.104699069028638,0.0345285798121603,Inf,-0.172373841897788,-0.0370242961594866,"CS+",0.18
"39","CS-",0.19,-0.00763495305773904,0.0342011177391202,Inf,-0.0746679120574285,0.0593980059419505,"CS-",0.19
"40","CS+",0.19,-0.103312264812407,0.0343800377310587,Inf,-0.17069590055241,-0.0359286290724034,"CS+",0.19
"41","CS-",0.2,-0.00715555205805766,0.0340598656803771,Inf,-0.0739116621098686,0.0596005579937532,"CS-",0.2
"42","CS+",0.2,-0.101925460596176,0.0342345250207866,Inf,-0.169023896664753,-0.0348270245275988,"CS+",0.2
"43","CS-",0.21,-0.00667615105837628,0.0339217090135454,Inf,-0.0731614790189731,0.0598091769022205,"CS-",0.21
"44","CS+",0.21,-0.100538656379945,0.0340920804714855,Inf,-0.167357906262098,-0.0337194064977921,"CS+",0.21
"45","CS-",0.22,-0.0061967500586949,0.0337866857106187,Inf,-0.0724174372084816,0.0600239370910918,"CS-",0.22
"46","CS+",0.22,-0.0991518521637141,0.0339527426994517,Inf,-0.165698005030995,-0.0326056992964336,"CS+",0.22
"47","CS-",0.23,-0.00571734905901352,0.033654833484817,Inf,-0.0716796105949474,0.0602449124769203,"CS-",0.23
"48","CS+",0.23,-0.0977650479474833,0.0338165501082182,Inf,-0.164044268240985,-0.0314858276539815,"CS+",0.23
