group,condition,memory_phase,roi,subject,rsa
healthy,CS+,encoding,A32sg,1,0.27923812364180456
healthy,CS+,encoding,A32sg,2,0.13623666147293767
healthy,CS+,encoding,A32sg,3,0.04717795735048659
healthy,CS+,encoding,A32sg,4,0.1035156399546589
healthy,CS+,encoding,A32sg,5,0.4598355429775387
healthy,CS+,encoding,A32sg,6,0.8283469904816714
healthy,CS+,encoding,A32sg,7,0.11345760354431356
healthy,CS+,encoding,A32sg,8,0.6291522376510227
healthy,CS+,encoding,A32sg,9,0.07320195449537148
healthy,CS+,encoding,A32sg,10,0.005135771869020997
healthy,CS+,encoding,A32sg,12,0.029252373820274766
healthy,CS+,encoding,A32sg,13,0.04986201211433442
healthy,CS+,encoding,A32sg,14,0.26457743112874915
healthy,CS+,encoding,A32sg,15,0.1503588309769591
healthy,CS+,encoding,A32sg,16,0.1858513006134493
healthy,CS+,encoding,A32sg,17,0.13253391858145053
healthy,CS+,encoding,A32sg,18,0.05240463575863821
healthy,CS+,encoding,A32sg,19,0.21310680506892923
healthy,CS+,encoding,A32sg,21,0.023120813049398406
healthy,CS+,encoding,A32sg,23,0.06496499433774867
healthy,CS+,encoding,A32sg,24,0.2543236137724515
healthy,CS+,encoding,A32sg,25,0.11758122279308461
healthy,CS+,encoding,A32sg,26,0.7468679916017322
healthy,CS+,encoding,A32p,1,0.398663973964559
healthy,CS+,encoding,A32p,2,0.3426547834159097
healthy,CS+,encoding,A32p,3,0.0191035433710184
healthy,CS+,encoding,A32p,4,0.02039111130528104
healthy,CS+,encoding,A32p,5,0.15519584625154412
healthy,CS+,encoding,A32p,6,0.10044378516985082
healthy,CS+,encoding,A32p,7,0.13857186988037729
healthy,CS+,encoding,A32p,8,0.8296019757346362
healthy,CS+,encoding,A32p,9,0.09738450461464941
healthy,CS+,encoding,A32p,10,0.06612385922216278
healthy,CS+,encoding,A32p,12,0.00521954693204789
healthy,CS+,encoding,A32p,13,0.6099429636629762
healthy,CS+,encoding,A32p,14,0.09558861178334871
healthy,CS+,encoding,A32p,15,0.09371123500887284
healthy,CS+,encoding,A32p,16,0.5481711426065341
healthy,CS+,encoding,A32p,17,0.10457273009621816
healthy,CS+,encoding,A32p,18,0.04148062851020725
healthy,CS+,encoding,A32p,19,0.12253797131687276
healthy,CS+,encoding,A32p,21,0.1278612306843702
healthy,CS+,encoding,A32p,23,0.12138012518911973
healthy,CS+,encoding,A32p,24,0.23939803378047644
healthy,CS+,encoding,A32p,25,0.022536736387850524
healthy,CS+,encoding,A32p,26,0.11900355423216588
healthy,CS+,encoding,A24cd,1,0.9178284213653733
healthy,CS+,encoding,A24cd,2,0.34078766062160093
healthy,CS+,encoding,A24cd,3,0.022130633615452023
healthy,CS+,encoding,A24cd,4,0.06364380545547806
healthy,CS+,encoding,A24cd,5,0.6770617254019489
healthy,CS+,encoding,A24cd,6,0.1737177318300171
healthy,CS+,encoding,A24cd,7,0.22228474598676662
healthy,CS+,encoding,A24cd,8,0.45096851966932533
healthy,CS+,encoding,A24cd,9,0.06922488575325542
healthy,CS+,encoding,A24cd,10,0.2063238531407244
healthy,CS+,encoding,A24cd,12,0.017360731647252627
healthy,CS+,encoding,A24cd,13,0.4824439069137518
healthy,CS+,encoding,A24cd,14,0.11800487872369803
healthy,CS+,encoding,A24cd,15,0.09832636827904256
healthy,CS+,encoding,A24cd,16,1.0484390881809762
healthy,CS+,encoding,A24cd,17,0.18534585847973586
healthy,CS+,encoding,A24cd,18,0.1015394168362843
healthy,CS+,encoding,A24cd,19,0.49820321749552576
healthy,CS+,encoding,A24cd,21,0.009907943087374983
healthy,CS+,encoding,A24cd,23,0.16263844644574282
healthy,CS+,encoding,A24cd,24,0.14526395350398505
healthy,CS+,encoding,A24cd,25,0.007244670999917745
healthy,CS+,encoding,A24cd,26,0.19305886662026164
healthy,CS+,encoding,A24rv,1,0.05195604129355939
healthy,CS+,encoding,A24rv,2,0.04990421525850411
healthy,CS+,encoding,A24rv,3,-0.002461548982280492
healthy,CS+,encoding,A24rv,4,0.04457219434771161
healthy,CS+,encoding,A24rv,5,0.051788611275741775
healthy,CS+,encoding,A24rv,6,0.21299090424940836
healthy,CS+,encoding,A24rv,7,0.13017594415322273
healthy,CS+,encoding,A24rv,8,0.19928539171076895
healthy,CS+,encoding,A24rv,9,0.16985995788319874
healthy,CS+,encoding,A24rv,10,0.007483052167764881
healthy,CS+,encoding,A24rv,12,0.1412597581950806
healthy,CS+,encoding,A24rv,13,0.1096458304320127
healthy,CS+,encoding,A24rv,14,0.10454805321258728
healthy,CS+,encoding,A24rv,15,-0.026850452051872628
healthy,CS+,encoding,A24rv,16,0.0851555921270073
healthy,CS+,encoding,A24rv,17,0.02352159017427459
healthy,CS+,encoding,A24rv,18,0.1138011794429212
healthy,CS+,encoding,A24rv,19,0.24172905343980705
healthy,CS+,encoding,A24rv,21,0.033788612954106005
healthy,CS+,encoding,A24rv,23,0.10036319142439802
healthy,CS+,encoding,A24rv,24,0.03859015637370457
healthy,CS+,encoding,A24rv,25,0.016924272319374337
healthy,CS+,encoding,A24rv,26,0.05066182836063027
healthy,CS+,encoding,A14m,1,0.6389571991238943
healthy,CS+,encoding,A14m,2,0.1030670201522115
healthy,CS+,encoding,A14m,3,0.050723577399202115
healthy,CS+,encoding,A14m,4,0.18777833048176928
healthy,CS+,encoding,A14m,5,0.2673883609843551
healthy,CS+,encoding,A14m,6,0.7327843839886646
healthy,CS+,encoding,A14m,7,0.16052445308821175
healthy,CS+,encoding,A14m,8,0.24397785552267737
healthy,CS+,encoding,A14m,9,0.11652790539447119
healthy,CS+,encoding,A14m,10,0.14240954731439148
healthy,CS+,encoding,A14m,12,0.028792104374877645
healthy,CS+,encoding,A14m,13,0.20962796095418687
healthy,CS+,encoding,A14m,14,0.38677091975636657
healthy,CS+,encoding,A14m,15,0.23826960889263976
healthy,CS+,encoding,A14m,16,0.16471151745060894
healthy,CS+,encoding,A14m,17,0.3448053450445778
healthy,CS+,encoding,A14m,18,0.13121033516723724
healthy,CS+,encoding,A14m,19,0.2397768655354055
healthy,CS+,encoding,A14m,21,0.13834415484472762
healthy,CS+,encoding,A14m,23,0.18849623261669618
healthy,CS+,encoding,A14m,24,0.13109138956537583
healthy,CS+,encoding,A14m,25,0.11060953764715503
healthy,CS+,encoding,A14m,26,0.6239582048349853
healthy,CS+,encoding,A11m,1,0.405310031075246
healthy,CS+,encoding,A11m,2,0.10969081452299116
healthy,CS+,encoding,A11m,3,0.029183550854801437
healthy,CS+,encoding,A11m,4,0.020284445076458036
healthy,CS+,encoding,A11m,5,0.5583348908309909
healthy,CS+,encoding,A11m,6,0.11007612289039244
healthy,CS+,encoding,A11m,7,0.041015039199195656
healthy,CS+,encoding,A11m,8,0.14752733581667052
healthy,CS+,encoding,A11m,9,0.13368557993601118
healthy,CS+,encoding,A11m,10,0.17209199279637774
healthy,CS+,encoding,A11m,12,0.08408914566762846
healthy,CS+,encoding,A11m,13,0.2928050942911935
healthy,CS+,encoding,A11m,14,0.1282825646732052
healthy,CS+,encoding,A11m,15,0.14343697040481032
healthy,CS+,encoding,A11m,16,0.07924970051257592
healthy,CS+,encoding,A11m,17,0.1321765435692363
healthy,CS+,encoding,A11m,18,0.1322703363032076
healthy,CS+,encoding,A11m,19,0.349799721745836
healthy,CS+,encoding,A11m,21,0.16338893473035432
healthy,CS+,encoding,A11m,23,0.02573608960764659
healthy,CS+,encoding,A11m,24,0.0842006015425984
healthy,CS+,encoding,A11m,25,0.057284818531014685
healthy,CS+,encoding,A11m,26,0.34864067579630625
healthy,CS+,encoding,A13,1,0.11503533442426492
healthy,CS+,encoding,A13,2,0.02708796734365838
healthy,CS+,encoding,A13,3,0.010662046237642702
healthy,CS+,encoding,A13,4,0.06396269855406277
healthy,CS+,encoding,A13,5,0.11838291881871836
healthy,CS+,encoding,A13,6,0.450088279136293
healthy,CS+,encoding,A13,7,0.11183290645779259
healthy,CS+,encoding,A13,8,0.2520925717705882
healthy,CS+,encoding,A13,9,0.25404210484326795
healthy,CS+,encoding,A13,10,0.09698437574849457
