"","phase","group","hc_head_ers","yvar","SE","df","LCL","UCL","tvar","xvar"
"1","acquisition","healthy",-0.3,-0.043568223662914,0.0458826616388487,Inf,-0.133496587989895,0.0463601406640669,"acquisition healthy",-0.3
"2","extinction","healthy",-0.3,-0.0793612710681972,0.0480200105381969,Inf,-0.173478762260297,0.0147562201239025,"extinction healthy",-0.3
"3","acquisition","ptsd",-0.3,-0.0740990924135283,0.0466784055018635,Inf,-0.165587086052937,0.0173889012258804,"acquisition ptsd",-0.3
"4","extinction","ptsd",-0.3,0.000686975137158597,0.0469912542298432,Inf,-0.0914141907416995,0.0927881410160167,"extinction ptsd",-0.3
"5","acquisition","healthy",-0.29,-0.042975094013262,0.045727876294962,Inf,-0.13260008464089,0.0466498966143664,"acquisition healthy",-0.29
"6","extinction","healthy",-0.29,-0.0772261363180943,0.0477848448143208,Inf,-0.170882711160999,0.0164304385248099,"extinction healthy",-0.29
"7","acquisition","ptsd",-0.29,-0.073550609579819,0.046485572561073,Inf,-0.164660657600245,0.0175594384406075,"acquisition ptsd",-0.29
"8","extinction","ptsd",-0.29,0.00106040539366502,0.0467730329008072,Inf,-0.0906130545396241,0.0927338653269541,"extinction ptsd",-0.29
"9","acquisition","healthy",-0.28,-0.0423819643636099,0.0455778596443523,Inf,-0.131712927758962,0.0469489990317421,"acquisition healthy",-0.28
"10","extinction","healthy",-0.28,-0.0750910015679915,0.0475551083204006,Inf,-0.168297301156878,0.0181152980208947,"extinction healthy",-0.28
"11","acquisition","ptsd",-0.28,-0.0730021267461096,0.046298161539778,Inf,-0.163744855914492,0.0177406024222728,"acquisition ptsd",-0.28
"12","extinction","ptsd",-0.28,0.00143383565017143,0.0465611775256865,Inf,-0.0898243953779498,0.0926920666782927,"extinction ptsd",-0.28
"13","acquisition","healthy",-0.27,-0.0417888347139579,0.0454326589250933,Inf,-0.130835209929033,0.0472575405011172,"acquisition healthy",-0.27
"14","extinction","healthy",-0.27,-0.0729558668178886,0.0473308801143342,Inf,-0.165722687198567,0.0198109535627895,"extinction healthy",-0.27
"15","acquisition","ptsd",-0.27,-0.0724536439124003,0.0461162385401736,Inf,-0.162839810553598,0.0179325227287978,"acquisition ptsd",-0.27
"16","extinction","ptsd",-0.27,0.00180726590667785,0.0463557753856976,Inf,-0.0890483843247177,0.0926629161380734,"extinction ptsd",-0.27
"17","acquisition","healthy",-0.26,-0.0411957050643058,0.0452923204547758,Inf,-0.129967021931913,0.0475756118033016,"acquisition healthy",-0.26
"18","extinction","healthy",-0.26,-0.0708207320677858,0.0471122388454005,Inf,-0.16315902343582,0.021517559300248,"extinction healthy",-0.26
"19","acquisition","ptsd",-0.26,-0.071905161078691,0.0459398687604047,Inf,-0.161945649303581,0.018135327146199,"acquisition ptsd",-0.26
"20","extinction","ptsd",-0.26,0.00218069616318426,0.0461569126332368,Inf,-0.0882851902355218,0.0926465825618903,"extinction ptsd",-0.26
"21","acquisition","healthy",-0.25,-0.0406025754146537,0.0451568895660784,Inf,-0.12910845261802,0.0479033017887125,"acquisition healthy",-0.25
"22","extinction","healthy",-0.25,-0.0686855973176829,0.0468992626514616,Inf,-0.160606463016032,0.0232352683806662,"extinction healthy",-0.25
"23","acquisition","ptsd",-0.25,-0.0713566782449817,0.0457691163979647,Inf,-0.161062497989214,0.0183491414992507,"acquisition ptsd",-0.25
"24","extinction","ptsd",-0.25,0.00255412641969068,0.0459646741449076,Inf,-0.0875349794654475,0.0926432323048289,"extinction ptsd",-0.25
"25","acquisition","healthy",-0.24,-0.0400094457650017,0.0450264105422424,Inf,-0.128259588780911,0.0482406972509081,"acquisition healthy",-0.24
"26","extinction","healthy",-0.24,-0.06655046256758,0.046692029052844,Inf,-0.158065157876252,0.024964232741092,"extinction healthy",-0.24
"27","acquisition","ptsd",-0.24,-0.0708081954112723,0.0456040445517268,Inf,-0.160190480282017,0.0185740894594722,"acquisition ptsd",-0.24
"28","extinction","ptsd",-0.24,0.0029275566761971,0.0457791433717918,Inf,-0.0867979155756103,0.0926530289280045,"extinction ptsd",-0.24
"29","acquisition","healthy",-0.23,-0.0394163161153496,0.0449009265526311,Inf,-0.127420515030985,0.0485878828002856,"acquisition healthy",-0.23
"30","extinction","healthy",-0.23,-0.0644153278174772,0.0464906148430907,Inf,-0.155535258529058,0.0267046028941039,"extinction healthy",-0.23
