subject,roi,phase,condition,beta
1,hc_head,acquisition,CS+,-58.485634914825305
1,hc_head,acquisition,CS-,-47.72801705395814
1,hc_head,baseline,CS+,-21.017305883886653
1,hc_head,baseline,CS-,-40.70629640516677
1,hc_head,extinction,CS+,-41.94482646397126
1,hc_head,extinction,CS-,-22.542586876735726
2,hc_head,acquisition,CS+,-19.745150843526133
2,hc_head,acquisition,CS-,-21.76702515529634
2,hc_head,baseline,CS+,-44.73080084059678
2,hc_head,baseline,CS-,-24.064359413411562
2,hc_head,extinction,CS+,-20.775807981187086
2,hc_head,extinction,CS-,-31.919455431023
3,hc_head,acquisition,CS+,-9.675937852191076
3,hc_head,acquisition,CS-,11.163396081058801
3,hc_head,baseline,CS+,23.281589508369418
3,hc_head,baseline,CS-,-1.1178762557341402
3,hc_head,extinction,CS+,-1.6775024112544947
3,hc_head,extinction,CS-,1.1889401803884363
4,hc_head,acquisition,CS+,-60.4896896433699
4,hc_head,acquisition,CS-,-48.3120691404896
4,hc_head,baseline,CS+,-49.39607511513336
4,hc_head,baseline,CS-,-54.41635952233266
4,hc_head,extinction,CS+,-57.467770612015215
4,hc_head,extinction,CS-,-56.043990863169
5,hc_head,acquisition,CS+,3.55548674188784
5,hc_head,acquisition,CS-,9.177936967726172
5,hc_head,baseline,CS+,8.01199761061738
5,hc_head,baseline,CS-,-18.130134682026775
5,hc_head,extinction,CS+,-3.471216496342958
5,hc_head,extinction,CS-,5.511234805574867
6,hc_head,acquisition,CS+,-39.36808740736877
6,hc_head,acquisition,CS-,-22.845026440312367
6,hc_head,baseline,CS+,-27.940836556902735
6,hc_head,baseline,CS-,-16.40615139740935
6,hc_head,extinction,CS+,-20.855172242796854
6,hc_head,extinction,CS-,-36.30163094672344
7,hc_head,acquisition,CS+,-18.227014306049156
7,hc_head,acquisition,CS-,-1.3294822650406053
7,hc_head,baseline,CS+,-13.803840159434262
7,hc_head,baseline,CS-,2.5892382513106753
7,hc_head,extinction,CS+,-0.3332570834608193
7,hc_head,extinction,CS-,0.9326758511366502
8,hc_head,acquisition,CS+,29.921512303196003
8,hc_head,acquisition,CS-,25.221552578258446
8,hc_head,baseline,CS+,23.202374118739556
8,hc_head,baseline,CS-,25.842501679066004
8,hc_head,extinction,CS+,23.97393369611711
8,hc_head,extinction,CS-,17.207537345455982
9,hc_head,acquisition,CS+,17.01869095711301
9,hc_head,acquisition,CS-,22.340279909747306
9,hc_head,baseline,CS+,16.978864471828846
9,hc_head,baseline,CS-,22.67161897539133
9,hc_head,extinction,CS+,16.410892465468873
9,hc_head,extinction,CS-,9.038958459814088
10,hc_head,acquisition,CS+,8.273946407495428
10,hc_head,acquisition,CS-,7.602103833971516
10,hc_head,baseline,CS+,8.901359259286517
10,hc_head,baseline,CS-,-11.567497681320418
10,hc_head,extinction,CS+,1.9110318248139209
10,hc_head,extinction,CS-,4.563960017091049
12,hc_head,acquisition,CS+,10.881172646519374
12,hc_head,acquisition,CS-,23.427439350821764
12,hc_head,baseline,CS+,2.268920829696289
12,hc_head,baseline,CS-,19.963927798361635
12,hc_head,extinction,CS+,5.844716480057603
12,hc_head,extinction,CS-,18.227230520873086
13,hc_head,acquisition,CS+,-16.248199325440556
13,hc_head,acquisition,CS-,-20.492861529489545
13,hc_head,baseline,CS+,-2.9538178686961776
13,hc_head,baseline,CS-,-7.441916565908236
13,hc_head,extinction,CS+,-19.854569942030746
13,hc_head,extinction,CS-,-11.529127581069314
14,hc_head,acquisition,CS+,-18.797149207189417
14,hc_head,acquisition,CS-,-25.12519780615834
14,hc_head,baseline,CS+,-28.21345539502196
14,hc_head,baseline,CS-,-16.86858880945085
14,hc_head,extinction,CS+,-19.940921629613474
14,hc_head,extinction,CS-,-20.35599778775488
15,hc_head,acquisition,CS+,-13.211049049979303
15,hc_head,acquisition,CS-,-1.037074344821726
15,hc_head,baseline,CS+,-13.417821785374665
15,hc_head,baseline,CS-,-20.54204046590293
15,hc_head,extinction,CS+,-13.317162952289179
15,hc_head,extinction,CS-,-11.36713670360221
16,hc_head,acquisition,CS+,-5.118438882769149
16,hc_head,acquisition,CS-,2.8684993564566397
16,hc_head,baseline,CS+,-9.743518219730019
16,hc_head,baseline,CS-,1.5742877252263403
16,hc_head,extinction,CS+,-2.900477903867272
16,hc_head,extinction,CS-,-2.802322463587817
17,hc_head,acquisition,CS+,4.627596556112313
17,hc_head,acquisition,CS-,-8.504847178406193
17,hc_head,baseline,CS+,3.938362865781702
17,hc_head,baseline,CS-,-7.443691571194154
17,hc_head,extinction,CS+,12.034663468952745
17,hc_head,extinction,CS-,-3.738936806399355
18,hc_head,acquisition,CS+,-13.799373265383851
18,hc_head,acquisition,CS-,-11.087106471817378
18,hc_head,baseline,CS+,-22.72194172768422
18,hc_head,baseline,CS-,-14.974929254756056
18,hc_head,extinction,CS+,-9.517060852536668
18,hc_head,extinction,CS-,-10.147849425659766
19,hc_head,acquisition,CS+,-29.512236110471004
19,hc_head,acquisition,CS-,-27.709216061047773
19,hc_head,baseline,CS+,-19.82160260561979
19,hc_head,baseline,CS-,-35.62699755552966
19,hc_head,extinction,CS+,-24.60177097984931
19,hc_head,extinction,CS-,-28.64362527774217
20,hc_head,acquisition,CS+,-0.7505772801655386
20,hc_head,acquisition,CS-,-8.069604826668975
20,hc_head,baseline,CS+,11.205321219437002
20,hc_head,baseline,CS-,7.248619876552572
20,hc_head,extinction,CS+,4.346372280521289
20,hc_head,extinction,CS-,0.48843664209522747
21,hc_head,acquisition,CS+,10.626808962476282
21,hc_head,acquisition,CS-,-1.406190591044845
21,hc_head,baseline,CS+,14.605384488219146
21,hc_head,baseline,CS-,10.81655623446656
21,hc_head,extinction,CS+,10.914016135482449
21,hc_head,extinction,CS-,13.015160552485547
23,hc_head,acquisition,CS+,-4.330601551276862
23,hc_head,acquisition,CS-,6.836214908743529
