"","phase","group","hc_tail_ers","yvar","SE","df","LCL","UCL","tvar","xvar"
"1","acquisition","healthy",-0.2,-0.0390140227982004,0.0461685954418075,Inf,-0.129502807080943,0.0514747614845425,"acquisition healthy",-0.2
"2","extinction","healthy",-0.2,0.0143831576373464,0.045462557373706,Inf,-0.0747218174602033,0.103488132734896,"extinction healthy",-0.2
"3","acquisition","ptsd",-0.2,-0.0248599907060323,0.0461895887240493,Inf,-0.115389921065886,0.0656699396538216,"acquisition ptsd",-0.2
"4","extinction","ptsd",-0.2,0.0293922602610019,0.0455240588666931,Inf,-0.0598332555477978,0.118617776069802,"extinction ptsd",-0.2
"5","acquisition","healthy",-0.19,-0.0384912412428575,0.0460014845455881,Inf,-0.128652494187586,0.0516700117018711,"acquisition healthy",-0.19
"6","extinction","healthy",-0.19,0.0135142223399805,0.0453267185658393,Inf,-0.0753245135864476,0.102352958266409,"extinction healthy",-0.19
"7","acquisition","ptsd",-0.19,-0.0261274707152417,0.0460323510322643,Inf,-0.116349220862185,0.0640942794317014,"acquisition ptsd",-0.19
"8","extinction","ptsd",-0.19,0.0285974834760901,0.0453995922765626,Inf,-0.0603840822987753,0.117579049250956,"extinction ptsd",-0.19
"9","acquisition","healthy",-0.18,-0.0379684596875145,0.0458411717122246,Inf,-0.127815505252591,0.0518785858775619,"acquisition healthy",-0.18
"10","extinction","healthy",-0.18,0.0126452870426145,0.0451979228888197,Inf,-0.0759410139954906,0.10123158808072,"extinction healthy",-0.18
"11","acquisition","ptsd",-0.18,-0.0273949507244511,0.0458810199971444,Inf,-0.117320097492816,0.0625301960439139,"acquisition ptsd",-0.18
"12","extinction","ptsd",-0.18,0.0278027066911784,0.0452809620227199,Inf,-0.0609463480586785,0.116551761441035,"extinction ptsd",-0.18
"13","acquisition","healthy",-0.17,-0.0374456781321716,0.0456877285025676,Inf,-0.126991980532648,0.0521006242683049,"acquisition healthy",-0.17
"14","extinction","healthy",-0.17,0.0117763517452486,0.0450762307154023,Inf,-0.076571437015758,0.100124140506255,"extinction healthy",-0.17
"15","acquisition","ptsd",-0.17,-0.0286624307336605,0.0457356542509136,Inf,-0.118302665874827,0.0609778044075063,"acquisition ptsd",-0.17
