group,phase,condition,subject,mem_acc
healthy,acquisition,CS+,1,0.6666666666666666
healthy,acquisition,CS+,2,0.75
healthy,acquisition,CS+,3,0.25
healthy,acquisition,CS+,4,0.4166666666666667
healthy,acquisition,CS+,5,0.9166666666666666
healthy,acquisition,CS+,6,0.7916666666666666
healthy,acquisition,CS+,7,0.4166666666666667
healthy,acquisition,CS+,8,0.875
healthy,acquisition,CS+,9,0.7083333333333334
healthy,acquisition,CS+,10,0.9583333333333334
healthy,acquisition,CS+,12,0.5416666666666666
healthy,acquisition,CS+,13,0.16666666666666666
healthy,acquisition,CS+,14,0.375
healthy,acquisition,CS+,15,0.7916666666666666
healthy,acquisition,CS+,16,0.4166666666666667
healthy,acquisition,CS+,17,0.875
healthy,acquisition,CS+,18,0.16666666666666666
healthy,acquisition,CS+,19,0.625
healthy,acquisition,CS+,20,0.3125
healthy,acquisition,CS+,21,0.5833333333333334
healthy,acquisition,CS+,23,0.125
healthy,acquisition,CS+,24,0.7083333333333334
healthy,acquisition,CS+,25,0.75
healthy,acquisition,CS+,26,0.9583333333333334
healthy,acquisition,CS-,1,0.125
healthy,acquisition,CS-,2,0.391304347826087
healthy,acquisition,CS-,3,0.043478260869565216
healthy,acquisition,CS-,4,0.625
healthy,acquisition,CS-,5,0.7391304347826086
healthy,acquisition,CS-,6,0.08695652173913043
healthy,acquisition,CS-,7,0.4166666666666667
healthy,acquisition,CS-,8,0.5416666666666666
healthy,acquisition,CS-,9,0.7083333333333334
healthy,acquisition,CS-,10,0.391304347826087
healthy,acquisition,CS-,12,0.125
healthy,acquisition,CS-,13,0.16666666666666666
healthy,acquisition,CS-,14,0.16666666666666666
healthy,acquisition,CS-,15,0.16666666666666666
healthy,acquisition,CS-,16,0.08333333333333333
healthy,acquisition,CS-,17,0.625
healthy,acquisition,CS-,18,0.08333333333333333
healthy,acquisition,CS-,19,0.6666666666666666
healthy,acquisition,CS-,20,0.3684210526315789
healthy,acquisition,CS-,21,0.8333333333333334
healthy,acquisition,CS-,23,0.4166666666666667
healthy,acquisition,CS-,24,0.125
healthy,acquisition,CS-,25,0.5416666666666666
healthy,acquisition,CS-,26,0.7083333333333334
healthy,baseline,CS+,1,0.5909090909090909
healthy,baseline,CS+,2,0.9166666666666666
healthy,baseline,CS+,3,0.375
healthy,baseline,CS+,4,0.625
healthy,baseline,CS+,5,0.9583333333333334
healthy,baseline,CS+,6,0.3333333333333333
healthy,baseline,CS+,7,0.2916666666666667
healthy,baseline,CS+,8,0.625
healthy,baseline,CS+,9,0.25
healthy,baseline,CS+,10,0.6521739130434783
healthy,baseline,CS+,12,0.5416666666666666
healthy,baseline,CS+,13,0.2608695652173913
healthy,baseline,CS+,14,0.4583333333333333
healthy,baseline,CS+,15,0.4166666666666667
healthy,baseline,CS+,16,0.25
healthy,baseline,CS+,17,0.8333333333333334
healthy,baseline,CS+,18,0.25
healthy,baseline,CS+,19,0.7916666666666666
healthy,baseline,CS+,20,0.35
healthy,baseline,CS+,21,0.5416666666666666
healthy,baseline,CS+,23,0.2916666666666667
healthy,baseline,CS+,24,0.5416666666666666
healthy,baseline,CS+,25,0.3333333333333333
healthy,baseline,CS+,26,0.6666666666666666
healthy,baseline,CS-,1,0.2608695652173913
healthy,baseline,CS-,2,0.6666666666666666
healthy,baseline,CS-,3,0.34782608695652173
healthy,baseline,CS-,4,0.625
healthy,baseline,CS-,5,0.8260869565217391
healthy,baseline,CS-,6,0.16666666666666666
healthy,baseline,CS-,7,0.16666666666666666
healthy,baseline,CS-,8,0.5416666666666666
healthy,baseline,CS-,9,0.5
healthy,baseline,CS-,10,0.625
healthy,baseline,CS-,12,0.4583333333333333
healthy,baseline,CS-,13,0.125
healthy,baseline,CS-,14,0.375
healthy,baseline,CS-,15,0.3333333333333333
healthy,baseline,CS-,16,0.08333333333333333
healthy,baseline,CS-,17,0.75
healthy,baseline,CS-,18,0.20833333333333334
healthy,baseline,CS-,19,0.8333333333333334
healthy,baseline,CS-,20,0.5238095238095238
healthy,baseline,CS-,21,0.625
healthy,baseline,CS-,23,0.34782608695652173
healthy,baseline,CS-,24,0.3333333333333333
healthy,baseline,CS-,25,0.4583333333333333
healthy,baseline,CS-,26,0.7083333333333334
healthy,extinction,CS+,1,0.25
healthy,extinction,CS+,2,0.9166666666666666
healthy,extinction,CS+,3,0.375
healthy,extinction,CS+,4,0.625
healthy,extinction,CS+,5,0.8260869565217391
healthy,extinction,CS+,6,0.6086956521739131
healthy,extinction,CS+,7,0.3333333333333333
healthy,extinction,CS+,8,0.7083333333333334
healthy,extinction,CS+,9,0.20833333333333334
healthy,extinction,CS+,10,0.8333333333333334
healthy,extinction,CS+,12,0.125
healthy,extinction,CS+,13,0.041666666666666664
healthy,extinction,CS+,14,0.08333333333333333
healthy,extinction,CS+,15,0.20833333333333334
healthy,extinction,CS+,16,0.21739130434782608
healthy,extinction,CS+,17,0.6666666666666666
healthy,extinction,CS+,18,0.20833333333333334
healthy,extinction,CS+,19,0.625
healthy,extinction,CS+,20,0.21052631578947367
healthy,extinction,CS+,21,0.25
healthy,extinction,CS+,23,0.041666666666666664
healthy,extinction,CS+,24,0.6666666666666666
healthy,extinction,CS+,25,0.21739130434782608
healthy,extinction,CS+,26,0.8333333333333334
healthy,extinction,CS-,1,0.22727272727272727
healthy,extinction,CS-,2,0.5217391304347826
healthy,extinction,CS-,3,0.16666666666666666
healthy,extinction,CS-,4,0.3333333333333333
healthy,extinction,CS-,5,0.8333333333333334
healthy,extinction,CS-,6,0.08333333333333333
healthy,extinction,CS-,7,0.125
healthy,extinction,CS-,8,0.4166666666666667
healthy,extinction,CS-,9,0.4583333333333333
healthy,extinction,CS-,10,0.5416666666666666
healthy,extinction,CS-,12,0.08333333333333333
healthy,extinction,CS-,13,0.20833333333333334
healthy,extinction,CS-,14,0.125
healthy,extinction,CS-,15,0.125
healthy,extinction,CS-,16,0.041666666666666664
healthy,extinction,CS-,17,0.25
healthy,extinction,CS-,18,0.20833333333333334
healthy,extinction,CS-,19,0.6666666666666666
healthy,extinction,CS-,20,0.4
healthy,extinction,CS-,21,0.3333333333333333
healthy,extinction,CS-,23,0.2916666666666667
healthy,extinction,CS-,24,0.3333333333333333
healthy,extinction,CS-,25,0.09090909090909091
healthy,extinction,CS-,26,0.5833333333333334
