subject,phase,block,condition,hc_cr,hc_hr,lc_cr,lc_hr
1,baseline,1,CS+,0.6041666666666666,0.75,0.3125,0.75
1,baseline,1,CS-,0.4791666666666667,0.5,0.5833333333333334,0.75
1,baseline,2,CS+,0.35416666666666663,0.5,0.5625,1.0
1,baseline,2,CS-,0.22916666666666666,0.25,0.08333333333333334,0.25
1,baseline,3,CS+,0.35416666666666663,0.5,0.3125,0.75
1,baseline,3,CS-,0.22916666666666666,0.25,0.08333333333333334,0.25
1,baseline,4,CS+,0.35416666666666663,0.5,0.3125,0.75
1,baseline,4,CS-,0.22916666666666666,0.25,0.33333333333333337,0.5
1,baseline,5,CS+,0.6041666666666666,0.75,0.5625,1.0
1,baseline,5,CS-,-0.020833333333333332,0.0,0.33333333333333337,0.5
1,baseline,6,CS+,0.10416666666666666,0.25,0.0625,0.5
1,baseline,6,CS-,0.22916666666666666,0.25,0.33333333333333337,0.5
1,extinction,1,CS+,-0.14583333333333334,0.0,0.0625,0.5
1,extinction,1,CS-,-0.020833333333333332,0.0,0.33333333333333337,0.5
1,extinction,2,CS+,0.6041666666666666,0.75,0.5625,1.0
1,extinction,2,CS-,-0.020833333333333332,0.0,0.5833333333333334,0.75
1,extinction,3,CS+,-0.14583333333333334,0.0,-0.1875,0.25
1,extinction,3,CS-,-0.020833333333333332,0.0,-0.16666666666666666,0.0
1,extinction,4,CS+,0.10416666666666666,0.25,-0.1875,0.25
1,extinction,4,CS-,0.7291666666666666,0.75,0.5833333333333334,0.75
1,extinction,5,CS+,0.10416666666666666,0.25,0.3125,0.75
1,extinction,5,CS-,0.22916666666666666,0.25,0.5833333333333334,0.75
1,extinction,6,CS+,0.10416666666666666,0.25,0.3125,0.75
1,extinction,6,CS-,0.22916666666666666,0.25,0.08333333333333334,0.25
1,fear_conditioning,1,CS+,0.6041666666666666,0.75,0.5625,1.0
1,fear_conditioning,1,CS-,-0.020833333333333332,0.0,0.08333333333333334,0.25
1,fear_conditioning,2,CS+,0.10416666666666666,0.25,0.5625,1.0
1,fear_conditioning,2,CS-,0.22916666666666666,0.25,0.8333333333333334,1.0
1,fear_conditioning,3,CS+,0.6041666666666666,0.75,0.5625,1.0
1,fear_conditioning,3,CS-,-0.020833333333333332,0.0,0.5833333333333334,0.75
1,fear_conditioning,4,CS+,0.6041666666666666,0.75,0.5625,1.0
1,fear_conditioning,4,CS-,0.22916666666666666,0.25,0.08333333333333334,0.25
1,fear_conditioning,5,CS+,0.6041666666666666,0.75,0.3125,0.75
1,fear_conditioning,5,CS-,0.22916666666666666,0.25,0.33333333333333337,0.5
1,fear_conditioning,6,CS+,0.6041666666666666,0.75,0.5625,1.0
1,fear_conditioning,6,CS-,-0.020833333333333332,0.0,0.33333333333333337,0.5
2,baseline,1,CS+,0.5833333333333333,1.0,0.5625,1.0
2,baseline,1,CS-,0.4583333333333333,0.75,0.3958333333333333,0.75
