w,p,cles,p_fdr,p_mask,cles_disp
210.0,0.014827458919747915,0.55765595463138,0.029344813811747854,1,0.55765595463138
188.0,0.06609262675156304,0.5444234404536862,0.08077987714079926,0,0.0
213.0,0.011728324147817397,0.5935727788279773,0.029344813811747854,1,0.5935727788279773
241.0,0.0009118585502726812,0.6294896030245747,0.007525663144390389,1,0.6294896030245747
168.0,0.1847951337170879,0.5519848771266541,0.19301863121171098,0,0.0
188.0,0.06609262675156304,0.5727788279773157,0.08077987714079926,0,0.0
167.0,0.19301863121171098,0.5217391304347826,0.19301863121171098,0,0.0
237.0,0.0013683023898891616,0.5784499054820416,0.007525663144390389,1,0.5784499054820416
226.0,0.0038918812516300677,0.6351606805293005,0.014270231255976916,1,0.6351606805293005
209.0,0.01600626207913519,0.555765595463138,0.029344813811747854,1,0.555765595463138
189.0,0.062274691736906376,0.5727788279773157,0.08077987714079926,0,0.0
155.0,0.30788767015263735,0.5141776937618148,,1,0.5141776937618148
163.0,0.2280855799920073,0.5217391304347826,,1,0.5217391304347826
215.0,0.009989449324987236,0.5897920604914934,,1,0.5897920604914934
132.0,0.578359008164538,0.4763705103969754,,1,0.4763705103969754
130.0,0.6019999325450279,0.4839319470699433,,1,0.4839319470699433
216.0,0.009207683072778734,0.55765595463138,,1,0.55765595463138
143.0,0.4455678473143318,0.5141776937618148,,1,0.5141776937618148
209.0,0.01600626207913519,0.5633270321361059,0.07857254555830974,0,0.0
195.0,0.0428577521227144,0.5482041587901701,0.07857254555830974,0,0.0
151.0,0.3519033356565849,0.5330812854442344,0.3519033356565849,0,0.0
198.0,0.03517195899940526,0.55765595463138,0.07857254555830974,0,0.0
199.0,0.03287643586140199,0.5652173913043478,0.07857254555830974,0,0.0
197.0,0.03759736309953571,0.5425330812854442,0.07857254555830974,0,0.0
151.0,0.3519033356565849,0.4782608695652174,0.3519033356565849,0,0.0
236.0,0.0015111633454077086,0.6370510396975425,0.016622796799484793,1,0.6370510396975425
170.0,0.16901347206733403,0.4820415879017013,0.2323935240925843,0,0.0
156.0,0.2972723837904918,0.500945179584121,0.3519033356565849,0,0.0
185.0,0.07863760446467595,0.5255198487712666,0.12357337844449078,0,0.0
125.0,0.6593177533646911,0.47448015122873344,,1,0.47448015122873344
115.0,0.7626186649659908,0.4763705103969754,,1,0.4763705103969754
164.0,0.2189981204014982,0.4763705103969754,,1,0.4763705103969754
178.0,0.11479985013982141,0.5349716446124764,,1,0.5349716446124764
118.0,0.7335241474752966,0.4499054820415879,,1,0.4499054820415879
159.0,0.2664758525247034,0.504725897920605,,1,0.504725897920605
213.0,0.011728324147817397,0.5727788279773157,,1,0.5727788279773157
135.0,0.5423882647206261,0.4896030245746692,0.8729736199186795,0,0.0
101.0,0.8729736199186795,0.4914933837429111,0.8729736199186795,0,0.0
104.0,0.8529836216774032,0.4933837429111531,0.8729736199186795,0,0.0
115.0,0.7626186649659908,0.43289224952741023,0.8729736199186795,0,0.0
