condition,group,roi,phase,subject,beta
CS+,healthy,amyg_bla,acquisition,1,-31.718044768301173
CS+,healthy,amyg_bla,acquisition,2,-17.837304022671148
CS+,healthy,amyg_bla,acquisition,3,2.7060818496594825
CS+,healthy,amyg_bla,acquisition,4,-33.50865638376779
CS+,healthy,amyg_bla,acquisition,5,-3.043723079707706
CS+,healthy,amyg_bla,acquisition,6,-30.74780898246607
CS+,healthy,amyg_bla,acquisition,7,-24.291115949040762
CS+,healthy,amyg_bla,acquisition,8,5.758896841287798
CS+,healthy,amyg_bla,acquisition,9,-14.38564658393168
CS+,healthy,amyg_bla,acquisition,10,16.275154921401924
CS+,healthy,amyg_bla,acquisition,12,-2.0737954577933704
CS+,healthy,amyg_bla,acquisition,13,-6.655422756237843
CS+,healthy,amyg_bla,acquisition,14,-20.166233441001683
CS+,healthy,amyg_bla,acquisition,15,3.0146805833147936
CS+,healthy,amyg_bla,acquisition,16,-13.707196290536473
CS+,healthy,amyg_bla,acquisition,17,-7.260859602630787
CS+,healthy,amyg_bla,acquisition,18,8.511656682093294
CS+,healthy,amyg_bla,acquisition,19,-15.434158849343346
CS+,healthy,amyg_bla,acquisition,20,-4.172577511780369
CS+,healthy,amyg_bla,acquisition,21,-6.273070118944383
CS+,healthy,amyg_bla,acquisition,23,-4.1193119808272245
CS+,healthy,amyg_bla,acquisition,24,-24.65549800458169
CS+,healthy,amyg_bla,acquisition,25,8.28253733982535
CS+,healthy,amyg_bla,acquisition,26,10.306065049751297
CS+,healthy,amyg_bla,baseline,1,-6.919687664569718
CS+,healthy,amyg_bla,baseline,2,-22.69154135484079
CS+,healthy,amyg_bla,baseline,3,29.49230047053269
CS+,healthy,amyg_bla,baseline,4,-20.463168959581708
CS+,healthy,amyg_bla,baseline,5,4.743479852318397
CS+,healthy,amyg_bla,baseline,6,-25.83775569327797
CS+,healthy,amyg_bla,baseline,7,-19.250830245716497
CS+,healthy,amyg_bla,baseline,8,3.8656223704245813
CS+,healthy,amyg_bla,baseline,9,-10.973267754641464
CS+,healthy,amyg_bla,baseline,10,11.371917365187626
CS+,healthy,amyg_bla,baseline,12,-7.072602952793536
CS+,healthy,amyg_bla,baseline,13,4.981816824177601
CS+,healthy,amyg_bla,baseline,14,-23.88071522364428
CS+,healthy,amyg_bla,baseline,15,-6.680433625836687
CS+,healthy,amyg_bla,baseline,16,-12.186264752550054
CS+,healthy,amyg_bla,baseline,17,-11.558121972131884
CS+,healthy,amyg_bla,baseline,18,-0.9584343258222026
CS+,healthy,amyg_bla,baseline,19,-15.970973937593474
CS+,healthy,amyg_bla,baseline,20,-17.24232530703363
CS+,healthy,amyg_bla,baseline,21,-4.487208613615838
CS+,healthy,amyg_bla,baseline,23,1.827336955918134
CS+,healthy,amyg_bla,baseline,24,-28.048214176957163
CS+,healthy,amyg_bla,baseline,25,1.0422339827264062
CS+,healthy,amyg_bla,baseline,26,0.7351037014235297
CS+,healthy,amyg_bla,extinction,1,-31.55396382342625
CS+,healthy,amyg_bla,extinction,2,-21.67291254078772
CS+,healthy,amyg_bla,extinction,3,11.710546763854413
CS+,healthy,amyg_bla,extinction,4,-30.33587099040205
CS+,healthy,amyg_bla,extinction,5,-7.9713733847492305
CS+,healthy,amyg_bla,extinction,6,-28.500417185769788
CS+,healthy,amyg_bla,extinction,7,-2.9286834522460894
CS+,healthy,amyg_bla,extinction,8,-3.553342218821248
CS+,healthy,amyg_bla,extinction,9,-11.37038880927949
CS+,healthy,amyg_bla,extinction,10,7.391589751824409
CS+,healthy,amyg_bla,extinction,12,-5.633028482858625
CS+,healthy,amyg_bla,extinction,13,-1.4877398899040206
CS+,healthy,amyg_bla,extinction,14,-35.751976218176324
CS+,healthy,amyg_bla,extinction,15,0.9188626906535494
