subject,roi,phase,condition,beta
1,rACC,acquisition,CS+,-12.365091539202046
1,rACC,acquisition,CS-,29.80283738712518
1,rACC,baseline,CS+,-20.385147954949687
1,rACC,baseline,CS-,-12.71250793251019
1,rACC,extinction,CS+,-21.561304418593163
1,rACC,extinction,CS-,-0.28804047419221057
1,sgACC,acquisition,CS+,-74.83605279533255
1,sgACC,acquisition,CS-,-85.42688230100201
1,sgACC,baseline,CS+,-132.931509017
1,sgACC,baseline,CS-,-38.57743955768932
1,sgACC,extinction,CS+,-42.07112045579244
1,sgACC,extinction,CS-,-16.54397391630467
2,rACC,acquisition,CS+,81.17936562239376
2,rACC,acquisition,CS-,25.512452071092852
2,rACC,baseline,CS+,108.08066216073045
2,rACC,baseline,CS-,56.454049929569216
2,rACC,extinction,CS+,81.55041661821153
2,rACC,extinction,CS-,57.568798807544994
2,sgACC,acquisition,CS+,-90.82002646469883
2,sgACC,acquisition,CS-,-69.98936277365587
2,sgACC,baseline,CS+,-111.02903475380032
2,sgACC,baseline,CS-,-94.9363590280092
2,sgACC,extinction,CS+,-93.25964301574065
2,sgACC,extinction,CS-,-106.68554218122723
3,rACC,acquisition,CS+,108.28799708621659
3,rACC,acquisition,CS-,79.58377332742127
3,rACC,baseline,CS+,94.97102316946602
3,rACC,baseline,CS-,110.16944475344323
3,rACC,extinction,CS+,117.37380161729838
3,rACC,extinction,CS-,87.29582767086964
3,sgACC,acquisition,CS+,48.27483144879122
3,sgACC,acquisition,CS-,-10.001003397795397
3,sgACC,baseline,CS+,-12.240917465289646
3,sgACC,baseline,CS-,9.718566378326063
3,sgACC,extinction,CS+,5.95082578546401
3,sgACC,extinction,CS-,-28.48439893719369
4,rACC,acquisition,CS+,14.891785185235246
4,rACC,acquisition,CS-,7.75073682840822
4,rACC,baseline,CS+,31.478762766324003
4,rACC,baseline,CS-,44.86255785241518
4,rACC,extinction,CS+,22.51720568299633
4,rACC,extinction,CS-,35.78286531563274
4,sgACC,acquisition,CS+,-104.55805934264467
4,sgACC,acquisition,CS-,-96.25002956312254
4,sgACC,baseline,CS+,-91.49213277308995
4,sgACC,baseline,CS-,-70.17564936498077
4,sgACC,extinction,CS+,-92.0392424604486
4,sgACC,extinction,CS-,-88.27398623682286
5,rACC,acquisition,CS+,29.456719488155073
5,rACC,acquisition,CS-,67.43971302842868
5,rACC,baseline,CS+,47.783956896391956
5,rACC,baseline,CS-,9.269512993912391
5,rACC,extinction,CS+,55.024428127690804
5,rACC,extinction,CS-,47.386128713175374
5,sgACC,acquisition,CS+,-52.51849669474795
5,sgACC,acquisition,CS-,-39.707202420730134
5,sgACC,baseline,CS+,-1.7035407789414172
5,sgACC,baseline,CS-,-55.95767544043509
5,sgACC,extinction,CS+,-19.582177238756014
5,sgACC,extinction,CS-,-8.591659900240579
6,rACC,acquisition,CS+,57.23364207691662
6,rACC,acquisition,CS-,44.68026954455612
6,rACC,baseline,CS+,37.89371412702086
6,rACC,baseline,CS-,21.55474503679175
