"","contrast","phase","roi","group","estimate","SE","df","asymp.LCL","asymp.UCL"
"1","(CS+) - (CS-)","baseline","dACC_ers","healthy",0.00633076642871794,0.0306347628954536,Inf,-0.0537122655212951,0.066373798378731
"2","(CS+) - (CS-)","conditioning","dACC_ers","healthy",0.222724636591121,0.0306756485111062,Inf,0.162601470306943,0.282847802875299
"3","(CS+) - (CS-)","extinction","dACC_ers","healthy",0.0143755613715986,0.0306753777600154,Inf,-0.0457470742501925,0.0744981969933897
"4","(CS+) - (CS-)","baseline","vmPFC_ers","healthy",-0.0204264798712737,0.0306347628954536,Inf,-0.0804695118212867,0.0396165520787393
"5","(CS+) - (CS-)","conditioning","vmPFC_ers","healthy",0.0735510328246926,0.0306756485111062,Inf,0.0134278665405147,0.133674199108871
"6","(CS+) - (CS-)","extinction","vmPFC_ers","healthy",0.112995813231998,0.0306753777600154,Inf,0.0528731776102073,0.17311844885379
"7","(CS+) - (CS-)","baseline","dACC_ers","ptsd",0.0321534356859429,0.0307161236208313,Inf,-0.0280490603555665,0.0923559317274522
"8","(CS+) - (CS-)","conditioning","dACC_ers","ptsd",0.171007027408013,0.0307027112155723,Inf,0.110830819197757,0.231183235618269
"9","(CS+) - (CS-)","extinction","dACC_ers","ptsd",0.103385299018247,0.0308255608782791,Inf,0.0429683098935735,0.163802288142921
"10","(CS+) - (CS-)","baseline","vmPFC_ers","ptsd",-0.0792379974877525,0.0307161236208313,Inf,-0.139440493529262,-0.0190355014462432
"11","(CS+) - (CS-)","conditioning","vmPFC_ers","ptsd",0.0499415817409907,0.0307027112155723,Inf,-0.010234626469265,0.110117789951246
"12","(CS+) - (CS-)","extinction","vmPFC_ers","ptsd",0.040569151001207,0.0308255608782791,Inf,-0.0198478381234668,0.100986140125881
