"","contrast","phase","roi","group","estimate","SE","df","asymp.LCL","asymp.UCL"
"1","(CS+) - (CS-)","baseline","dACC","healthy",0.00937535974848271,0.0150672554938243,Inf,-0.0201559183652762,0.0389066378622417
"2","(CS+) - (CS-)","conditioning","dACC","healthy",0.178908742419207,0.0150873872994682,Inf,0.149338006691443,0.208479478146972
"3","(CS+) - (CS-)","extinction","dACC","healthy",0.044042325127975,0.0150872381891269,Inf,0.0144718816511089,0.0736127686048411
"4","(CS+) - (CS-)","baseline","vmPFC","healthy",-0.0117500859026527,0.0150672554938243,Inf,-0.0412813640164117,0.0177811922111062
"5","(CS+) - (CS-)","conditioning","vmPFC","healthy",0.0852855477783832,0.0150873872994682,Inf,0.0557148120506185,0.114856283506148
"6","(CS+) - (CS-)","extinction","vmPFC","healthy",0.103854164726387,0.0150872381891269,Inf,0.0742837212495213,0.133424608203253
"7","(CS+) - (CS-)","baseline","dACC","ptsd",0.00375211442185865,0.0151072847985735,Inf,-0.0258576196875348,0.0333618485312521
"8","(CS+) - (CS-)","conditioning","dACC","ptsd",0.172557590684788,0.0151006946197955,Inf,0.142960773088451,0.202154408281125
"9","(CS+) - (CS-)","extinction","dACC","ptsd",0.0799040900307543,0.015161114119775,Inf,0.0501888523904936,0.109619327671015
"10","(CS+) - (CS-)","baseline","vmPFC","ptsd",-0.0425477854117442,0.0151072847985735,Inf,-0.0721575195211377,-0.0129380513023508
"11","(CS+) - (CS-)","conditioning","vmPFC","ptsd",0.0281239296648394,0.0151006946197955,Inf,-0.00147288793149767,0.0577207472611764
"12","(CS+) - (CS-)","extinction","vmPFC","ptsd",0.0512412644026391,0.015161114119775,Inf,0.0215260267623784,0.0809565020428998
