roi,encode_phase,level,subject,low_confidence_accuracy,high_confidence_accuracy,CSp_trial,CSm_trial,rsa,group
mOFC,baseline,item,1,0.3333333333333333,0.29166666666666663,,,-0.22439468538366603,control
mOFC,baseline,item,2,0.25,0.25,,,0.32165820640297205,control
mOFC,baseline,item,3,0.20833333333333337,0.041666666666666685,,,0.008273980779231655,control
mOFC,baseline,item,4,-0.04166666666666663,0.0,,,0.11050346078978701,control
mOFC,baseline,item,5,0.16666666666666674,0.16666666666666674,,,-0.056835289735057394,control
mOFC,baseline,item,6,0.25,0.16666666666666666,,,-0.017798740077683513,control
mOFC,baseline,item,7,0.08333333333333337,0.12500000000000003,,,0.12696311937509167,control
mOFC,baseline,item,8,0.04166666666666663,0.08333333333333337,,,0.06234897839125482,control
mOFC,baseline,item,9,-0.25000000000000006,-0.25,,,-0.015461643498882224,control
mOFC,baseline,item,10,-0.04166666666666663,0.0,,,-0.10454301397047949,control
mOFC,baseline,item,12,0.08333333333333337,0.08333333333333331,,,-0.0747450927177553,control
mOFC,baseline,item,13,-0.125,0.125,,,0.04234781660345795,control
mOFC,baseline,item,14,0.125,0.08333333333333331,,,0.02763616300576388,control
mOFC,baseline,item,15,0.04166666666666674,0.08333333333333337,,,0.06929584022540528,control
mOFC,baseline,item,16,-0.125,0.16666666666666669,,,0.017547828483029382,control
mOFC,baseline,item,17,-0.08333333333333337,0.08333333333333337,,,-0.0021338276971549983,control
mOFC,baseline,item,18,0.041666666666666685,0.04166666666666666,,,-0.11243239105401018,control
mOFC,baseline,item,19,0.04166666666666663,-0.04166666666666674,,,-0.03558956111008921,control
mOFC,baseline,item,20,-0.25,-0.16666666666666663,,,-0.21143893881643228,control
mOFC,baseline,item,21,0.0,-0.08333333333333337,,,-0.14400556613084053,control
mOFC,baseline,item,23,-0.20833333333333337,-0.04166666666666663,,,-0.06319972882176535,control
mOFC,baseline,item,24,0.29166666666666663,0.20833333333333331,,,0.050678637957942696,control
mOFC,baseline,item,25,-0.125,-0.125,,,-0.11792295504018761,control
mOFC,baseline,item,26,-0.04166666666666663,-0.04166666666666674,,,-0.18962884823192933,control
mOFC,baseline,set,1,,,,,0.061767398710134966,control
mOFC,baseline,set,2,,,,,0.1606925706865795,control
mOFC,baseline,set,3,,,,,-0.18685676555359648,control
mOFC,baseline,set,4,,,,,0.0658240909165339,control
mOFC,baseline,set,5,,,,,0.05493069110805295,control
mOFC,baseline,set,6,,,,,0.007877074242678403,control
mOFC,baseline,set,7,,,,,6.604329680075238e-05,control
mOFC,baseline,set,8,,,,,0.001999525305503215,control
mOFC,baseline,set,9,,,,,-0.10757145661348608,control
mOFC,baseline,set,10,,,,,-0.11486402871051571,control
mOFC,baseline,set,12,,,,,0.016932532439469412,control
mOFC,baseline,set,13,,,,,0.021742894001545554,control
mOFC,baseline,set,14,,,,,0.032268038253221276,control
mOFC,baseline,set,15,,,,,0.002349245849401632,control
mOFC,baseline,set,16,,,,,0.04726403741434154,control
mOFC,baseline,set,17,,,,,0.011945249702050367,control
mOFC,baseline,set,18,,,,,0.014524203413507478,control
mOFC,baseline,set,19,,,,,0.04092305286168757,control
mOFC,baseline,set,20,,,,,-0.13720659107234187,control
mOFC,baseline,set,21,,,,,-0.12226594660202073,control
mOFC,baseline,set,23,,,,,-0.007733978656477982,control
mOFC,baseline,set,24,,,,,0.26836606595061896,control
mOFC,baseline,set,25,,,,,-0.10364776471003742,control
mOFC,baseline,set,26,,,,,-0.04579178061225375,control
mOFC,acquisition,item,1,0.41666666666666674,0.5416666666666666,,,0.06575011983847161,control
mOFC,acquisition,item,2,0.2916666666666667,0.375,,,0.07903075684446766,control
mOFC,acquisition,item,3,0.3333333333333333,0.20833333333333334,,,0.0731934570646701,control
mOFC,acquisition,item,4,0.04166666666666674,-0.20833333333333331,,,0.059887959206811725,control
mOFC,acquisition,item,5,0.25,0.20833333333333326,,,0.07517967176203028,control
