roi,encode_phase,memory_phase,subject,rsa,group
dACC,acquisition,encoding,1,0.4538269315654717,control
dACC,acquisition,encoding,2,0.5754046110783181,control
dACC,acquisition,encoding,3,0.12353176862683826,control
dACC,acquisition,encoding,4,-0.03239606734424094,control
dACC,acquisition,encoding,5,0.5934791405557696,control
dACC,acquisition,encoding,6,0.10401503858746347,control
dACC,acquisition,encoding,7,0.12034512879134551,control
dACC,acquisition,encoding,8,0.5437319559217622,control
dACC,acquisition,encoding,9,0.06222788991663697,control
dACC,acquisition,encoding,10,0.1715355550399546,control
dACC,acquisition,encoding,12,0.21018519589664497,control
dACC,acquisition,encoding,13,0.19451015588993392,control
dACC,acquisition,encoding,14,0.5528548828421402,control
dACC,acquisition,encoding,15,0.14940992673026057,control
dACC,acquisition,encoding,16,0.4516357950793784,control
dACC,acquisition,encoding,17,0.17764325239905288,control
dACC,acquisition,encoding,18,0.19856014804605343,control
dACC,acquisition,encoding,19,-0.2872475400128936,control
dACC,acquisition,encoding,20,-0.07453348864812531,control
dACC,acquisition,encoding,21,0.18541188997501656,control
dACC,acquisition,encoding,23,0.27890883285707524,control
dACC,acquisition,encoding,24,0.30405273064619787,control
dACC,acquisition,encoding,25,0.2038829019259168,control
dACC,acquisition,encoding,26,0.32725863205141736,control
dACC,acquisition,retrieval,1,0.20945437554442442,control
dACC,acquisition,retrieval,2,-0.08108755941283581,control
dACC,acquisition,retrieval,3,0.23765807847806966,control
dACC,acquisition,retrieval,4,0.1029682533304552,control
dACC,acquisition,retrieval,5,0.2148197321890838,control
dACC,acquisition,retrieval,6,-0.05578205335173397,control
dACC,acquisition,retrieval,7,-0.035684112075152846,control
dACC,acquisition,retrieval,8,0.19383105518748478,control
dACC,acquisition,retrieval,9,-0.07585641683376682,control
dACC,acquisition,retrieval,10,0.21387490978499457,control
dACC,acquisition,retrieval,12,0.5387488956161296,control
dACC,acquisition,retrieval,13,-0.12637695165396862,control
dACC,acquisition,retrieval,14,-0.09797586698236183,control
dACC,acquisition,retrieval,15,0.1384966355111813,control
dACC,acquisition,retrieval,16,0.11662519395759513,control
dACC,acquisition,retrieval,17,0.15245708165667637,control
dACC,acquisition,retrieval,18,-0.008676076796374471,control
dACC,acquisition,retrieval,19,-0.07374867551716219,control
dACC,acquisition,retrieval,20,0.02504834942285872,control
dACC,acquisition,retrieval,21,-0.011909102860399146,control
dACC,acquisition,retrieval,23,-0.10467191497392009,control
dACC,acquisition,retrieval,24,-0.04641850490759181,control
dACC,acquisition,retrieval,25,0.1221220733461475,control
dACC,acquisition,retrieval,26,0.03199218935993386,control
dACC,baseline,encoding,1,-0.08895734636113728,control
dACC,baseline,encoding,2,0.07413233237382566,control
dACC,baseline,encoding,3,0.31792028462756394,control
dACC,baseline,encoding,4,-0.0054948198732925335,control
dACC,baseline,encoding,5,-0.16456599189675591,control
dACC,baseline,encoding,6,0.07146627082422236,control
dACC,baseline,encoding,7,0.1489529517907006,control
dACC,baseline,encoding,8,0.1124771436412707,control
dACC,baseline,encoding,9,0.13464790210514746,control
dACC,baseline,encoding,10,-0.10566852870485821,control
dACC,baseline,encoding,12,0.06664476553541832,control
dACC,baseline,encoding,13,-0.01884038626593304,control
dACC,baseline,encoding,14,0.023927159015280697,control
dACC,baseline,encoding,15,0.07779985742439242,control
dACC,baseline,encoding,16,-0.025761217552453086,control
dACC,baseline,encoding,17,-0.11869206428245252,control
dACC,baseline,encoding,18,-0.11844064188606396,control
dACC,baseline,encoding,19,0.1935951024164515,control
dACC,baseline,encoding,20,-0.0469628665659394,control
dACC,baseline,encoding,21,0.21297160776916568,control
dACC,baseline,encoding,23,-0.10608603756300575,control
dACC,baseline,encoding,24,0.5612719262747803,control
dACC,baseline,encoding,25,0.009974644703246327,control
dACC,baseline,encoding,26,-0.010318947230159442,control
dACC,baseline,retrieval,1,0.004012836674975942,control
dACC,baseline,retrieval,2,-0.21335513864685318,control
dACC,baseline,retrieval,3,0.03008978310164237,control
dACC,baseline,retrieval,4,0.05330717546361913,control
dACC,baseline,retrieval,5,0.0846944868567262,control
dACC,baseline,retrieval,6,-0.026905432372095778,control
dACC,baseline,retrieval,7,-0.022177987160899602,control
dACC,baseline,retrieval,8,-0.1952807781264796,control
dACC,baseline,retrieval,9,0.20757522810342827,control
dACC,baseline,retrieval,10,0.16986735806256215,control
