"","roi","emmean","SE","df","asymp.LCL","asymp.UCL"
"1","amyg_bla",0.00420484671766582,0.00509234029285687,Inf,-0.0057759568533558,0.0141856502886874
"2","amyg_cem",0.00414858109376624,0.00509234029285687,Inf,-0.00583222247725538,0.0141293846647879
"3","ant_ins",-0.0026313306983376,0.00509234029285687,Inf,-0.0126121342693592,0.00734947287268402
"4","dACC",0.00238188478087392,0.00509234029285687,Inf,-0.0075989187901477,0.0123626883518955
"5","fusiform",0.0172137480126315,0.00509234029285687,Inf,0.00723294444160989,0.0271945515836531
"6","hc_body",0.00409327106373868,0.00509234029285687,Inf,-0.00588753250728294,0.0140740746347603
"7","hc_head",-0.000867216293474789,0.00509234029285687,Inf,-0.0108480198644964,0.00911358727754683
"8","hc_tail",-0.000136122382429215,0.00509234029285687,Inf,-0.0101169259534508,0.0098446811885924
"9","precun",-0.00210630331592742,0.00509234029285687,Inf,-0.012087106886949,0.0078745002550942
"10","vmPFC",0.00313072190553823,0.00509234029285687,Inf,-0.00685008166548339,0.0131115254765598
