"","roi","phase","group","condition","beta","chisq","pval"
"1","A32sg","baseline","healthy","CS+","-0.0917303095877998","3.97460498539056","0.046191286314522"
"2","A32p","baseline","healthy","CS+","0.0261827973065551","0.43266862983819","0.510682389190532"
"3","A24cd","baseline","healthy","CS+","0.0393870710678628","0.716518917888038","0.397288146509982"
"4","A24rv","baseline","healthy","CS+","0.0632672253239482","1.61801096768261","0.203369352915802"
"5","A14m","baseline","healthy","CS+","0.0382284758840662","0.716125289612137","0.397417833023794"
"6","A11m","baseline","healthy","CS+","-0.0255500430617739","0.488044319954042","0.484800987863833"
"7","A13","baseline","healthy","CS+","-0.0153558914545413","0.258428057015408","0.611202163092707"
"8","A10m","baseline","healthy","CS+","-0.03826483488457","0.726382467907683","0.394058290515964"
"9","A9m","baseline","healthy","CS+","0.000535774049521811","0.000182535259455108","0.98922045988516"
"10","A8m","baseline","healthy","CS+","0.0494809262464846","0.967342652378079","0.325343809048"
"11","A6m","baseline","healthy","CS+","0.0380243873223215","0.653576212437315","0.41883698466487"
"12","A32sg","acquisition","healthy","CS+","-0.0128484749016516","0.0786184408868849","0.779178460460513"
"13","A32p","acquisition","healthy","CS+","-0.0319529549039755","0.57506150056588","0.448254591787613"
"14","A24cd","acquisition","healthy","CS+","0.0312204265781364","0.400512772387742","0.526824558645338"
"15","A24rv","acquisition","healthy","CS+","0.0102055895750386","0.0627819508874836","0.802151784363253"
"16","A14m","acquisition","healthy","CS+","-0.0527270993866579","1.35312340085011","0.244732821023412"
"17","A11m","acquisition","healthy","CS+","-0.054869984312557","1.71089609357011","0.190869148211781"
"18","A13","acquisition","healthy","CS+","-0.0411362752009352","1.40435969726519","0.23599497696971"
"19","A10m","acquisition","healthy","CS+","-0.0480092657696753","1.09761481497753","0.294790149194113"
"20","A9m","acquisition","healthy","CS+","0.0710638248379473","2.11444014918061","0.145915405780069"
"21","A8m","acquisition","healthy","CS+","0.0390889500338747","0.503682887833293","0.477886347690376"
"22","A6m","acquisition","healthy","CS+","0.0254974546738847","0.189078073470114","0.663685039056567"
"23","A32sg","early_extinction","healthy","CS+","-0.0502221392987542","0.391019892049314","0.531763789881715"
"24","A32p","early_extinction","healthy","CS+","-0.0561944171176573","0.723686398531896","0.394937359378933"
"25","A24cd","early_extinction","healthy","CS+","-0.018680061127763","0.0449334405410013","0.832126464781681"
"26","A24rv","early_extinction","healthy","CS+","-0.0240162186781311","0.0790801442089446","0.778547862228043"
"27","A14m","early_extinction","healthy","CS+","-0.0837082162384621","1.1401569914691","0.285619156878426"
"28","A11m","early_extinction","healthy","CS+","-0.0130011628565257","0.0338653947279965","0.853993428951634"
"29","A13","early_extinction","healthy","CS+","-0.0631158345525411","0.882744369230636","0.347451119022038"
"30","A10m","early_extinction","healthy","CS+","-0.0364518750861553","0.183303387979436","0.668549597189905"
"31","A9m","early_extinction","healthy","CS+","0.0574062603211714","0.595074606851369","0.440463481546078"
"32","A8m","early_extinction","healthy","CS+","-0.0492102007932146","0.313104536386959","0.575781336834965"
"33","A6m","early_extinction","healthy","CS+","-0.0612950858485341","0.444661755818345","0.504880963947835"
"34","A32sg","extinction","healthy","CS+","0.0216487810877444","0.118632105108986","0.730522843190983"
"35","A32p","extinction","healthy","CS+","-0.0712239107723848","1.64356460778703","0.199837090542329"
"36","A24cd","extinction","healthy","CS+","-0.0458607890569451","0.588042810712011","0.443176951189572"
