subject,encode_phase,condition,source_memory,run,roi,pe
2,baseline,CSp,baseline,memory_run-02,cuneus,10.951179
2,baseline,CSp,baseline,memory_run-03,cuneus,53.016613
2,baseline,CSp,acquisition,memory_run-01,cuneus,-21.04245
2,baseline,CSp,acquisition,memory_run-02,cuneus,39.48823
2,baseline,CSp,acquisition,memory_run-03,cuneus,26.4562
2,baseline,CSp,extinction,memory_run-01,cuneus,-34.046356
2,baseline,CSp,extinction,memory_run-03,cuneus,-1.1307312
2,baseline,CSm,baseline,memory_run-01,cuneus,41.010548
2,baseline,CSm,baseline,memory_run-02,cuneus,-14.436179000000001
2,baseline,CSm,baseline,memory_run-03,cuneus,72.35995
2,baseline,CSm,acquisition,memory_run-01,cuneus,-1.5411568000000002
2,baseline,CSm,acquisition,memory_run-02,cuneus,17.574802
2,baseline,CSm,acquisition,memory_run-03,cuneus,28.845394
2,baseline,CSm,extinction,memory_run-01,cuneus,-46.119521999999996
2,baseline,CSm,extinction,memory_run-02,cuneus,14.105217999999999
2,baseline,CSm,extinction,memory_run-03,cuneus,-2.9516175
2,acquisition,CSp,baseline,memory_run-01,cuneus,6.523332599999999
2,acquisition,CSp,baseline,memory_run-02,cuneus,-22.215092000000002
2,acquisition,CSp,baseline,memory_run-03,cuneus,31.316672999999998
2,acquisition,CSp,acquisition,memory_run-01,cuneus,-38.614113
2,acquisition,CSp,acquisition,memory_run-02,cuneus,-16.363879999999998
2,acquisition,CSp,acquisition,memory_run-03,cuneus,22.442759
2,acquisition,CSp,extinction,memory_run-01,cuneus,27.691402000000004
2,acquisition,CSp,extinction,memory_run-02,cuneus,-5.1299209999999995
2,acquisition,CSm,baseline,memory_run-01,cuneus,46.216736
2,acquisition,CSm,baseline,memory_run-02,cuneus,51.16887
2,acquisition,CSm,baseline,memory_run-03,cuneus,17.558757999999997
2,acquisition,CSm,acquisition,memory_run-01,cuneus,33.608204
2,acquisition,CSm,acquisition,memory_run-02,cuneus,27.432158
2,acquisition,CSm,acquisition,memory_run-03,cuneus,-1.2111399999999999
2,acquisition,CSm,extinction,memory_run-02,cuneus,19.555347
2,acquisition,CSm,extinction,memory_run-03,cuneus,50.894226
2,extinction,CSp,baseline,memory_run-01,cuneus,29.550386
2,extinction,CSp,baseline,memory_run-02,cuneus,-92.0313
2,extinction,CSp,baseline,memory_run-03,cuneus,-20.280941000000002
2,extinction,CSp,acquisition,memory_run-01,cuneus,10.706934
2,extinction,CSp,acquisition,memory_run-02,cuneus,-4.973641000000001
2,extinction,CSp,acquisition,memory_run-03,cuneus,11.69776
2,extinction,CSp,extinction,memory_run-01,cuneus,-55.440580000000004
2,extinction,CSp,extinction,memory_run-02,cuneus,48.099125
2,extinction,CSp,extinction,memory_run-03,cuneus,-0.2618538
2,extinction,CSm,baseline,memory_run-01,cuneus,19.4074
2,extinction,CSm,baseline,memory_run-02,cuneus,32.962771999999994
2,extinction,CSm,baseline,memory_run-03,cuneus,46.918255
2,extinction,CSm,acquisition,memory_run-01,cuneus,-48.728214
2,extinction,CSm,acquisition,memory_run-02,cuneus,93.5421
2,extinction,CSm,acquisition,memory_run-03,cuneus,44.810005
2,extinction,CSm,extinction,memory_run-01,cuneus,29.36757
2,extinction,CSm,extinction,memory_run-02,cuneus,89.08022
2,extinction,CSm,extinction,memory_run-03,cuneus,-62.297934999999995
3,baseline,CSp,baseline,memory_run-01,cuneus,94.71623000000001
3,baseline,CSp,baseline,memory_run-02,cuneus,71.838234
3,baseline,CSp,baseline,memory_run-03,cuneus,91.281784
3,baseline,CSp,acquisition,memory_run-01,cuneus,8.350571
3,baseline,CSp,acquisition,memory_run-02,cuneus,148.84637
3,baseline,CSp,acquisition,memory_run-03,cuneus,10.410602
3,baseline,CSp,extinction,memory_run-01,cuneus,67.76850999999999
3,baseline,CSp,extinction,memory_run-02,cuneus,-163.0667
3,baseline,CSp,extinction,memory_run-03,cuneus,125.741
3,baseline,CSm,baseline,memory_run-01,cuneus,50.310772
3,baseline,CSm,baseline,memory_run-02,cuneus,82.87798000000001
3,baseline,CSm,baseline,memory_run-03,cuneus,-66.80586
3,baseline,CSm,acquisition,memory_run-01,cuneus,15.176773999999998
3,baseline,CSm,acquisition,memory_run-02,cuneus,8.256148
3,baseline,CSm,acquisition,memory_run-03,cuneus,41.271065
3,baseline,CSm,extinction,memory_run-02,cuneus,87.05275999999999
3,baseline,CSm,extinction,memory_run-03,cuneus,23.791275
3,acquisition,CSp,baseline,memory_run-01,cuneus,73.30869
3,acquisition,CSp,baseline,memory_run-03,cuneus,50.528490000000005
3,acquisition,CSp,acquisition,memory_run-01,cuneus,23.881067
3,acquisition,CSp,acquisition,memory_run-02,cuneus,172.2436
3,acquisition,CSp,acquisition,memory_run-03,cuneus,98.376305
3,acquisition,CSp,extinction,memory_run-01,cuneus,19.791224
3,acquisition,CSp,extinction,memory_run-02,cuneus,30.058353000000004
3,acquisition,CSp,extinction,memory_run-03,cuneus,115.4547
3,acquisition,CSm,baseline,memory_run-01,cuneus,67.301994
3,acquisition,CSm,baseline,memory_run-02,cuneus,69.65462
3,acquisition,CSm,baseline,memory_run-03,cuneus,-63.665253
3,acquisition,CSm,acquisition,memory_run-01,cuneus,5.9283547
3,acquisition,CSm,acquisition,memory_run-02,cuneus,127.30691999999999
3,acquisition,CSm,acquisition,memory_run-03,cuneus,178.61671
3,acquisition,CSm,extinction,memory_run-01,cuneus,77.39491
3,acquisition,CSm,extinction,memory_run-02,cuneus,135.78828000000001
3,acquisition,CSm,extinction,memory_run-03,cuneus,159.17096999999998
3,extinction,CSp,baseline,memory_run-01,cuneus,-16.480932
3,extinction,CSp,baseline,memory_run-02,cuneus,-54.33815
3,extinction,CSp,baseline,memory_run-03,cuneus,3.016927
3,extinction,CSp,acquisition,memory_run-01,cuneus,-33.248734000000006
3,extinction,CSp,acquisition,memory_run-02,cuneus,104.56929000000001
3,extinction,CSp,acquisition,memory_run-03,cuneus,-112.50644
3,extinction,CSp,extinction,memory_run-01,cuneus,70.58353000000001
3,extinction,CSp,extinction,memory_run-02,cuneus,78.96574
3,extinction,CSp,extinction,memory_run-03,cuneus,-79.68688
3,extinction,CSm,baseline,memory_run-01,cuneus,132.24653999999998
