subject,encode_phase,condition,source_memory,run,roi,pe
2,baseline,CSp,baseline,memory_run-02,dACC,-138.22018
2,baseline,CSp,baseline,memory_run-02,thl,137.48408999999998
2,baseline,CSp,baseline,memory_run-02,lOFC,193.95256
2,baseline,CSp,baseline,memory_run-02,rsp,54.526398
2,baseline,CSp,baseline,memory_run-03,dACC,-144.0385
2,baseline,CSp,baseline,memory_run-03,thl,-106.490555
2,baseline,CSp,baseline,memory_run-03,lOFC,54.620743
2,baseline,CSp,baseline,memory_run-03,rsp,22.938688
2,baseline,CSp,acquisition,memory_run-01,dACC,53.957127
2,baseline,CSp,acquisition,memory_run-01,thl,-21.367102
2,baseline,CSp,acquisition,memory_run-01,lOFC,14.080248
2,baseline,CSp,acquisition,memory_run-01,rsp,3.9529476
2,baseline,CSp,acquisition,memory_run-02,dACC,143.50488
2,baseline,CSp,acquisition,memory_run-02,thl,-103.96533
2,baseline,CSp,acquisition,memory_run-02,lOFC,56.54096
2,baseline,CSp,acquisition,memory_run-02,rsp,-37.005604
2,baseline,CSp,acquisition,memory_run-03,dACC,0.8362190999999999
2,baseline,CSp,acquisition,memory_run-03,thl,-120.32872
2,baseline,CSp,acquisition,memory_run-03,lOFC,5.0533814
2,baseline,CSp,acquisition,memory_run-03,rsp,-54.555305
2,baseline,CSp,extinction,memory_run-01,dACC,64.57737
2,baseline,CSp,extinction,memory_run-01,thl,-89.286514
2,baseline,CSp,extinction,memory_run-01,lOFC,19.311415
2,baseline,CSp,extinction,memory_run-01,rsp,4.0182652
2,baseline,CSp,extinction,memory_run-03,dACC,-48.07533
2,baseline,CSp,extinction,memory_run-03,thl,-152.8966
2,baseline,CSp,extinction,memory_run-03,lOFC,-89.566376
2,baseline,CSp,extinction,memory_run-03,rsp,9.126274
2,baseline,CSm,baseline,memory_run-01,dACC,160.41098
2,baseline,CSm,baseline,memory_run-01,thl,70.12559499999999
2,baseline,CSm,baseline,memory_run-01,lOFC,35.65372
2,baseline,CSm,baseline,memory_run-01,rsp,69.06009
2,baseline,CSm,baseline,memory_run-02,dACC,124.33893
2,baseline,CSm,baseline,memory_run-02,thl,67.67294
2,baseline,CSm,baseline,memory_run-02,lOFC,-58.75754499999999
2,baseline,CSm,baseline,memory_run-02,rsp,127.149254
2,baseline,CSm,baseline,memory_run-03,dACC,-88.95374
2,baseline,CSm,baseline,memory_run-03,thl,23.739607
2,baseline,CSm,baseline,memory_run-03,lOFC,53.34105
2,baseline,CSm,baseline,memory_run-03,rsp,49.750755
2,baseline,CSm,acquisition,memory_run-01,dACC,27.793602000000003
2,baseline,CSm,acquisition,memory_run-01,thl,2.205345
2,baseline,CSm,acquisition,memory_run-01,lOFC,-48.30786
2,baseline,CSm,acquisition,memory_run-01,rsp,-26.000698
2,baseline,CSm,acquisition,memory_run-02,dACC,-11.083996
2,baseline,CSm,acquisition,memory_run-02,thl,84.07421
2,baseline,CSm,acquisition,memory_run-02,lOFC,128.20963999999998
2,baseline,CSm,acquisition,memory_run-02,rsp,93.79091
2,baseline,CSm,acquisition,memory_run-03,dACC,-17.999807
2,baseline,CSm,acquisition,memory_run-03,thl,30.740244
2,baseline,CSm,acquisition,memory_run-03,lOFC,-6.638719
2,baseline,CSm,acquisition,memory_run-03,rsp,59.17408399999999
2,baseline,CSm,extinction,memory_run-01,dACC,-120.57493
2,baseline,CSm,extinction,memory_run-01,thl,-75.9071
2,baseline,CSm,extinction,memory_run-01,lOFC,-163.76175
2,baseline,CSm,extinction,memory_run-01,rsp,-9.559648
2,baseline,CSm,extinction,memory_run-02,dACC,13.917114000000002
2,baseline,CSm,extinction,memory_run-02,thl,-4.243931
2,baseline,CSm,extinction,memory_run-02,lOFC,120.631134
2,baseline,CSm,extinction,memory_run-02,rsp,-29.931087
2,baseline,CSm,extinction,memory_run-03,dACC,131.43033
2,baseline,CSm,extinction,memory_run-03,thl,-46.24407
2,baseline,CSm,extinction,memory_run-03,lOFC,16.495644
2,baseline,CSm,extinction,memory_run-03,rsp,10.227921
2,acquisition,CSp,baseline,memory_run-01,dACC,-71.82016999999998
2,acquisition,CSp,baseline,memory_run-01,thl,-67.20561
2,acquisition,CSp,baseline,memory_run-01,lOFC,-21.689476000000006
2,acquisition,CSp,baseline,memory_run-01,rsp,-127.999214
2,acquisition,CSp,baseline,memory_run-02,dACC,63.251278000000006
2,acquisition,CSp,baseline,memory_run-02,thl,-36.14403
2,acquisition,CSp,baseline,memory_run-02,lOFC,194.23541
2,acquisition,CSp,baseline,memory_run-02,rsp,-17.817066
2,acquisition,CSp,baseline,memory_run-03,dACC,-102.11007
2,acquisition,CSp,baseline,memory_run-03,thl,-29.206839
2,acquisition,CSp,baseline,memory_run-03,lOFC,-19.039452
2,acquisition,CSp,baseline,memory_run-03,rsp,4.468178
2,acquisition,CSp,acquisition,memory_run-01,dACC,-15.421301
2,acquisition,CSp,acquisition,memory_run-01,thl,29.463375
2,acquisition,CSp,acquisition,memory_run-01,lOFC,31.41495
2,acquisition,CSp,acquisition,memory_run-01,rsp,-63.56075
2,acquisition,CSp,acquisition,memory_run-02,dACC,-18.96108
2,acquisition,CSp,acquisition,memory_run-02,thl,-14.690306
2,acquisition,CSp,acquisition,memory_run-02,lOFC,22.610176
2,acquisition,CSp,acquisition,memory_run-02,rsp,-31.704401
2,acquisition,CSp,acquisition,memory_run-03,dACC,9.862232
2,acquisition,CSp,acquisition,memory_run-03,thl,-31.182577
2,acquisition,CSp,acquisition,memory_run-03,lOFC,-33.06902
2,acquisition,CSp,acquisition,memory_run-03,rsp,91.00427
2,acquisition,CSp,extinction,memory_run-01,dACC,190.51811
2,acquisition,CSp,extinction,memory_run-01,thl,127.648705
2,acquisition,CSp,extinction,memory_run-01,lOFC,40.307663
2,acquisition,CSp,extinction,memory_run-01,rsp,40.04764
2,acquisition,CSp,extinction,memory_run-02,dACC,171.74312
2,acquisition,CSp,extinction,memory_run-02,thl,-180.49962
2,acquisition,CSp,extinction,memory_run-02,lOFC,70.91588
2,acquisition,CSp,extinction,memory_run-02,rsp,80.128815
2,acquisition,CSm,baseline,memory_run-01,dACC,-32.650036
2,acquisition,CSm,baseline,memory_run-01,thl,10.434775
2,acquisition,CSm,baseline,memory_run-01,lOFC,-5.290833
2,acquisition,CSm,baseline,memory_run-01,rsp,-68.84453
2,acquisition,CSm,baseline,memory_run-02,dACC,51.08377
2,acquisition,CSm,baseline,memory_run-02,thl,-44.980125
2,acquisition,CSm,baseline,memory_run-02,lOFC,102.34332
2,acquisition,CSm,baseline,memory_run-02,rsp,-39.89837
