Subj Encode Condition Response InputFile
2 baseline CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC002/all_memory_runs/source_memory.feat/reg_standard/stats/cope2.nii.gz
2 baseline CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC002/all_memory_runs/source_memory.feat/reg_standard/stats/cope3.nii.gz
2 acquisition CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC002/all_memory_runs/source_memory.feat/reg_standard/stats/cope7.nii.gz
2 acquisition CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC002/all_memory_runs/source_memory.feat/reg_standard/stats/cope8.nii.gz
2 acquisition CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC002/all_memory_runs/source_memory.feat/reg_standard/stats/cope9.nii.gz
2 extinction CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC002/all_memory_runs/source_memory.feat/reg_standard/stats/cope13.nii.gz
2 extinction CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC002/all_memory_runs/source_memory.feat/reg_standard/stats/cope14.nii.gz
2 extinction CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC002/all_memory_runs/source_memory.feat/reg_standard/stats/cope15.nii.gz
2 baseline CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC002/all_memory_runs/source_memory.feat/reg_standard/stats/cope4.nii.gz
2 baseline CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC002/all_memory_runs/source_memory.feat/reg_standard/stats/cope5.nii.gz
2 baseline CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC002/all_memory_runs/source_memory.feat/reg_standard/stats/cope6.nii.gz
2 acquisition CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC002/all_memory_runs/source_memory.feat/reg_standard/stats/cope10.nii.gz
2 acquisition CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC002/all_memory_runs/source_memory.feat/reg_standard/stats/cope11.nii.gz
2 extinction CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC002/all_memory_runs/source_memory.feat/reg_standard/stats/cope16.nii.gz
2 extinction CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC002/all_memory_runs/source_memory.feat/reg_standard/stats/cope17.nii.gz
2 extinction CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC002/all_memory_runs/source_memory.feat/reg_standard/stats/cope18.nii.gz
2 baseline CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC002/all_memory_runs/source_memory.feat/reg_standard/stats/cope1.nii.gz
2 acquisition CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC002/all_memory_runs/source_memory.feat/reg_standard/stats/cope12.nii.gz
3 baseline CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC003/all_memory_runs/source_memory.feat/reg_standard/stats/cope1.nii.gz
3 baseline CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC003/all_memory_runs/source_memory.feat/reg_standard/stats/cope2.nii.gz
3 baseline CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC003/all_memory_runs/source_memory.feat/reg_standard/stats/cope3.nii.gz
3 acquisition CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC003/all_memory_runs/source_memory.feat/reg_standard/stats/cope7.nii.gz
3 acquisition CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC003/all_memory_runs/source_memory.feat/reg_standard/stats/cope8.nii.gz
3 acquisition CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC003/all_memory_runs/source_memory.feat/reg_standard/stats/cope9.nii.gz
3 extinction CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC003/all_memory_runs/source_memory.feat/reg_standard/stats/cope13.nii.gz
3 extinction CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC003/all_memory_runs/source_memory.feat/reg_standard/stats/cope14.nii.gz
3 extinction CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC003/all_memory_runs/source_memory.feat/reg_standard/stats/cope15.nii.gz
3 baseline CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC003/all_memory_runs/source_memory.feat/reg_standard/stats/cope4.nii.gz
