subject,encode_phase,condition,source_memory,run,effect,pe
2,baseline,CSp,baseline,1,Response,
2,baseline,CSp,baseline,1,Condition,
2,baseline,CSp,baseline,1,Condition_Response,
2,baseline,CSp,baseline,2,Response,"[137.4840850830078 54.526397705078125 -138.22018432617188
 193.9525604248047]"
2,baseline,CSp,baseline,2,Condition,"[237.6964569091797 19.434770584106445 438.9760437011719 139.84083557128906
 -47.384918212890625 137.64349365234375 -76.43840789794922]"
2,baseline,CSp,baseline,2,Condition_Response,[10.951178550720215]
2,baseline,CSp,baseline,3,Response,"[-106.49055480957031 22.938688278198242 -144.0384979248047
 54.62074279785156]"
2,baseline,CSp,baseline,3,Condition,"[306.6846008300781 145.79103088378906 541.712646484375 149.9627227783203
 121.76211547851562 145.7291259765625 94.58023834228516]"
2,baseline,CSp,baseline,3,Condition_Response,[53.0166130065918]
2,baseline,CSp,acquisition,1,Response,"[-21.367101669311523 3.9529476165771484 53.95712661743164
 14.08024787902832]"
2,baseline,CSp,acquisition,1,Condition,"[190.18345642089844 134.28485107421875 320.7751770019531 96.95281982421875
 122.803955078125 90.5245132446289 236.08848571777344]"
2,baseline,CSp,acquisition,1,Condition_Response,[-21.042449951171875]
2,baseline,CSp,acquisition,2,Response,[-103.96533203125 -37.0056037902832 143.5048828125 56.540958404541016]
2,baseline,CSp,acquisition,2,Condition,"[137.1324005126953 138.52259826660156 347.54058837890625
 122.80844116210938 119.69963836669922 105.91388702392578
 290.21063232421875]"
2,baseline,CSp,acquisition,2,Condition_Response,[39.48823165893555]
2,baseline,CSp,acquisition,3,Response,"[-120.32872009277344 -54.55530548095703 0.836219072341919
 5.053381443023682]"
2,baseline,CSp,acquisition,3,Condition,"[264.92291259765625 198.42724609375 405.4067687988281 118.5969467163086
 129.57009887695312 106.18045806884766 70.7703628540039]"
2,baseline,CSp,acquisition,3,Condition_Response,[26.456199645996094]
2,baseline,CSp,extinction,1,Response,[-89.28651428222656 4.018265247344971 64.5773696899414 19.31141471862793]
2,baseline,CSp,extinction,1,Condition,"[120.52159118652344 201.5856475830078 234.0609893798828 94.58661651611328
 162.37680053710938 79.24559020996094 174.7535400390625]"
2,baseline,CSp,extinction,1,Condition_Response,[-34.046356201171875]
2,baseline,CSp,extinction,2,Response,
2,baseline,CSp,extinction,2,Condition,
2,baseline,CSp,extinction,2,Condition_Response,
2,baseline,CSp,extinction,3,Response,[-152.8966064453125 9.126274108886719 -48.0753288269043 -89.56637573242188]
2,baseline,CSp,extinction,3,Condition,"[97.11273193359375 130.81260681152344 281.3655700683594 77.91576385498047
 49.507083892822266 58.3381462097168 169.50343322753906]"
2,baseline,CSp,extinction,3,Condition_Response,[-1.130731225013733]
2,baseline,CSm,baseline,1,Response,[70.12559509277344 69.06008911132812 160.41098022460938 35.65372085571289]
2,baseline,CSm,baseline,1,Condition,"[292.650390625 316.0042419433594 293.5760192871094 132.92698669433594
 272.7522277832031 107.13426208496094 361.59124755859375]"
2,baseline,CSm,baseline,1,Condition_Response,[41.01054763793945]
2,baseline,CSm,baseline,2,Response,"[67.67294311523438 127.14925384521484 124.33892822265625
 -58.757545471191406]"
2,baseline,CSm,baseline,2,Condition,"[30.82499122619629 114.35844421386719 150.59242248535156 82.31283569335938
 92.47456359863281 99.27931213378906 208.048583984375]"
2,baseline,CSm,baseline,2,Condition_Response,[-14.436179161071777]
2,baseline,CSm,baseline,3,Response,"[23.739606857299805 49.750755310058594 -88.95374298095703
 53.34104919433594]"
2,baseline,CSm,baseline,3,Condition,"[275.448974609375 86.47752380371094 339.13067626953125 154.12838745117188
 70.04705810546875 125.6004638671875 68.88453674316406]"
2,baseline,CSm,baseline,3,Condition_Response,[72.35994720458984]
2,baseline,CSm,acquisition,1,Response,[2.2053449153900146 -26.00069808959961 27.793601989746094 -48.307861328125]
