index,onset,duration,trial_type,stimulus,memory_condition,encode_phase,response,low_confidence_accuracy,high_confidence_accuracy,response_time,phase,source_memory
11,86.6,3.0,CS+,animals/flea.jpg,Old,baseline,DO,H,H,1.068,memory_run-01,acquisition
19,147.717,3.0,CS+,animals/dragonfly.jpg,Old,baseline,DO,H,H,0.93,memory_run-01,acquisition
22,170.167,3.0,CS+,animals/angelfish.jpg,Old,baseline,DO,H,H,0.894,memory_run-01,extinction
29,225.083,3.0,CS+,animals/prayingmantis.jpg,Old,baseline,DO,H,H,0.611,memory_run-01,acquisition
42,323.867,3.0,CS+,animals/pike.jpg,Old,baseline,DO,H,H,1.296,memory_run-01,extinction
50,385.95,3.0,CS+,animals/crow.jpg,Old,baseline,DO,H,H,1.269,memory_run-01,acquisition
60,461.3,3.0,CS+,animals/ostrich.jpg,Old,baseline,DO,H,H,2.337,memory_run-01,acquisition
61,469.45,3.0,CS+,animals/tiger.jpg,Old,baseline,DO,H,H,1.71,memory_run-01,acquisition
81,11.2,3.0,CS+,animals/caterpillarpeacockmoth.jpg,Old,baseline,DO,H,H,1.168,memory_run-02,acquisition
92,89.75,3.0,CS+,animals/mole.jpg,Old,baseline,DO,H,H,0.8490000000000001,memory_run-02,acquisition
106,189.783,3.0,CS+,animals/boar.jpg,Old,baseline,DO,H,H,0.87,memory_run-02,baseline
119,282.633,3.0,CS+,animals/gerbil.jpg,Old,baseline,DO,H,H,0.862,memory_run-02,baseline
126,338.6330000000001,3.0,CS+,animals/porcupine.jpg,Old,baseline,DO,H,H,0.72,memory_run-02,acquisition
137,428.233,3.0,CS+,animals/pelican.jpg,Old,baseline,DN,M,M,1.703,memory_run-02,acquisition
140,452.68300000000005,3.0,CS+,animals/giraffe.jpg,Old,baseline,DO,H,H,0.8490000000000001,memory_run-02,acquisition
141,460.833,3.0,CS+,animals/pigeon.jpg,Old,baseline,DO,H,H,1.017,memory_run-02,acquisition
163,25.5,3.0,CS+,animals/herculesbeetle.jpg,Old,baseline,DO,H,H,0.906,memory_run-03,acquisition
164,32.65,3.0,CS+,animals/quail.jpg,Old,baseline,DN,M,M,1.058,memory_run-03,extinction
187,196.8,3.0,CS+,animals/snapper.jpg,Old,baseline,DO,H,H,1.271,memory_run-03,acquisition
194,246.8,3.0,CS+,animals/hummingbird.jpg,Old,baseline,DO,H,H,0.7440000000000001,memory_run-03,acquisition
203,314.016,3.0,CS+,animals/waterbuffalo.jpg,Old,baseline,DO,H,H,0.984,memory_run-03,baseline
204,322.15,3.0,CS+,animals/baboon.jpg,Old,baseline,DO,H,H,0.805,memory_run-03,baseline
220,452.283,3.0,CS+,animals/leopard.jpg,Old,baseline,DO,H,H,0.8340000000000001,memory_run-03,extinction
221,460.416,3.0,CS+,animals/cow.jpg,Old,baseline,DO,H,H,0.988,memory_run-03,acquisition
0,4.05,3.0,CS+,animals/assassinbug.jpg,Old,acquisition,DO,H,H,1.5930000000000002,memory_run-01,acquisition
7,56.017,3.0,CS+,animals/catfish.jpg,Old,acquisition,DN,M,M,1.342,memory_run-01,extinction
21,163.017,3.0,CS+,animals/palmcockatoo.jpg,Old,acquisition,MN,M,M,1.733,memory_run-01,baseline
34,263.783,3.0,CS+,animals/ant.jpg,Old,acquisition,DO,H,H,0.948,memory_run-01,acquisition
51,393.1,3.0,CS+,animals/snail.jpg,Old,acquisition,DO,H,H,0.973,memory_run-01,acquisition
58,446.033,3.0,CS+,animals/baldeagle.jpg,Old,acquisition,DN,M,M,0.998,memory_run-01,baseline
62,476.583,3.0,CS+,animals/duck.jpg,Old,acquisition,DN,M,M,1.6740000000000002,memory_run-01,baseline
63,484.717,3.0,CS+,animals/shark.jpg,Old,acquisition,DO,H,H,1.621,memory_run-01,acquisition
84,32.633,3.0,CS+,animals/firebug.jpg,Old,acquisition,DO,H,H,1.095,memory_run-02,acquisition
93,96.866,3.0,CS+,animals/mahimahi.jpg,Old,acquisition,DO,H,H,0.799,memory_run-02,baseline
103,168.333,3.0,CS+,animals/herring.jpg,Old,acquisition,DO,H,H,1.645,memory_run-02,acquisition
116,261.216,3.0,CS+,animals/dramaderry.jpg,Old,acquisition,DO,H,H,1.045,memory_run-02,acquisition
125,330.483,3.0,CS+,animals/camel.jpg,Old,acquisition,DO,H,H,1.173,memory_run-02,acquisition
127,346.766,3.0,CS+,animals/mink.jpg,Old,acquisition,DO,H,H,0.7490000000000001,memory_run-02,acquisition
142,468.966,3.0,CS+,animals/mouse.jpg,Old,acquisition,DO,H,H,0.6709999999999999,memory_run-02,acquisition
143,477.133,3.0,CS+,animals/sheep.jpg,Old,acquisition,DO,H,H,1.172,memory_run-02,extinction
170,75.55,3.0,CS+,animals/partridge.jpg,Old,acquisition,MN,M,M,1.068,memory_run-03,baseline
176,118.316,3.0,CS+,animals/anteater.jpg,Old,acquisition,DO,H,H,1.003,memory_run-03,acquisition
182,161.116,3.0,CS+,animals/carp.jpg,Old,acquisition,DO,H,H,0.8590000000000001,memory_run-03,acquisition
189,211.1,3.0,CS+,animals/turkey.jpg,Old,acquisition,DN,M,M,0.99,memory_run-03,baseline
213,395.333,3.0,CS+,animals/chipmunk.jpg,Old,acquisition,DO,H,H,0.922,memory_run-03,baseline
219,444.15,3.0,CS+,animals/seal.jpg,Old,acquisition,DO,H,H,0.951,memory_run-03,acquisition
222,468.566,3.0,CS+,animals/brown_bear.jpg,Old,acquisition,DO,H,H,0.782,memory_run-03,acquisition
223,476.7,3.0,CS+,animals/rabbit.jpg,Old,acquisition,DO,H,H,0.955,memory_run-03,acquisition
10,79.467,3.0,CS+,animals/zebra.jpg,Old,extinction,DO,H,H,1.516,memory_run-01,acquisition
17,131.434,3.0,CS+,animals/aardvark.jpg,Old,extinction,DO,H,H,0.8079999999999999,memory_run-01,baseline
20,155.86700000000005,3.0,CS+,animals/skunk.jpg,Old,extinction,DO,H,H,0.767,memory_run-01,acquisition
35,270.91700000000003,3.0,CS+,animals/finch.jpg,Old,extinction,DO,H,H,0.993,memory_run-01,acquisition
40,308.6,3.0,CS+,animals/reindeer.jpg,Old,extinction,DO,H,H,1.717,memory_run-01,acquisition
55,422.634,3.0,CS+,animals/llama.jpg,Old,extinction,DO,H,H,1.012,memory_run-01,extinction
64,492.867,3.0,CS+,animals/rhino.jpg,Old,extinction,DO,H,H,1.015,memory_run-01,acquisition
65,500.0,3.0,CS+,animals/elephantafrican.jpg,Old,extinction,DO,H,H,1.932,memory_run-01,acquisition
82,18.333,3.0,CS+,animals/caterpillarhawkmoth.jpg,Old,extinction,DO,H,H,0.889,memory_run-02,baseline
89,68.35,3.0,CS+,animals/hyena.jpg,Old,extinction,DO,H,H,1.064,memory_run-02,acquisition
110,218.383,3.0,CS+,animals/cricket.jpg,Old,extinction,DO,H,H,0.8490000000000001,memory_run-02,acquisition
118,275.483,3.0,CS+,animals/goldfish.jpg,Old,extinction,DO,H,H,1.651,memory_run-02,acquisition
120,289.783,3.0,CS+,animals/marmot.jpg,Old,extinction,DN,M,M,0.892,memory_run-02,extinction
138,436.383,3.0,CS+,animals/flamingo.jpg,Old,extinction,DO,H,H,1.662,memory_run-02,acquisition
144,485.266,3.0,CS+,animals/shrimp.jpg,Old,extinction,DN,M,M,0.8859999999999999,memory_run-02,extinction
145,493.4,3.0,CS+,animals/horse.jpg,Old,extinction,DO,H,H,0.638,memory_run-02,acquisition
172,89.8,3.0,CS+,animals/halibut.jpg,Old,extinction,DO,H,H,0.852,memory_run-03,acquisition
174,104.066,3.0,CS+,animals/cranebug.jpg,Old,extinction,DO,H,H,1.197,memory_run-03,acquisition
191,225.383,3.0,CS+,animals/starfish.jpg,Old,extinction,DO,H,H,1.339,memory_run-03,acquisition
198,275.333,3.0,CS+,animals/canary.jpg,Old,extinction,DO,H,H,1.154,memory_run-03,acquisition
207,346.55,3.0,CS+,animals/perch.jpg,Old,extinction,DO,H,H,1.183,memory_run-03,extinction
211,379.033,3.0,CS+,animals/salmon.jpg,Old,extinction,DO,H,H,0.922,memory_run-03,extinction
224,484.85,3.0,CS+,animals/racoon.jpg,Old,extinction,DO,H,H,1.325,memory_run-03,baseline
225,493.0,3.0,CS+,animals/cat.jpg,Old,extinction,DO,H,H,1.3869999999999998,memory_run-03,extinction
3,26.484,3.0,CS+,animals/crane.jpg,New,foil,DO,FA,FA,1.469,memory_run-01,
6,47.88399999999999,3.0,CS+,animals/hermitcrab.jpg,New,foil,MN,CR,CR,1.766,memory_run-01,
13,101.867,3.0,CS+,animals/highlandcow.jpg,New,foil,MN,CR,CR,2.8560000000000003,memory_run-01,
18,139.584,3.0,CS+,animals/waterdragon.jpg,New,foil,DN,CR,CR,1.18,memory_run-01,
23,178.3,3.0,CS+,animals/monkey.jpg,New,foil,DO,FA,FA,1.247,memory_run-01,
24,186.433,3.0,CS+,animals/panda.jpg,New,foil,DO,FA,FA,0.935,memory_run-01,
38,294.317,3.0,CS+,animals/bullfrog.jpg,New,foil,DN,CR,CR,0.953,memory_run-01,
39,301.467,3.0,CS+,animals/tortoise.jpg,New,foil,DO,FA,FA,1.74,memory_run-01,
47,363.55,3.0,CS+,animals/stickinsect.jpg,New,foil,DN,CR,CR,0.912,memory_run-01,
49,377.817,3.0,CS+,animals/seaslug.jpg,New,foil,DN,CR,CR,2.149,memory_run-01,
52,400.25,3.0,CS+,animals/octopus.jpg,New,foil,DO,FA,FA,1.114,memory_run-01,
53,407.367,3.0,CS+,animals/woodlouse.jpg,New,foil,DN,CR,CR,0.87,memory_run-01,
72,552.9830000000002,3.0,CS+,animals/balloonfish.jpg,New,foil,DN,CR,CR,0.962,memory_run-01,
73,561.117,3.0,CS+,animals/ladybug.jpg,New,foil,DN,CR,CR,0.843,memory_run-01,
74,569.2669999999998,3.0,CS+,animals/koala.jpg,New,foil,DO,FA,FA,0.946,memory_run-01,
75,576.4,3.0,CS+,animals/flounder.jpg,New,foil,DO,FA,FA,1.435,memory_run-01,
80,4.05,3.0,CS+,animals/caracal.jpg,New,foil,DN,CR,CR,1.071,memory_run-02,
83,25.483,3.0,CS+,animals/tragopan.jpg,New,foil,MN,CR,CR,0.813,memory_run-02,
88,61.2,3.0,CS+,animals/rooster.jpg,New,foil,DN,CR,CR,2.539,memory_run-02,
95,111.133,3.0,CS+,animals/leafinsect.jpg,New,foil,DO,FA,FA,1.061,memory_run-02,
104,175.483,3.0,CS+,animals/crab.jpg,New,foil,DN,CR,CR,0.931,memory_run-02,
112,232.683,3.0,CS+,animals/stinkbug.jpg,New,foil,DO,FA,FA,0.902,memory_run-02,
114,246.966,3.0,CS+,animals/slug.jpg,New,foil,DN,CR,CR,0.848,memory_run-02,
115,254.1,3.0,CS+,animals/beardeddragon.jpg,New,foil,DN,CR,CR,0.868,memory_run-02,
123,314.183,3.0,CS+,animals/malaysianjunglenymph.jpg,New,foil,DN,CR,CR,2.605,memory_run-02,
129,363.066,3.0,CS+,animals/orangutan.jpg,New,foil,DO,FA,FA,1.03,memory_run-02,
130,371.233,3.0,CS+,animals/owl.jpg,New,foil,DO,FA,FA,1.4240000000000002,memory_run-02,
139,444.533,3.0,CS+,animals/armadillo.jpg,New,foil,DN,CR,CR,0.955,memory_run-02,
152,550.4,3.0,CS+,animals/wasp.jpg,New,foil,DO,FA,FA,0.958,memory_run-02,
153,558.55,3.0,CS+,animals/dove.jpg,New,foil,DN,CR,CR,0.934,memory_run-02,
154,566.683,3.0,CS+,animals/marlin.jpg,New,foil,DO,FA,FA,1.109,memory_run-02,
155,574.8330000000002,3.0,CS+,animals/earthworm.jpg,New,foil,MO,FA,CR,0.923,memory_run-02,
162,18.35,3.0,CS+,animals/clam.jpg,New,foil,DN,CR,CR,1.589,memory_run-03,
165,39.8,3.0,CS+,animals/vulture.jpg,New,foil,MN,CR,CR,1.239,memory_run-03,
175,111.2,3.0,CS+,animals/clownfish.jpg,New,foil,DN,CR,CR,1.362,memory_run-03,
178,132.6,3.0,CS+,animals/lizard.jpg,New,foil,DN,CR,CR,1.5219999999999998,memory_run-03,
184,175.4,3.0,CS+,animals/deer.jpg,New,foil,DN,CR,CR,0.8340000000000001,memory_run-03,
185,182.533,3.0,CS+,animals/macaw.jpg,New,foil,DO,FA,FA,1.072,memory_run-03,
190,218.25,3.0,CS+,animals/cod.jpg,New,foil,DO,FA,FA,1.443,memory_run-03,
193,239.666,3.0,CS+,animals/lobsterspiny.jpg,New,foil,DO,FA,FA,1.334,memory_run-03,
206,338.416,3.0,CS+,animals/ibises.jpg,New,foil,DO,FA,FA,1.082,memory_run-03,
212,387.18300000000005,3.0,CS+,animals/emu.jpg,New,foil,MN,CR,CR,1.876,memory_run-03,
214,403.483,3.0,CS+,animals/gecko.jpg,New,foil,DO,FA,FA,0.888,memory_run-03,
217,427.866,3.0,CS+,animals/lion.jpg,New,foil,DO,FA,FA,0.857,memory_run-03,
232,550.016,3.0,CS+,animals/dockbug2.jpg,New,foil,DN,CR,CR,1.058,memory_run-03,
233,558.1659999999998,3.0,CS+,animals/toucan.jpg,New,foil,MN,CR,CR,2.049,memory_run-03,
234,566.3,3.0,CS+,animals/penguin.jpg,New,foil,MN,CR,CR,1.264,memory_run-03,
235,574.433,3.0,CS+,animals/kangaroo.jpg,New,foil,DO,FA,FA,1.588,memory_run-03,
8,63.167,3.0,CS-,tools/gong.jpg,Old,baseline,DO,H,H,1.7080000000000002,memory_run-01,baseline
12,93.734,3.0,CS-,tools/beadingtool.jpg,Old,baseline,DO,H,H,1.251,memory_run-01,baseline
26,201.68400000000003,3.0,CS-,tools/reflexhammer.jpg,Old,baseline,DO,H,H,1.712,memory_run-01,acquisition
32,247.5,3.0,CS-,tools/cheesegrater.jpg,Old,baseline,DO,H,H,0.924,memory_run-01,acquisition
44,339.117,3.0,CS-,tools/plunger.jpg,Old,baseline,DO,H,H,0.909,memory_run-01,extinction
54,415.5,3.0,CS-,tools/transmissionwrench.jpg,Old,baseline,DN,M,M,1.569,memory_run-01,extinction
66,507.133,3.0,CS-,tools/drillbit.jpg,Old,baseline,DO,H,H,1.215,memory_run-01,acquisition
67,515.2669999999998,3.0,CS-,tools/electricbreaker.jpg,Old,baseline,DO,H,H,0.789,memory_run-01,acquisition
91,82.616,3.0,CS-,tools/plow.jpg,Old,baseline,DN,M,M,1.022,memory_run-02,extinction
99,139.733,3.0,CS-,tools/faxmachine.jpg,Old,baseline,DO,H,H,1.189,memory_run-02,baseline
107,196.933,3.0,CS-,tools/ropeandpulley.jpg,Old,baseline,DO,H,H,1.039,memory_run-02,acquisition
109,211.216,3.0,CS-,tools/hairdryer.jpg,Old,baseline,DO,H,H,0.924,memory_run-02,extinction
124,322.333,3.0,CS-,tools/rollingpin.jpg,Old,baseline,MN,M,M,1.138,memory_run-02,baseline
135,411.93300000000005,3.0,CS-,tools/gardenhose.jpg,Old,baseline,DO,H,H,0.7070000000000001,memory_run-02,extinction
146,501.55,3.0,CS-,tools/scissors.jpg,Old,baseline,DN,M,M,0.787,memory_run-02,baseline
147,509.7,3.0,CS-,tools/ladder.jpg,Old,baseline,DO,H,H,1.003,memory_run-02,acquisition
171,82.666,3.0,CS-,tools/shoehorn.jpg,Old,baseline,DO,H,H,1.527,memory_run-03,acquisition
173,96.933,3.0,CS-,tools/weldinghelmet.jpg,Old,baseline,DO,H,H,0.758,memory_run-03,extinction
183,168.266,3.0,CS-,tools/stove.jpg,Old,baseline,DN,M,M,0.8029999999999999,memory_run-03,baseline
192,232.516,3.0,CS-,tools/paintroller.jpg,Old,baseline,DN,M,M,0.838,memory_run-03,extinction
208,354.666,3.0,CS-,tools/chisel.jpg,Old,baseline,DO,H,H,1.001,memory_run-03,extinction
209,362.783,3.0,CS-,tools/rake.jpg,Old,baseline,MN,M,M,1.477,memory_run-03,baseline
226,501.15,3.0,CS-,tools/wheelbarrow.jpg,Old,baseline,DO,H,H,0.8440000000000001,memory_run-03,extinction
227,509.283,3.0,CS-,tools/pliers.jpg,Old,baseline,MN,M,M,1.719,memory_run-03,acquisition
15,116.167,3.0,CS-,tools/benchdogs.jpg,Old,acquisition,MN,M,M,1.66,memory_run-01,baseline
16,123.284,3.0,CS-,tools/beaker.jpg,Old,acquisition,DO,H,H,1.219,memory_run-01,acquisition
36,279.033,3.0,CS-,tools/tubeflaring.jpg,Old,acquisition,MN,M,M,1.141,memory_run-01,baseline
37,286.183,3.0,CS-,tools/sander.jpg,Old,acquisition,DO,H,H,1.263,memory_run-01,acquisition
43,331.983,3.0,CS-,tools/mallet.jpg,Old,acquisition,DO,H,H,0.944,memory_run-01,baseline
48,370.68300000000005,3.0,CS-,tools/vegetablepeeler.jpg,Old,acquisition,MO,H,M,1.301,memory_run-01,baseline
68,523.4169999999998,3.0,CS-,tools/viceclamp.jpg,Old,acquisition,DN,M,M,0.855,memory_run-01,acquisition
69,530.567,3.0,CS-,tools/pruner.jpg,Old,acquisition,DN,M,M,1.024,memory_run-01,baseline
90,75.483,3.0,CS-,tools/levelmount.jpg,Old,acquisition,DO,H,H,0.813,memory_run-02,baseline
98,132.583,3.0,CS-,tools/blackboard.jpg,Old,acquisition,DO,H,H,1.145,memory_run-02,baseline
101,154.033,3.0,CS-,tools/sparkplug.jpg,Old,acquisition,DO,H,H,0.898,memory_run-02,acquisition
108,204.083,3.0,CS-,tools/fan.jpg,Old,acquisition,DN,M,M,0.939,memory_run-02,baseline
132,387.516,3.0,CS-,tools/thermometer.jpg,Old,acquisition,DN,M,M,1.6969999999999998,memory_run-02,extinction
134,403.783,3.0,CS-,tools/measuringcups.jpg,Old,acquisition,,M,M,,memory_run-02,baseline
148,517.85,3.0,CS-,tools/broom.jpg,Old,acquisition,DN,M,M,0.831,memory_run-02,baseline
149,525.966,3.0,CS-,tools/ruler.jpg,Old,acquisition,DN,M,M,0.8240000000000001,memory_run-02,extinction
166,46.95,3.0,CS-,tools/eraser.jpg,Old,acquisition,MO,H,M,1.634,memory_run-03,baseline
