onset,duration,trial_type,stimulus,memory_condition,encode_phase,response,low_confidence_accuracy,high_confidence_accuracy,response_time,phase,source_memory
72.367,3.0,CS+,animals/flea.jpg,Old,baseline,MN,M,M,1.899,memory_run-01,baseline
95.8,3.0,CS+,animals/dragonfly.jpg,Old,baseline,DN,M,M,1.764,memory_run-01,extinction
255.86700000000002,3.0,CS+,animals/angelfish.jpg,Old,baseline,DN,M,M,1.6019999999999999,memory_run-01,baseline
295.617,3.0,CS+,animals/prayingmantis.jpg,Old,baseline,MO,H,M,1.383,memory_run-01,acquisition
360.884,3.0,CS+,animals/pike.jpg,Old,baseline,MO,H,M,1.695,memory_run-01,baseline
453.56699999999995,3.0,CS+,animals/crow.jpg,Old,baseline,MO,H,M,1.915,memory_run-01,baseline
460.717,3.0,CS+,animals/ostrich.jpg,Old,baseline,DO,H,H,1.8969999999999998,memory_run-01,extinction
468.86699999999996,3.0,CS+,animals/tiger.jpg,Old,baseline,MO,H,M,1.505,memory_run-01,extinction
25.467,3.0,CS+,animals/caterpillarpeacockmoth.jpg,Old,baseline,DO,H,H,1.024,memory_run-02,acquisition
61.217,3.0,CS+,animals/mole.jpg,Old,baseline,MO,H,M,1.291,memory_run-02,baseline
204.167,3.0,CS+,animals/boar.jpg,Old,baseline,DO,H,H,1.694,memory_run-02,acquisition
282.767,3.0,CS+,animals/gerbil.jpg,Old,baseline,DO,H,H,0.938,memory_run-02,acquisition
436.45,3.0,CS+,animals/porcupine.jpg,Old,baseline,DO,H,H,0.87,memory_run-02,baseline
444.6,3.0,CS+,animals/pelican.jpg,Old,baseline,DO,H,H,1.225,memory_run-02,acquisition
452.75,3.0,CS+,animals/giraffe.jpg,Old,baseline,MN,M,M,1.579,memory_run-02,baseline
460.884,3.0,CS+,animals/pigeon.jpg,Old,baseline,DO,H,H,1.751,memory_run-02,extinction
61.167,3.0,CS+,animals/herculesbeetle.jpg,Old,baseline,DO,H,H,1.272,memory_run-03,baseline
89.76700000000002,3.0,CS+,animals/quail.jpg,Old,baseline,DN,M,M,1.195,memory_run-03,baseline
275.6,3.0,CS+,animals/snapper.jpg,Old,baseline,MN,M,M,1.9240000000000002,memory_run-03,baseline
282.75,3.0,CS+,animals/hummingbird.jpg,Old,baseline,MN,M,M,1.665,memory_run-03,baseline
289.884,3.0,CS+,animals/waterbuffalo.jpg,Old,baseline,MO,H,M,1.875,memory_run-03,extinction
379.3,3.0,CS+,animals/baboon.jpg,Old,baseline,DO,H,H,1.0959999999999999,memory_run-03,acquisition
452.467,3.0,CS+,animals/leopard.jpg,Old,baseline,MO,H,M,1.3019999999999998,memory_run-03,extinction
460.6,3.0,CS+,animals/cow.jpg,Old,baseline,MO,H,M,1.273,memory_run-03,baseline
48.917,3.0,CS+,animals/assassinbug.jpg,Old,acquisition,MO,H,M,2.449,memory_run-01,acquisition
102.934,3.0,CS+,animals/catfish.jpg,Old,acquisition,MO,H,M,1.935,memory_run-01,acquisition
163.084,3.0,CS+,animals/palmcockatoo.jpg,Old,acquisition,MO,H,M,1.713,memory_run-01,extinction
201.817,3.0,CS+,animals/ant.jpg,Old,acquisition,MO,H,M,1.729,memory_run-01,acquisition
331.334,3.0,CS+,animals/snail.jpg,Old,acquisition,MO,H,M,1.767,memory_run-01,acquisition
369.017,3.0,CS+,animals/baldeagle.jpg,Old,acquisition,DN,M,M,1.137,memory_run-01,baseline
477.017,3.0,CS+,animals/duck.jpg,Old,acquisition,MO,H,M,1.734,memory_run-01,baseline
484.15,3.0,CS+,animals/shark.jpg,Old,acquisition,DN,M,M,1.733,memory_run-01,baseline
46.917,3.0,CS+,animals/firebug.jpg,Old,acquisition,DO,H,H,0.976,memory_run-02,acquisition
132.667,3.0,CS+,animals/mahimahi.jpg,Old,acquisition,DN,M,M,1.304,memory_run-02,acquisition
218.467,3.0,CS+,animals/herring.jpg,Old,acquisition,MO,H,M,1.6019999999999999,memory_run-02,acquisition
239.9,3.0,CS+,animals/dramaderry.jpg,Old,acquisition,MO,H,M,1.466,memory_run-02,extinction
330.61699999999996,3.0,CS+,animals/camel.jpg,Old,acquisition,MO,H,M,1.4969999999999999,memory_run-02,extinction
412.034,3.0,CS+,animals/mink.jpg,Old,acquisition,DO,H,H,1.382,memory_run-02,extinction
469.017,3.0,CS+,animals/mouse.jpg,Old,acquisition,DO,H,H,0.932,memory_run-02,acquisition
477.15,3.0,CS+,animals/sheep.jpg,Old,acquisition,MO,H,M,1.537,memory_run-02,extinction
4.034,3.0,CS+,animals/partridge.jpg,Old,acquisition,MN,M,M,1.672,memory_run-03,extinction
68.317,3.0,CS+,animals/anteater.jpg,Old,acquisition,MO,H,M,1.389,memory_run-03,extinction
182.717,3.0,CS+,animals/carp.jpg,Old,acquisition,DO,H,H,1.205,memory_run-03,extinction
261.334,3.0,CS+,animals/turkey.jpg,Old,acquisition,MN,M,M,1.395,memory_run-03,baseline
338.7,3.0,CS+,animals/chipmunk.jpg,Old,acquisition,MN,M,M,1.358,memory_run-03,acquisition
419.95,3.0,CS+,animals/seal.jpg,Old,acquisition,MO,H,M,1.385,memory_run-03,baseline
468.75,3.0,CS+,animals/brown_bear.jpg,Old,acquisition,DO,H,H,0.815,memory_run-03,acquisition
476.884,3.0,CS+,animals/rabbit.jpg,Old,acquisition,DO,H,H,0.8,memory_run-03,acquisition
41.766999999999996,3.0,CS+,animals/zebra.jpg,Old,extinction,DO,H,H,1.8,memory_run-01,extinction
148.817,3.0,CS+,animals/aardvark.jpg,Old,extinction,MO,H,M,1.794,memory_run-01,extinction
263.017,3.0,CS+,animals/skunk.jpg,Old,extinction,MO,H,M,1.262,memory_run-01,baseline
279.317,3.0,CS+,animals/finch.jpg,Old,extinction,MO,H,M,1.52,memory_run-01,acquisition
309.884,3.0,CS+,animals/reindeer.jpg,Old,extinction,DN,M,M,1.16,memory_run-01,acquisition
377.15,3.0,CS+,animals/llama.jpg,Old,extinction,MO,H,M,1.587,memory_run-01,extinction
492.284,3.0,CS+,animals/rhino.jpg,Old,extinction,MO,H,M,1.6909999999999998,memory_run-01,extinction
500.434,3.0,CS+,animals/elephantafrican.jpg,Old,extinction,DO,H,H,1.78,memory_run-01,extinction
11.184000000000001,3.0,CS+,animals/caterpillarhawkmoth.jpg,Old,extinction,MO,H,M,1.469,memory_run-02,acquisition
96.96700000000001,3.0,CS+,animals/hyena.jpg,Old,extinction,MO,H,M,1.8019999999999998,memory_run-02,extinction
168.417,3.0,CS+,animals/cricket.jpg,Old,extinction,DO,H,H,0.856,memory_run-02,acquisition
232.767,3.0,CS+,animals/goldfish.jpg,Old,extinction,DO,H,H,1.466,memory_run-02,extinction
338.767,3.0,CS+,animals/marmot.jpg,Old,extinction,DO,H,H,1.14,memory_run-02,extinction
355.034,3.0,CS+,animals/flamingo.jpg,Old,extinction,DO,H,H,1.2109999999999999,memory_run-02,extinction
485.284,3.0,CS+,animals/shrimp.jpg,Old,extinction,DN,M,M,1.36,memory_run-02,baseline
493.417,3.0,CS+,animals/horse.jpg,Old,extinction,MN,M,M,1.98,memory_run-02,extinction
32.584,3.0,CS+,animals/halibut.jpg,Old,extinction,MO,H,M,1.194,memory_run-03,baseline
46.867,3.0,CS+,animals/cranebug.jpg,Old,extinction,MO,H,M,1.3030000000000002,memory_run-03,acquisition
189.86700000000002,3.0,CS+,animals/starfish.jpg,Old,extinction,DO,H,H,1.189,memory_run-03,acquisition
218.467,3.0,CS+,animals/canary.jpg,Old,extinction,DO,H,H,1.5230000000000001,memory_run-03,baseline
314.284,3.0,CS+,animals/perch.jpg,Old,extinction,DO,H,H,0.917,memory_run-03,baseline
346.834,3.0,CS+,animals/salmon.jpg,Old,extinction,MO,H,M,1.4340000000000002,memory_run-03,baseline
485.0,3.0,CS+,animals/racoon.jpg,Old,extinction,MO,H,M,1.092,memory_run-03,baseline
493.134,3.0,CS+,animals/cat.jpg,Old,extinction,MO,H,M,1.4609999999999999,memory_run-03,extinction
12.184000000000001,3.0,CS+,animals/monkey.jpg,New,foil,DN,CR,CR,1.14,memory_run-01,
56.067,3.0,CS+,animals/flounder.jpg,New,foil,DN,CR,CR,1.324,memory_run-01,
64.217,3.0,CS+,animals/woodlouse.jpg,New,foil,MN,CR,CR,2.261,memory_run-01,
80.517,3.0,CS+,animals/tortoise.jpg,New,foil,DN,CR,CR,1.0170000000000001,memory_run-01,
193.667,3.0,CS+,animals/stickinsect.jpg,New,foil,MO,FA,CR,2.392,memory_run-01,
209.967,3.0,CS+,animals/koala.jpg,New,foil,DN,CR,CR,1.194,memory_run-01,
225.267,3.0,CS+,animals/balloonfish.jpg,New,foil,DN,CR,CR,1.645,memory_run-01,
287.467,3.0,CS+,animals/waterdragon.jpg,New,foil,DN,CR,CR,1.207,memory_run-01,
338.467,3.0,CS+,animals/crane.jpg,New,foil,MN,CR,CR,1.6269999999999998,memory_run-01,
345.61699999999996,3.0,CS+,animals/highlandcow.jpg,New,foil,DN,CR,CR,1.3719999999999999,memory_run-01,
393.434,3.0,CS+,animals/hermitcrab.jpg,New,foil,DN,CR,CR,1.082,memory_run-01,
446.417,3.0,CS+,animals/seaslug.jpg,New,foil,DN,CR,CR,1.204,memory_run-01,
553.4169999999998,3.0,CS+,animals/ladybug.jpg,New,foil,DN,CR,CR,1.486,memory_run-01,
561.567,3.0,CS+,animals/panda.jpg,New,foil,DN,CR,CR,1.187,memory_run-01,
