onset	duration	trial_type	stimulus	memory_condition	encode_phase	response	low_confidence_accuracy	high_confidence_accuracy	response_time
4.033	3.0	CS+	animals/woodlouse.jpg	New	foil	MN	CR	CR	1.437
11.2	3.0	CS-	tools/burnisher.jpg	New	foil	MO	FA	CR	1.389
18.35	3.0	CS+	animals/assassinbug.jpg	Old	acquisition	DO	H	H	0.864
25.5	3.0	CS-	tools/campingstove.jpg	Old	extinction	MN	M	M	1.646
32.65	3.0	CS+	animals/zebra.jpg	Old	extinction	MO	H	M	1.918
40.8	3.0	CS-	tools/grapplinghook.jpg	New	foil	n/a	CR	CR	n/a
47.95	3.0	CS+	animals/tortoise.jpg	New	foil	MO	FA	CR	1.38
56.1	3.0	CS+	animals/flea.jpg	Old	baseline	DO	H	H	1.137
64.25	3.0	CS+	animals/catfish.jpg	Old	acquisition	MO	H	M	1.369
71.4	3.0	CS+	animals/octopus.jpg	New	foil	MN	CR	CR	2.107
79.55	3.0	CS-	tools/magnet.jpg	New	foil	MN	CR	CR	2.018
86.683	3.0	CS+	animals/dragonfly.jpg	Old	baseline	DO	H	H	2.113
93.817	3.0	CS+	animals/panda.jpg	New	foil	MO	FA	CR	1.173
101.967	3.0	CS-	tools/gong.jpg	Old	baseline	DO	H	H	1.301
110.1	3.0	CS-	tools/beadingtool.jpg	Old	baseline	MN	M	M	2.227
117.25	3.0	CS-	tools/benchdogs.jpg	Old	acquisition	DO	H	H	1.531
125.4	3.0	CS-	tools/carpetblower.jpg	Old	extinction	MO	H	M	1.273
132.55	3.0	CS-	tools/beaker.jpg	Old	acquisition	DN	M	M	1.686
140.7	3.0	CS-	tools/engine.jpg	New	foil	MO	FA	CR	1.999
148.833	3.0	CS+	animals/aardvark.jpg	Old	extinction	MN	M	M	1.514
156.966	3.0	CS+	animals/seaslug.jpg	New	foil	MN	CR	CR	2.694
165.1	3.0	CS+	animals/angelfish.jpg	Old	baseline	DO	H	H	1.149
172.233	3.0	CS+	animals/waterdragon.jpg	New	foil	MN	CR	CR	2.252
179.366	3.0	CS-	tools/whistle.jpg	New	foil	DN	CR	CR	1.325
187.5	3.0	CS-	tools/treadmill.jpg	Old	extinction	MO	H	M	1.516
194.633	3.0	CS-	tools/reflexhammer.jpg	Old	baseline	MN	M	M	1.613
201.766	3.0	CS+	animals/highlandcow.jpg	New	foil	MN	CR	CR	1.789
209.916	3.0	CS+	animals/skunk.jpg	Old	extinction	DO	H	H	1.09
218.066	3.0	CS+	animals/palmcockatoo.jpg	Old	acquisition	DO	H	H	1.089
225.216	3.0	CS-	tools/tubeflaring.jpg	Old	acquisition	MN	M	M	1.166
233.35	3.0	CS-	tools/electricdrill.jpg	New	foil	MO	FA	CR	2.296
241.483	3.0	CS-	tools/wateringcan.jpg	New	foil	n/a	CR	CR	n/a
248.616	3.0	CS-	tools/sander.jpg	Old	acquisition	MN	M	M	0.928
256.75	3.0	CS+	animals/finch.jpg	Old	extinction	MN	M	M	2.168
264.866	3.0	CS-	tools/mellonballer.jpg	New	foil	MN	CR	CR	2.252
272.0	3.0	CS+	animals/flounder.jpg	New	foil	MO	FA	CR	1.182
280.133	3.0	CS-	tools/extensioncord.jpg	Old	extinction	DO	H	H	1.77
287.266	3.0	CS+	animals/ant.jpg	Old	acquisition	DO	H	H	0.909
294.416	3.0	CS+	animals/prayingmantis.jpg	Old	baseline	DO	H	H	0.775
301.583	3.0	CS-	tools/cheesegrater.jpg	Old	baseline	MN	M	M	2.541
309.716	3.0	CS-	tools/caulkinggun.jpg	New	foil	MN	CR	CR	1.165
317.85	3.0	CS+	animals/ladybug.jpg	New	foil	DO	FA	FA	0.935
324.983	3.0	CS+	animals/reindeer.jpg	Old	extinction	DO	H	H	0.759
333.133	3.0	CS+	animals/balloonfish.jpg	New	foil	DO	FA	FA	2.077
341.266	3.0	CS-	tools/mallet.jpg	Old	acquisition	MO	H	M	1.146
348.4	3.0	CS-	tools/padlock.jpg	Old	extinction	DO	H	H	1.689
