subject,roi,phase,condition,beta
1,amyg_bla,acquisition,CS+,-31.718044768301173
1,amyg_bla,acquisition,CS-,-17.06541577582205
1,amyg_bla,baseline,CS+,-6.919687664569717
1,amyg_bla,baseline,CS-,-13.442578263928512
1,amyg_bla,extinction,CS+,-31.55396382342625
1,amyg_bla,extinction,CS-,-12.897631684709667
1,amyg_cem,acquisition,CS+,-45.42929983239475
1,amyg_cem,acquisition,CS-,-36.94148709220519
1,amyg_cem,baseline,CS+,-4.955123390031251
1,amyg_cem,baseline,CS-,-22.495493317408787
1,amyg_cem,extinction,CS+,-30.752842940006623
1,amyg_cem,extinction,CS-,-28.602083581056505
1,hc_body,acquisition,CS+,-53.714783676723776
1,hc_body,acquisition,CS-,-51.87905451303415
1,hc_body,baseline,CS+,-43.180619193433216
1,hc_body,baseline,CS-,-48.75229077375594
1,hc_body,extinction,CS+,-55.528223741441955
1,hc_body,extinction,CS-,-49.93901580442155
1,hc_tail,acquisition,CS+,-0.040744601748883724
1,hc_tail,acquisition,CS+,-0.040744601748883724
1,hc_tail,acquisition,CS-,5.046526385364788
1,hc_tail,acquisition,CS-,5.046526385364788
1,hc_tail,baseline,CS+,-6.033743892339143
1,hc_tail,baseline,CS+,-6.033743892339143
1,hc_tail,baseline,CS-,9.978999987013221
1,hc_tail,baseline,CS-,9.978999987013221
1,hc_tail,extinction,CS+,-5.796895311231769
1,hc_tail,extinction,CS+,-5.796895311231769
1,hc_tail,extinction,CS-,17.560572313604418
1,hc_tail,extinction,CS-,17.560572313604418
2,amyg_bla,acquisition,CS+,-17.837304022671148
2,amyg_bla,acquisition,CS-,-28.918101554216722
2,amyg_bla,baseline,CS+,-22.69154135484079
2,amyg_bla,baseline,CS-,-8.676823653524854
2,amyg_bla,extinction,CS+,-21.672912540787717
2,amyg_bla,extinction,CS-,-33.16108766037588
2,amyg_cem,acquisition,CS+,-8.09204131594071
2,amyg_cem,acquisition,CS-,-31.02003387537024
2,amyg_cem,baseline,CS+,-41.69279013580491
2,amyg_cem,baseline,CS-,2.444082576590471
2,amyg_cem,extinction,CS+,-24.266613431879854
2,amyg_cem,extinction,CS-,-9.954510805760837
2,hc_body,acquisition,CS+,-15.408347042315834
2,hc_body,acquisition,CS-,-17.334557601625374
2,hc_body,baseline,CS+,-24.535710887746347
2,hc_body,baseline,CS-,-21.59745935425367
2,hc_body,extinction,CS+,-22.03129176523399
2,hc_body,extinction,CS-,-30.165417185445914
2,hc_tail,acquisition,CS+,-3.310491903206437
2,hc_tail,acquisition,CS+,-3.310491903206437
2,hc_tail,acquisition,CS-,6.371914972888603
2,hc_tail,acquisition,CS-,6.371914972888603
2,hc_tail,baseline,CS+,-5.167637641114804
2,hc_tail,baseline,CS+,-5.167637641114804
2,hc_tail,baseline,CS-,-8.55766964428282
2,hc_tail,baseline,CS-,-8.55766964428282
2,hc_tail,extinction,CS+,5.025580061615781
2,hc_tail,extinction,CS+,5.025580061615781
2,hc_tail,extinction,CS-,-5.2510072294001775
2,hc_tail,extinction,CS-,-5.2510072294001775
3,amyg_bla,acquisition,CS+,2.7060818496594825
3,amyg_bla,acquisition,CS-,4.988634146490822
3,amyg_bla,baseline,CS+,29.492300470532694
3,amyg_bla,baseline,CS-,22.998856011535164
3,amyg_bla,extinction,CS+,11.710546763854412
3,amyg_bla,extinction,CS-,8.868223525046682
3,amyg_cem,acquisition,CS+,-47.464437657336624
3,amyg_cem,acquisition,CS-,-19.9280404593421
3,amyg_cem,baseline,CS+,-13.305796386276294
3,amyg_cem,baseline,CS-,19.67055431493234
3,amyg_cem,extinction,CS+,-26.336466562584974
3,amyg_cem,extinction,CS-,-0.7585404776036739
3,hc_body,acquisition,CS+,-3.554785289073352
3,hc_body,acquisition,CS-,43.70111278569067
3,hc_body,baseline,CS+,34.113175278961116
3,hc_body,baseline,CS-,12.677739059576252
3,hc_body,extinction,CS+,15.35495349164859
3,hc_body,extinction,CS-,14.747899914048688
3,hc_tail,acquisition,CS+,-14.690819718999924
3,hc_tail,acquisition,CS+,-14.690819718999924
3,hc_tail,acquisition,CS-,27.759500604328302
3,hc_tail,acquisition,CS-,27.759500604328302
3,hc_tail,baseline,CS+,4.134088987461859
3,hc_tail,baseline,CS+,4.134088987461859
3,hc_tail,baseline,CS-,-20.091655499624803
3,hc_tail,baseline,CS-,-20.091655499624803
3,hc_tail,extinction,CS+,-8.876381223741161
3,hc_tail,extinction,CS+,-8.876381223741161
3,hc_tail,extinction,CS-,0.11046707934540946
3,hc_tail,extinction,CS-,0.11046707934540946
4,amyg_bla,acquisition,CS+,-33.50865638376779
4,amyg_bla,acquisition,CS-,-28.740737905033313
4,amyg_bla,baseline,CS+,-20.463168959581708
4,amyg_bla,baseline,CS-,-24.57035008549559
4,amyg_bla,extinction,CS+,-30.335870990402046
4,amyg_bla,extinction,CS-,-35.08474554018661
4,amyg_cem,acquisition,CS+,-48.63567714722476
4,amyg_cem,acquisition,CS-,-42.864218265951976
4,amyg_cem,baseline,CS+,-36.99651293650918
4,amyg_cem,baseline,CS-,-42.82141418836039
4,amyg_cem,extinction,CS+,-45.252607130486034
4,amyg_cem,extinction,CS-,-58.50314905246099
4,hc_body,acquisition,CS+,-34.07296106646206
4,hc_body,acquisition,CS-,-37.76262503597012
4,hc_body,baseline,CS+,-29.156725248193116
4,hc_body,baseline,CS-,-31.326682043205487
4,hc_body,extinction,CS+,-44.231104363901196
4,hc_body,extinction,CS-,-29.27838839611993
4,hc_tail,acquisition,CS+,-17.950408731671896
4,hc_tail,acquisition,CS+,-17.950408731671896
4,hc_tail,acquisition,CS-,-12.09361482328192
4,hc_tail,acquisition,CS-,-12.09361482328192
4,hc_tail,baseline,CS+,-13.748942822421228
4,hc_tail,baseline,CS+,-13.748942822421228
4,hc_tail,baseline,CS-,-11.915232546384107
4,hc_tail,baseline,CS-,-11.915232546384107
4,hc_tail,extinction,CS+,-11.002547888046442
4,hc_tail,extinction,CS+,-11.002547888046442
4,hc_tail,extinction,CS-,-19.632760394457197
4,hc_tail,extinction,CS-,-19.632760394457197
5,amyg_bla,acquisition,CS+,-3.043723079707706
5,amyg_bla,acquisition,CS-,7.143315436511407
5,amyg_bla,baseline,CS+,4.743479852318397
5,amyg_bla,baseline,CS-,-17.216615046320754
