subject,roi,phase,condition,beta
1,amyg_bla,acquisition,CS+,-31.718044768301173
1,amyg_bla,acquisition,CS-,-17.06541577582205
1,amyg_bla,baseline,CS+,-6.919687664569718
1,amyg_bla,baseline,CS-,-13.44257826392851
1,amyg_bla,extinction,CS+,-31.55396382342625
1,amyg_bla,extinction,CS-,-12.897631684709669
1,amyg_cem,acquisition,CS+,-45.429299832394754
1,amyg_cem,acquisition,CS-,-36.941487092205186
1,amyg_cem,baseline,CS+,-4.95512339003125
1,amyg_cem,baseline,CS-,-22.49549331740879
1,amyg_cem,extinction,CS+,-30.752842940006623
1,amyg_cem,extinction,CS-,-28.602083581056505
1,hc_body,acquisition,CS+,-53.71478367672378
1,hc_body,acquisition,CS-,-51.879054513034156
1,hc_body,baseline,CS+,-43.180619193433216
1,hc_body,baseline,CS-,-48.75229077375594
1,hc_body,extinction,CS+,-55.52822374144196
1,hc_body,extinction,CS-,-49.93901580442155
1,hc_tail,acquisition,CS+,-0.040744601748883724
1,hc_tail,acquisition,CS-,5.046526385364788
1,hc_tail,baseline,CS+,-6.033743892339142
1,hc_tail,baseline,CS-,9.978999987013221
1,hc_tail,extinction,CS+,-5.7968953112317685
1,hc_tail,extinction,CS-,17.560572313604418
2,amyg_bla,acquisition,CS+,-17.837304022671148
2,amyg_bla,acquisition,CS-,-28.91810155421672
2,amyg_bla,baseline,CS+,-22.69154135484079
2,amyg_bla,baseline,CS-,-8.676823653524853
2,amyg_bla,extinction,CS+,-21.67291254078772
2,amyg_bla,extinction,CS-,-33.161087660375884
2,amyg_cem,acquisition,CS+,-8.09204131594071
2,amyg_cem,acquisition,CS-,-31.020033875370242
2,amyg_cem,baseline,CS+,-41.692790135804906
2,amyg_cem,baseline,CS-,2.444082576590471
2,amyg_cem,extinction,CS+,-24.26661343187985
2,amyg_cem,extinction,CS-,-9.954510805760835
2,hc_body,acquisition,CS+,-15.408347042315835
2,hc_body,acquisition,CS-,-17.334557601625377
2,hc_body,baseline,CS+,-24.535710887746355
2,hc_body,baseline,CS-,-21.597459354253672
2,hc_body,extinction,CS+,-22.031291765233988
2,hc_body,extinction,CS-,-30.165417185445914
2,hc_tail,acquisition,CS+,-3.310491903206437
2,hc_tail,acquisition,CS-,6.371914972888602
2,hc_tail,baseline,CS+,-5.167637641114804
2,hc_tail,baseline,CS-,-8.55766964428282
2,hc_tail,extinction,CS+,5.0255800616157815
2,hc_tail,extinction,CS-,-5.2510072294001775
3,amyg_bla,acquisition,CS+,2.7060818496594825
3,amyg_bla,acquisition,CS-,4.988634146490822
3,amyg_bla,baseline,CS+,29.49230047053269
3,amyg_bla,baseline,CS-,22.998856011535164
3,amyg_bla,extinction,CS+,11.710546763854413
3,amyg_bla,extinction,CS-,8.86822352504668
3,amyg_cem,acquisition,CS+,-47.46443765733662
3,amyg_cem,acquisition,CS-,-19.9280404593421
3,amyg_cem,baseline,CS+,-13.305796386276295
3,amyg_cem,baseline,CS-,19.67055431493234
3,amyg_cem,extinction,CS+,-26.336466562584967
3,amyg_cem,extinction,CS-,-0.7585404776036739
3,hc_body,acquisition,CS+,-3.5547852890733522
3,hc_body,acquisition,CS-,43.70111278569067
3,hc_body,baseline,CS+,34.11317527896112
3,hc_body,baseline,CS-,12.677739059576252
3,hc_body,extinction,CS+,15.35495349164859
3,hc_body,extinction,CS-,14.747899914048688
3,hc_tail,acquisition,CS+,-14.690819718999924
3,hc_tail,acquisition,CS-,27.759500604328302
3,hc_tail,baseline,CS+,4.134088987461859
3,hc_tail,baseline,CS-,-20.091655499624807
3,hc_tail,extinction,CS+,-8.876381223741161
3,hc_tail,extinction,CS-,0.11046707934540946
4,amyg_bla,acquisition,CS+,-33.50865638376779
4,amyg_bla,acquisition,CS-,-28.740737905033317
4,amyg_bla,baseline,CS+,-20.463168959581708
4,amyg_bla,baseline,CS-,-24.57035008549559
4,amyg_bla,extinction,CS+,-30.33587099040205
4,amyg_bla,extinction,CS-,-35.08474554018661
4,amyg_cem,acquisition,CS+,-48.63567714722476
4,amyg_cem,acquisition,CS-,-42.864218265951976
4,amyg_cem,baseline,CS+,-36.99651293650918
4,amyg_cem,baseline,CS-,-42.82141418836039
4,amyg_cem,extinction,CS+,-45.252607130486034
4,amyg_cem,extinction,CS-,-58.503149052461
4,hc_body,acquisition,CS+,-34.07296106646206
4,hc_body,acquisition,CS-,-37.76262503597012
4,hc_body,baseline,CS+,-29.156725248193123
4,hc_body,baseline,CS-,-31.32668204320549
4,hc_body,extinction,CS+,-44.2311043639012
4,hc_body,extinction,CS-,-29.27838839611993
4,hc_tail,acquisition,CS+,-17.950408731671892
4,hc_tail,acquisition,CS-,-12.09361482328192
4,hc_tail,baseline,CS+,-13.748942822421226
4,hc_tail,baseline,CS-,-11.915232546384107
4,hc_tail,extinction,CS+,-11.002547888046443
4,hc_tail,extinction,CS-,-19.6327603944572
5,amyg_bla,acquisition,CS+,-3.043723079707706
5,amyg_bla,acquisition,CS-,7.143315436511407
5,amyg_bla,baseline,CS+,4.743479852318397
5,amyg_bla,baseline,CS-,-17.216615046320754
5,amyg_bla,extinction,CS+,-7.9713733847492305
5,amyg_bla,extinction,CS-,-5.204913821768467
5,amyg_cem,acquisition,CS+,35.73155602460375
5,amyg_cem,acquisition,CS-,12.706496532214096
5,amyg_cem,baseline,CS+,41.4123863007974
5,amyg_cem,baseline,CS-,3.2177871817024704
5,amyg_cem,extinction,CS+,-9.151293000799509
5,amyg_cem,extinction,CS-,41.642822135810384
5,hc_body,acquisition,CS+,4.416791403641131
5,hc_body,acquisition,CS-,2.960996633120205
5,hc_body,baseline,CS+,6.697224497063845
5,hc_body,baseline,CS-,-11.397342120122405
5,hc_body,extinction,CS+,4.1860213356767435
5,hc_body,extinction,CS-,7.184640201603718
5,hc_tail,acquisition,CS+,-12.181792450478921
5,hc_tail,acquisition,CS-,-3.0266444353791684
5,hc_tail,baseline,CS+,-13.081802509430174
5,hc_tail,baseline,CS-,-29.86501024641481
5,hc_tail,extinction,CS+,-13.11638758869275
5,hc_tail,extinction,CS-,-3.6412504126744656
6,amyg_bla,acquisition,CS+,-30.74780898246607
6,amyg_bla,acquisition,CS-,-9.793454325305145
6,amyg_bla,baseline,CS+,-25.83775569327797
6,amyg_bla,baseline,CS-,-16.60166798478701
