roi,cope,subject,phase,beta
hc_tail,CS+B,1,memory_run-01,-0.037046563
hc_tail,CS+B,1,memory_run-02,-0.03743734
hc_tail,CS+B,1,memory_run-03,-0.07022212
hc_tail,CS+B,2,memory_run-01,-0.021910518
hc_tail,CS+B,2,memory_run-02,-0.09993988
hc_tail,CS+B,2,memory_run-03,0.021252582
hc_tail,CS+B,3,memory_run-01,-0.08223859
hc_tail,CS+B,3,memory_run-02,0.10675636
hc_tail,CS+B,3,memory_run-03,0.30805779
hc_tail,CS+B,4,memory_run-01,-0.17914897
hc_tail,CS+B,4,memory_run-02,0.06789846
hc_tail,CS+B,4,memory_run-03,0.076032825
hc_tail,CS+B,5,memory_run-01,0.12544061
hc_tail,CS+B,5,memory_run-02,-0.24704754
hc_tail,CS+B,5,memory_run-03,-0.040194634
hc_tail,CS+B,6,memory_run-01,0.048677415
hc_tail,CS+B,6,memory_run-02,-0.020946952
hc_tail,CS+B,6,memory_run-03,0.006734003
hc_tail,CS+B,7,memory_run-01,-0.5726179
hc_tail,CS+B,7,memory_run-02,-0.0022619546
hc_tail,CS+B,7,memory_run-03,-0.26929578
hc_tail,CS+B,8,memory_run-01,0.3464478
hc_tail,CS+B,8,memory_run-02,0.16998085
hc_tail,CS+B,8,memory_run-03,0.13946465
hc_tail,CS+B,9,memory_run-01,0.091760516
hc_tail,CS+B,9,memory_run-02,-0.22976749
hc_tail,CS+B,9,memory_run-03,-0.24669567
hc_tail,CS+B,10,memory_run-01,-0.0627561
hc_tail,CS+B,10,memory_run-02,0.15043496
hc_tail,CS+B,10,memory_run-03,0.14774235
hc_tail,CS+B,12,memory_run-01,0.24944094
hc_tail,CS+B,12,memory_run-02,0.03538912
hc_tail,CS+B,12,memory_run-03,0.4016001
hc_tail,CS+B,13,memory_run-01,-0.0831408
hc_tail,CS+B,13,memory_run-02,0.26468262
hc_tail,CS+B,13,memory_run-03,-0.082063586
hc_tail,CS+B,14,memory_run-01,0.14472434
hc_tail,CS+B,14,memory_run-02,-0.12260258
hc_tail,CS+B,14,memory_run-03,0.065383084
hc_tail,CS+B,15,memory_run-01,0.24138995
hc_tail,CS+B,15,memory_run-02,0.26682264
hc_tail,CS+B,15,memory_run-03,0.0016075239
hc_tail,CS+B,16,memory_run-01,-0.048860017
hc_tail,CS+B,16,memory_run-02,-0.13528037
hc_tail,CS+B,16,memory_run-03,-0.10062996
hc_tail,CS+B,17,memory_run-01,0.060657967
hc_tail,CS+B,17,memory_run-02,0.084015764
hc_tail,CS+B,17,memory_run-03,0.1689222
hc_tail,CS+B,18,memory_run-01,0.043458063
hc_tail,CS+B,18,memory_run-02,0.007715211
hc_tail,CS+B,18,memory_run-03,-0.06733352
hc_tail,CS+B,19,memory_run-01,0.11561399
hc_tail,CS+B,19,memory_run-02,-0.28023183
hc_tail,CS+B,19,memory_run-03,-0.15583149
hc_tail,CS+B,20,memory_run-01,0.011607766
hc_tail,CS+B,20,memory_run-02,0.025756761
hc_tail,CS+B,20,memory_run-03,0.0636104
hc_tail,CS+B,21,memory_run-01,0.19063847
hc_tail,CS+B,21,memory_run-02,0.08284529
hc_tail,CS+B,21,memory_run-03,0.27830666
hc_tail,CS+B,23,memory_run-01,0.24355015
hc_tail,CS+B,23,memory_run-02,0.21531676
hc_tail,CS+B,23,memory_run-03,0.42191106
hc_tail,CS+B,24,memory_run-01,-0.1408975
hc_tail,CS+B,24,memory_run-02,0.010104581
hc_tail,CS+B,24,memory_run-03,-0.29205
hc_tail,CS+B,25,memory_run-01,0.10147645
