roi,cope,subject,phase,model,beta
rACC,csp,1,acquisition,reg,52.39375686645508
rACC,csp,1,acquisition,dn,-461.8576965332031
rACC,csp,2,acquisition,reg,125.00859069824219
rACC,csp,2,acquisition,dn,-433.38189697265625
rACC,csp,3,acquisition,reg,50.169490814208984
rACC,csp,3,acquisition,dn,-121.86199188232422
rACC,csp,4,acquisition,reg,49.345760345458984
rACC,csp,4,acquisition,dn,-165.16229248046875
rACC,csp,5,acquisition,reg,44.445945739746094
rACC,csp,5,acquisition,dn,-270.2511901855469
rACC,csp,6,acquisition,reg,-9.20012378692627
rACC,csp,6,acquisition,dn,212.9306640625
rACC,csp,7,acquisition,reg,23.381126403808594
rACC,csp,7,acquisition,dn,107.76973724365234
rACC,csp,8,acquisition,reg,90.89287567138672
rACC,csp,8,acquisition,dn,-30.359577178955078
rACC,csp,9,acquisition,reg,39.05930709838867
rACC,csp,9,acquisition,dn,-1109.7767333984375
rACC,csp,10,acquisition,reg,-17.92044448852539
rACC,csp,10,acquisition,dn,-999.513427734375
rACC,csp,12,acquisition,reg,26.161287307739258
rACC,csp,12,acquisition,dn,410.8556213378906
rACC,csp,13,acquisition,reg,98.09459686279297
rACC,csp,13,acquisition,dn,107.58738708496094
rACC,csp,14,acquisition,reg,63.51393508911133
rACC,csp,14,acquisition,dn,-113.5816650390625
rACC,csp,15,acquisition,reg,17.17497444152832
rACC,csp,15,acquisition,dn,-344.1971740722656
rACC,csp,16,acquisition,reg,23.40961456298828
rACC,csp,16,acquisition,dn,-366.358642578125
rACC,csp,17,acquisition,reg,21.42650032043457
rACC,csp,17,acquisition,dn,20.477710723876953
rACC,csp,18,acquisition,reg,35.83390426635742
rACC,csp,18,acquisition,dn,607.78662109375
rACC,csp,19,acquisition,reg,-0.766301691532135
rACC,csp,19,acquisition,dn,-803.7345581054688
rACC,csp,20,acquisition,reg,61.3745231628418
rACC,csp,20,acquisition,dn,216.2716827392578
rACC,csp,21,acquisition,reg,46.67216110229492
rACC,csp,21,acquisition,dn,-477.02490234375
rACC,csp,23,acquisition,reg,37.35563659667969
rACC,csp,23,acquisition,dn,57.27199172973633
rACC,csp,24,acquisition,reg,26.633859634399414
rACC,csp,24,acquisition,dn,1963.82666015625
rACC,csp,25,acquisition,reg,33.775081634521484
rACC,csp,25,acquisition,dn,114.3268051147461
rACC,csp,26,acquisition,reg,37.212364196777344
rACC,csp,26,acquisition,dn,191.01980590820312
rACC,csp,101,acquisition,reg,41.392181396484375
rACC,csp,101,acquisition,dn,409.9854736328125
rACC,csp,102,acquisition,reg,11.905914306640625
rACC,csp,102,acquisition,dn,117.54470825195312
rACC,csp,103,acquisition,reg,-20.319656372070312
rACC,csp,103,acquisition,dn,426.0863037109375
rACC,csp,104,acquisition,reg,47.186458587646484
rACC,csp,104,acquisition,dn,-93.02474212646484
rACC,csp,105,acquisition,reg,9.810362815856934
rACC,csp,105,acquisition,dn,593.943115234375
rACC,csp,106,acquisition,reg,15.95820426940918
rACC,csp,106,acquisition,dn,35.09416580200195
rACC,csp,107,acquisition,reg,16.42281150817871
rACC,csp,107,acquisition,dn,-203.84225463867188
rACC,csp,108,acquisition,reg,38.288909912109375
rACC,csp,108,acquisition,dn,-103.09957122802734
rACC,csp,109,acquisition,reg,-15.461503982543945
rACC,csp,109,acquisition,dn,-325.268310546875
rACC,csp,110,acquisition,reg,4.929419040679932
rACC,csp,110,acquisition,dn,81.8543930053711
rACC,csp,111,acquisition,reg,-50.55917739868164
rACC,csp,111,acquisition,dn,-339.3387756347656
rACC,csp,112,acquisition,reg,34.643978118896484
rACC,csp,112,acquisition,dn,135.70248413085938
rACC,csp,113,acquisition,reg,83.5570068359375
rACC,csp,113,acquisition,dn,-22.5317325592041
rACC,csp,114,acquisition,reg,87.20487213134766
rACC,csp,114,acquisition,dn,-331.90948486328125
rACC,csp,115,acquisition,reg,14.589375495910645
rACC,csp,115,acquisition,dn,33.73802947998047
rACC,csp,116,acquisition,reg,63.30294418334961
rACC,csp,116,acquisition,dn,49.2337532043457
rACC,csp,117,acquisition,reg,47.14321517944336
rACC,csp,117,acquisition,dn,839.4263305664062
rACC,csp,118,acquisition,reg,65.41290283203125
rACC,csp,118,acquisition,dn,-48.03183364868164
rACC,csp,120,acquisition,reg,51.91487121582031
rACC,csp,120,acquisition,dn,-522.9985961914062
rACC,csp,121,acquisition,reg,21.610109329223633
rACC,csp,121,acquisition,dn,900.422119140625
rACC,csp,122,acquisition,reg,21.63108253479004
rACC,csp,122,acquisition,dn,-70.22622680664062
rACC,csp,123,acquisition,reg,0.9118313193321228
rACC,csp,123,acquisition,dn,-1208.7496337890625
rACC,csp,124,acquisition,reg,68.44947814941406
rACC,csp,124,acquisition,dn,42.6678581237793
rACC,csp,125,acquisition,reg,67.47399139404297
rACC,csp,125,acquisition,dn,846.3977661132812
rACC,csm,1,acquisition,reg,37.10674285888672
rACC,csm,1,acquisition,dn,-205.57827758789062
rACC,csm,2,acquisition,reg,63.31745147705078
rACC,csm,2,acquisition,dn,-317.54864501953125
rACC,csm,3,acquisition,reg,22.766929626464844
rACC,csm,3,acquisition,dn,-208.1207275390625
rACC,csm,4,acquisition,reg,36.47624588012695
rACC,csm,4,acquisition,dn,-135.13645935058594
rACC,csm,5,acquisition,reg,3.6990342140197754
rACC,csm,5,acquisition,dn,-121.67913818359375
rACC,csm,6,acquisition,reg,-10.914389610290527
rACC,csm,6,acquisition,dn,310.4380187988281
rACC,csm,7,acquisition,reg,40.197872161865234
rACC,csm,7,acquisition,dn,566.6856689453125
rACC,csm,8,acquisition,reg,37.14188766479492
rACC,csm,8,acquisition,dn,244.95240783691406
rACC,csm,9,acquisition,reg,18.392372131347656
rACC,csm,9,acquisition,dn,-1231.3348388671875
rACC,csm,10,acquisition,reg,-19.79892921447754
rACC,csm,10,acquisition,dn,-143.1045684814453
rACC,csm,12,acquisition,reg,24.612688064575195
rACC,csm,12,acquisition,dn,577.5834350585938
rACC,csm,13,acquisition,reg,73.21714782714844
rACC,csm,13,acquisition,dn,533.0864868164062
rACC,csm,14,acquisition,reg,-23.612714767456055
rACC,csm,14,acquisition,dn,-704.8750610351562
rACC,csm,15,acquisition,reg,-12.499212265014648
rACC,csm,15,acquisition,dn,-329.4032287597656
rACC,csm,16,acquisition,reg,6.382721424102783
rACC,csm,16,acquisition,dn,-765.0309448242188
rACC,csm,17,acquisition,reg,-12.87356185913086
rACC,csm,17,acquisition,dn,-13.275701522827148
rACC,csm,18,acquisition,reg,25.491872787475586
rACC,csm,18,acquisition,dn,208.90155029296875
rACC,csm,19,acquisition,reg,-24.92018699645996
rACC,csm,19,acquisition,dn,-713.35693359375
rACC,csm,20,acquisition,reg,48.0372200012207
rACC,csm,20,acquisition,dn,38.0223503112793
rACC,csm,21,acquisition,reg,19.435039520263672
rACC,csm,21,acquisition,dn,-378.72149658203125
rACC,csm,23,acquisition,reg,2.3937957286834717
rACC,csm,23,acquisition,dn,6.567959308624268
rACC,csm,24,acquisition,reg,0.03234131261706352
rACC,csm,24,acquisition,dn,823.4639282226562
rACC,csm,25,acquisition,reg,-5.327911853790283
rACC,csm,25,acquisition,dn,56.79243087768555
rACC,csm,26,acquisition,reg,10.405926704406738
rACC,csm,26,acquisition,dn,79.85298156738281
rACC,csm,101,acquisition,reg,28.873319625854492
rACC,csm,101,acquisition,dn,197.32789611816406
rACC,csm,102,acquisition,reg,-14.315765380859375
rACC,csm,102,acquisition,dn,277.8675231933594
rACC,csm,103,acquisition,reg,-3.858272075653076
rACC,csm,103,acquisition,dn,133.61973571777344
rACC,csm,104,acquisition,reg,38.26750946044922
rACC,csm,104,acquisition,dn,347.73248291015625
rACC,csm,105,acquisition,reg,-9.479591369628906
rACC,csm,105,acquisition,dn,272.4175720214844
rACC,csm,106,acquisition,reg,1.7424899339675903
rACC,csm,106,acquisition,dn,-340.42340087890625
rACC,csm,107,acquisition,reg,8.307524681091309
rACC,csm,107,acquisition,dn,-44.55838394165039
rACC,csm,108,acquisition,reg,18.24726104736328
rACC,csm,108,acquisition,dn,-231.2574920654297
rACC,csm,109,acquisition,reg,8.934983253479004
rACC,csm,109,acquisition,dn,233.66119384765625
rACC,csm,110,acquisition,reg,-8.793228149414062
rACC,csm,110,acquisition,dn,-132.35540771484375
rACC,csm,111,acquisition,reg,-87.62821960449219
rACC,csm,111,acquisition,dn,198.47059631347656
rACC,csm,112,acquisition,reg,31.28373146057129
rACC,csm,112,acquisition,dn,107.71405029296875
rACC,csm,113,acquisition,reg,-20.75313949584961
rACC,csm,113,acquisition,dn,-651.1071166992188
rACC,csm,114,acquisition,reg,55.95436477661133
rACC,csm,114,acquisition,dn,-248.4170684814453
rACC,csm,115,acquisition,reg,1.3370323181152344
rACC,csm,115,acquisition,dn,81.47865295410156
rACC,csm,116,acquisition,reg,28.684158325195312
rACC,csm,116,acquisition,dn,-137.3053436279297
rACC,csm,117,acquisition,reg,21.57781982421875
rACC,csm,117,acquisition,dn,454.2756652832031
rACC,csm,118,acquisition,reg,48.33304977416992
rACC,csm,118,acquisition,dn,72.13988494873047
rACC,csm,120,acquisition,reg,21.655366897583008
rACC,csm,120,acquisition,dn,29.168373107910156
rACC,csm,121,acquisition,reg,2.70607590675354
rACC,csm,121,acquisition,dn,1745.8975830078125
rACC,csm,122,acquisition,reg,14.132280349731445
rACC,csm,122,acquisition,dn,-40.13920593261719
rACC,csm,123,acquisition,reg,-7.7240777015686035
rACC,csm,123,acquisition,dn,-1377.508056640625
rACC,csm,124,acquisition,reg,54.366783142089844
rACC,csm,124,acquisition,dn,58.766902923583984
rACC,csm,125,acquisition,reg,86.0732192993164
rACC,csm,125,acquisition,dn,929.2333984375
sgACC,csp,1,acquisition,reg,-45.116756439208984
sgACC,csp,1,acquisition,dn,-556.67578125
sgACC,csp,2,acquisition,reg,-38.338584899902344
sgACC,csp,2,acquisition,dn,-505.6087646484375
sgACC,csp,3,acquisition,reg,-1.7110414505004883
sgACC,csp,3,acquisition,dn,-175.5516815185547
sgACC,csp,4,acquisition,reg,-20.01407814025879
sgACC,csp,4,acquisition,dn,-243.96177673339844
sgACC,csp,5,acquisition,reg,-42.43870162963867
sgACC,csp,5,acquisition,dn,-317.3644104003906
sgACC,csp,6,acquisition,reg,-85.43607330322266
sgACC,csp,6,acquisition,dn,127.70814514160156
sgACC,csp,7,acquisition,reg,-23.396284103393555
sgACC,csp,7,acquisition,dn,84.27545166015625
sgACC,csp,8,acquisition,reg,-38.91159439086914
sgACC,csp,8,acquisition,dn,-171.31185913085938
sgACC,csp,9,acquisition,reg,-34.86654281616211
sgACC,csp,9,acquisition,dn,-1042.4759521484375
sgACC,csp,10,acquisition,reg,-30.784639358520508
sgACC,csp,10,acquisition,dn,-859.5897216796875
sgACC,csp,12,acquisition,reg,-48.64631652832031
sgACC,csp,12,acquisition,dn,292.6568908691406
sgACC,csp,13,acquisition,reg,-50.23623275756836
sgACC,csp,13,acquisition,dn,-16.494112014770508
sgACC,csp,14,acquisition,reg,-85.66606903076172
sgACC,csp,14,acquisition,dn,-228.76190185546875
sgACC,csp,15,acquisition,reg,-125.67660522460938
sgACC,csp,15,acquisition,dn,-447.1017150878906
sgACC,csp,16,acquisition,reg,-16.278038024902344
sgACC,csp,16,acquisition,dn,-360.4220275878906
sgACC,csp,17,acquisition,reg,-86.8465805053711
sgACC,csp,17,acquisition,dn,-72.87371063232422
sgACC,csp,18,acquisition,reg,-43.43531799316406
sgACC,csp,18,acquisition,dn,516.121826171875
sgACC,csp,19,acquisition,reg,-30.568655014038086
sgACC,csp,19,acquisition,dn,-683.857177734375
sgACC,csp,20,acquisition,reg,-119.39818572998047
sgACC,csp,20,acquisition,dn,16.17241096496582
sgACC,csp,21,acquisition,reg,-16.884662628173828
sgACC,csp,21,acquisition,dn,-447.88153076171875
sgACC,csp,23,acquisition,reg,-18.21580696105957
sgACC,csp,23,acquisition,dn,4.205486297607422
sgACC,csp,24,acquisition,reg,9.830387115478516
sgACC,csp,24,acquisition,dn,1695.2857666015625
sgACC,csp,25,acquisition,reg,16.876771926879883
sgACC,csp,25,acquisition,dn,82.72338104248047
sgACC,csp,26,acquisition,reg,-66.82992553710938
sgACC,csp,26,acquisition,dn,79.98126220703125
sgACC,csp,101,acquisition,reg,-19.094663619995117
sgACC,csp,101,acquisition,dn,270.91497802734375
sgACC,csp,102,acquisition,reg,-40.58015441894531
sgACC,csp,102,acquisition,dn,50.9803581237793
sgACC,csp,103,acquisition,reg,-93.49856567382812
sgACC,csp,103,acquisition,dn,338.46636962890625
sgACC,csp,104,acquisition,reg,-10.649908065795898
sgACC,csp,104,acquisition,dn,-142.3125
sgACC,csp,105,acquisition,reg,-27.274023056030273
sgACC,csp,105,acquisition,dn,531.3897705078125
sgACC,csp,106,acquisition,reg,-2.5848827362060547
sgACC,csp,106,acquisition,dn,23.770021438598633
sgACC,csp,107,acquisition,reg,-10.150147438049316
sgACC,csp,107,acquisition,dn,-172.7494354248047
sgACC,csp,108,acquisition,reg,-22.060768127441406
sgACC,csp,108,acquisition,dn,-145.44004821777344
sgACC,csp,109,acquisition,reg,-75.41348266601562
sgACC,csp,109,acquisition,dn,-280.2294616699219
sgACC,csp,110,acquisition,reg,-50.868873596191406
sgACC,csp,110,acquisition,dn,22.75020980834961
sgACC,csp,111,acquisition,reg,-6.909855365753174
sgACC,csp,111,acquisition,dn,-292.9338073730469
sgACC,csp,112,acquisition,reg,-28.283432006835938
sgACC,csp,112,acquisition,dn,48.10322189331055
sgACC,csp,113,acquisition,reg,-63.18086624145508
sgACC,csp,113,acquisition,dn,-165.4123992919922
sgACC,csp,114,acquisition,reg,-0.07031458616256714
sgACC,csp,114,acquisition,dn,-417.5660400390625
sgACC,csp,115,acquisition,reg,-37.485111236572266
sgACC,csp,115,acquisition,dn,-10.924566268920898
sgACC,csp,116,acquisition,reg,-17.56757164001465
sgACC,csp,116,acquisition,dn,-50.98318862915039
sgACC,csp,117,acquisition,reg,-61.35560989379883
sgACC,csp,117,acquisition,dn,584.3129272460938
sgACC,csp,118,acquisition,reg,-20.44203758239746
sgACC,csp,118,acquisition,dn,-121.68352508544922
sgACC,csp,120,acquisition,reg,-23.956134796142578
sgACC,csp,120,acquisition,dn,-498.13232421875
sgACC,csp,121,acquisition,reg,-34.71087646484375
sgACC,csp,121,acquisition,dn,675.7363891601562
sgACC,csp,122,acquisition,reg,-102.52989196777344
sgACC,csp,122,acquisition,dn,-185.431640625
sgACC,csp,123,acquisition,reg,-58.75350570678711
sgACC,csp,123,acquisition,dn,-1193.5377197265625
sgACC,csp,124,acquisition,reg,-2.2803072929382324
sgACC,csp,124,acquisition,dn,-16.417648315429688
sgACC,csp,125,acquisition,reg,-80.77619934082031
sgACC,csp,125,acquisition,dn,652.2642211914062
sgACC,csm,1,acquisition,reg,19.069744110107422
sgACC,csm,1,acquisition,dn,-219.28350830078125
sgACC,csm,2,acquisition,reg,4.6262526512146
sgACC,csm,2,acquisition,dn,-314.7584228515625
sgACC,csm,3,acquisition,reg,28.53188133239746
sgACC,csm,3,acquisition,dn,-187.1614227294922
sgACC,csm,4,acquisition,reg,-9.535294532775879
sgACC,csm,4,acquisition,dn,-189.62445068359375
sgACC,csm,5,acquisition,reg,-14.733253479003906
sgACC,csm,5,acquisition,dn,-131.4766082763672
sgACC,csm,6,acquisition,reg,-32.44764709472656
sgACC,csm,6,acquisition,dn,268.0748596191406
sgACC,csm,7,acquisition,reg,-24.860214233398438
sgACC,csm,7,acquisition,dn,428.35565185546875
sgACC,csm,8,acquisition,reg,-42.59009552001953
sgACC,csm,8,acquisition,dn,170.2248077392578
sgACC,csm,9,acquisition,reg,-31.016765594482422
sgACC,csm,9,acquisition,dn,-1114.522705078125
sgACC,csm,10,acquisition,reg,-4.918155193328857
sgACC,csm,10,acquisition,dn,-103.86779022216797
sgACC,csm,12,acquisition,reg,16.580930709838867
sgACC,csm,12,acquisition,dn,505.69952392578125
sgACC,csm,13,acquisition,reg,-31.53922462463379
sgACC,csm,13,acquisition,dn,431.06585693359375
sgACC,csm,14,acquisition,reg,-90.4598388671875
sgACC,csm,14,acquisition,dn,-703.2633666992188
sgACC,csm,15,acquisition,reg,-63.16725540161133
sgACC,csm,15,acquisition,dn,-358.5261535644531
sgACC,csm,16,acquisition,reg,-10.729353904724121
sgACC,csm,16,acquisition,dn,-707.8013916015625
sgACC,csm,17,acquisition,reg,-11.308369636535645
sgACC,csm,17,acquisition,dn,-9.54516315460205
sgACC,csm,18,acquisition,reg,-16.31170654296875
sgACC,csm,18,acquisition,dn,163.0366668701172
sgACC,csm,19,acquisition,reg,-14.057198524475098
sgACC,csm,19,acquisition,dn,-571.7059936523438
sgACC,csm,20,acquisition,reg,-43.341957092285156
sgACC,csm,20,acquisition,dn,-56.74506759643555
sgACC,csm,21,acquisition,reg,-12.431631088256836
sgACC,csm,21,acquisition,dn,-331.7987060546875
sgACC,csm,23,acquisition,reg,-24.28900909423828
sgACC,csm,23,acquisition,dn,-24.727922439575195
sgACC,csm,24,acquisition,reg,-14.924294471740723
sgACC,csm,24,acquisition,dn,704.125
sgACC,csm,25,acquisition,reg,0.44514787197113037
sgACC,csm,25,acquisition,dn,51.2557487487793
sgACC,csm,26,acquisition,reg,-40.4147834777832
sgACC,csm,26,acquisition,dn,16.44342613220215
sgACC,csm,101,acquisition,reg,-25.56640625
sgACC,csm,101,acquisition,dn,114.71244812011719
sgACC,csm,102,acquisition,reg,-52.63710021972656
sgACC,csm,102,acquisition,dn,202.06105041503906
sgACC,csm,103,acquisition,reg,-86.03031921386719
sgACC,csm,103,acquisition,dn,42.97058868408203
sgACC,csm,104,acquisition,reg,-0.8310951590538025
sgACC,csm,104,acquisition,dn,302.1093444824219
sgACC,csm,105,acquisition,reg,-19.77726173400879
sgACC,csm,105,acquisition,dn,251.78579711914062
sgACC,csm,106,acquisition,reg,-1.1145976781845093
sgACC,csm,106,acquisition,dn,-312.96014404296875
sgACC,csm,107,acquisition,reg,-14.859089851379395
sgACC,csm,107,acquisition,dn,-57.009796142578125
